model,local_roots_verified,distinct_downhill_minima_verified,connectivity_error,fault_energy_J_m2,saddle_energy_J_m2,reverse_barrier_J_m2,rigid_opening_40h_J_m2,opening_40h_is_finite_sample_not_infinite_limit,saddle_at_source_Hxx,candidate_own_saddle_Hxx,material_accepted
source_Al99_target_only,True,True,,0.15047947722108726,0.1720023652869252,0.021522888065837947,1.7412853087175233,True,-0.18642463121762062,-0.18642463121762062,False
v22_wider,True,True,,0.07945741764726244,0.11974982195792866,0.040292404310666226,1.8405826516766823,True,0.18216571310362673,0.06861611633601493,False
v23_radial_joint,True,True,,0.0753093598654701,0.11475704788735992,0.039447688021889825,2.524404168873311,True,0.3822213651566106,0.1650799817451439,False
