model,step,normal_MPa,shear_x_MPa,shear_y_MPa,delta_a_L0,delta_x_L0,delta_y_L0,residual,verified,minimum_H,static_return,dynamic_hold,residual_plasticity_claimed
source_Al99_target_only,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0024300145742074e-15,True,4.39354662111037,False,False,False
source_Al99_target_only,1,50.0,4.0,-4.0,0.00032314504921682197,0.00011575956081451415,-0.00011580527769306953,3.333271159089435e-15,True,4.38257700238045,False,False,False
source_Al99_target_only,2,0.0,0.0,0.0,1.1102230246251565e-16,-4.5294865917566764e-17,-2.968778010853096e-16,1.8877806497007696e-15,True,4.3935466211103655,True,False,False
source_Al99_target_only,3,-50.0,-4.0,4.0,-0.0003225856609125888,-0.0001154021378937353,0.0001153562005954531,1.0144879727946865e-15,True,4.399630275027083,False,False,False
source_Al99_target_only,4,0.0,0.0,0.0,1.1102230246251565e-16,-7.191409675329762e-17,-6.084721979258835e-17,2.1708478997810273e-15,True,4.393546621110362,True,False,False
v22_wider,0,0.0,0.0,0.0,0.0,0.0,0.0,7.034999077524925e-15,True,4.393593035123108,False,False,False
v22_wider,1,50.0,4.0,-4.0,0.0003239481511059239,0.00011626742122532123,-0.00011639153528190581,7.693498615957139e-16,True,4.356363102305815,False,False,False
v22_wider,2,0.0,0.0,0.0,0.0,4.994612152306815e-16,2.9366197133906637e-17,6.9712149784349495e-15,True,4.393593035123084,True,False,False
v22_wider,3,-50.0,-4.0,4.0,-0.0003217649695593794,-0.00011489777897450675,0.0001147753494649014,1.6618650899857812e-15,True,4.41768492676239,False,False,False
v22_wider,4,0.0,0.0,0.0,1.1102230246251565e-16,3.556088544565686e-16,-2.5461880703232204e-16,1.5655997414084682e-15,True,4.393593035123177,True,False,False
v23_radial_joint,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6727895499898633e-14,True,4.393593035124705,False,False,False
v23_radial_joint,1,50.0,4.0,-4.0,0.00032446848165446074,0.00011619022842157186,-0.0001163048969735198,3.421742056364252e-15,True,4.360102415894334,False,False,False
v23_radial_joint,2,0.0,0.0,0.0,-2.220446049250313e-16,2.9452768503402416e-16,-1.1051307066774744e-16,5.486734776899418e-15,True,4.393593035124801,True,False,False
v23_radial_joint,3,-50.0,-4.0,4.0,-0.0003212693685079593,-0.00011497941420983222,0.00011486611009192887,5.240599620925934e-15,True,4.414689201556426,False,False,False
v23_radial_joint,4,0.0,0.0,0.0,-2.220446049250313e-16,-1.308349195570451e-16,-2.8395049566285607e-16,1.2780634092788063e-15,True,4.39359303512478,True,False,False
