model,fixed_registry_not_coupled_spinodal,bracket_samples,actual_grid_points,grid_kind,a_over_h,energy_J_m2,traction_MPa,curvature_eV_L0sq,local_type
source_Al99_target_only,True,33,66,near_h_geometric_plus_uniform,1.185846168020778,0.3697367137857137,12969.567658481192,-2.335943313780397e-11,maximum_traction
source_Al99_target_only,True,33,66,near_h_geometric_plus_uniform,1.6322700788890687,1.1949641937204907,4005.706049611055,-9.322603626571444e-12,minimum_traction
source_Al99_target_only,True,33,66,near_h_geometric_plus_uniform,1.8918747001449885,1.4713233183974517,5025.057197224908,-1.1693089855754898e-12,maximum_traction
source_Al99_target_only,True,33,66,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99_target_only,True,65,130,near_h_geometric_plus_uniform,1.1858461680209462,0.36973671378622586,12969.567658481184,-6.791763151881013e-11,maximum_traction
source_Al99_target_only,True,65,130,near_h_geometric_plus_uniform,1.6316820100894431,1.19441338296086,4005.708056542882,-8.467851420057569e-14,minimum_traction
source_Al99_target_only,True,65,130,near_h_geometric_plus_uniform,1.8918747001449514,1.4713233183974084,5025.057197224908,-9.623075773734778e-14,maximum_traction
source_Al99_target_only,True,65,130,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99_target_only,True,65,130,near_h_geometric_plus_uniform,2.527863881011607,1.7409499353785989,46.058621287826554,-5.6253166187680824e-14,maximum_traction
v22_wider,True,33,66,near_h_geometric_plus_uniform,1.120682868102071,0.15937122192489533,8924.474011463846,-8.569800685059858e-12,maximum_traction
v22_wider,True,65,130,near_h_geometric_plus_uniform,1.120682868102071,0.15937122192489533,8924.474011463846,-8.569800685059858e-12,maximum_traction
v23_radial_joint,True,33,66,near_h_geometric_plus_uniform,1.2104897641281878,0.2511825134893857,6536.54199989418,2.3184093533856753e-12,maximum_traction
v23_radial_joint,True,65,130,near_h_geometric_plus_uniform,1.2104897641291676,0.25118251349088283,6536.541999894178,-1.0006467876522152e-11,maximum_traction
