model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,stationarity_residual,verified,energy_decrease_eV_cell
source_Al99_target_only,downhill_0,0.8164983416260694,9.726401785138704e-18,-9.199483531184703e-17,-3.0475955092867935e-11,-6.874752003124795e-11,3.553679224380041e-15,4.393546621110358,4.393546621110361,19.660744714218286,3.5521197063765274e-15,2.7979972219732607e-11,19.660744714218286,5.097142348051317e-16,1.4201566482666566e-15,3.4775128731248367e-17,2.739229576332344e-13,5.097142348051317e-16,4.3935466211103575,9.247561750440745e-17,-9.935950776643814e-17,-7.82652752969062e-13,1.4201566482666566e-15,9.247561750440745e-17,4.39354662111036,3.5521197063765274e-15,True,0.0762490975379006
source_Al99_target_only,downhill_1,0.83566124848767,0.5,0.28867513459481275,0.06670794504308655,0.15047947715234067,1.6838559037877573e-15,2.4858929774856304,2.485892977485636,14.14055435003965,-1.435714623645644e-15,-1.130909389482461e-11,14.14055435003965,-1.197697569977664e-16,-2.035683766735823e-16,-2.0851677869276115e-17,-1.6424822802841512e-13,-1.197697569977664e-16,2.485892977485632,-2.7362885180074814e-17,8.795791219105693e-16,6.9284262441761824e-12,-2.035683766735823e-16,-2.7362885180074814e-17,2.485892977485636,1.435714623645644e-15,True,0.009541152464338093
v22_wider,downhill_0,0.8164965809277266,-4.767516225137173e-16,-2.455444678107923e-16,1.553150320531892e-16,3.5035893853673928e-16,4.626241573666835e-15,4.393593035123185,4.3935930351232235,19.660912863289028,-3.53356776545299e-15,-2.7833838971258216e-11,19.660912863289028,5.921271318751039e-14,2.722823495638179e-14,-2.2550154218575893e-15,-1.7762709050987095e-11,5.921271318751039e-14,4.3935930351232,1.7975967486142147e-14,-1.9572724368517018e-15,-1.5417393820160264e-11,2.722823495638179e-14,1.7975967486142147e-14,4.393593035123205,3.53356776545299e-15,True,0.05308540867670509
v22_wider,downhill_1,0.8306681188756807,0.5000000000000019,0.28867513459481514,0.03522368066386343,0.07945741764726277,6.511748429558544e-15,2.6491052096341092,2.6491052096342185,17.445965354883807,-3.337607967779377e-15,-2.6290267766366248e-11,17.445965354883807,-4.238200918879548e-14,-1.057656998369673e-13,8.907269489545788e-16,7.0162374433432145e-12,-4.238200918879548e-14,2.6491052096342167,1.4820033357919632e-14,5.519949833619853e-15,4.348052874506068e-11,-1.057656998369673e-13,1.4820033357919632e-14,2.649105209634111,5.519949833619853e-15,True,0.01786172801284181
v23_radial_joint,downhill_0,0.8164965809277086,2.830420471917431e-17,-1.4794806501305163e-16,7.00259069335979e-16,1.5796412040095299e-15,1.8427482466233635e-14,4.3935930351247015,4.393593035124712,19.660912863298957,1.8400623666992684e-14,1.4494132562705794e-10,19.660912863298957,2.3581413185064957e-15,2.4867255992093883e-15,9.810141167334138e-16,7.727427565037373e-12,2.3581413185064957e-15,4.393593035124698,-4.535850319867138e-16,1.6361543883894665e-16,1.2887953706106944e-12,2.4867255992093883e-15,-4.535850319867138e-16,4.393593035124712,1.8400623666992684e-14,True,0.050872098897758476
v23_radial_joint,downhill_1,0.8287343129578775,0.4999999999999999,0.28867513459481253,0.03338483582083457,0.07530935986547178,4.058566954233982e-15,2.7684517584795314,2.7684517584795576,14.88557477402358,-3.774758283725532e-15,-2.973369161102545e-11,14.88557477402358,1.174791857992038e-14,-3.907960083849526e-14,-1.3377415732667876e-15,-1.0537362237537866e-11,1.174791857992038e-14,2.7684517584795567,-4.1334658191908335e-15,-6.584930558474197e-16,-5.186935951629951e-12,-3.907960083849526e-14,-4.1334658191908335e-15,2.7684517584795323,3.774758283725532e-15,True,0.01748726307692461
