case,observable,role,scale,unrestricted,sign_constrained
0,normal_strain_force_ev,exact,0.1,0.0,1.7763568394002505e-14
0,cohesive_ev_atom,exact,0.0672,-8.591011500075617e-14,-6.608470384673551e-15
0,C11_GPa,exact,5.699999999999998,-8.22733694038011e-14,-4.9862648123515816e-15
0,C12_GPa,exact,3.100000000000001,-1.3752440046969677e-14,-2.2920733411616127e-15
0,C44_GPa,exact,1.6,-1.4210854715202004e-13,5.3290705182007514e-14
0,perfect_Haa,fit,1.9660912863289761,6.242197979810063,6.242197979810091
0,perfect_Hxx,fit,0.43935930351233066,-1.249207439835287,-1.2492074398352597
0,saddle_energy_at_source_state,fit,0.007624909750742465,0.8757024087529314,0.8757024087529132
0,saddle_normal_force_at_source_state,fit,0.03173805605024358,-0.04215824542906762,-0.04215824542895918
0,fault_energy_at_source_state,fit,0.006670794504308616,2.751269806682567,2.751269806682509
0,fault_normal_force_at_source_state,fit,0.03173805605024358,-0.09049298645500418,-0.0904929864546981
0,saddle_path_force_at_source_state,fit,0.03173805605024358,3.596170784210753,3.596170784210743
0,opening_1.1h_energy,fit,0.005670265774764736,-0.5573504866446715,-0.5573504866446446
0,opening_1.5h_energy,fit,0.04710312483934004,-1.19981310576146,-1.1998131057614414
0,opening_2h_energy,fit,0.07060534019484034,0.5739281753171803,0.573928175317174
0,opening_40h_energy,fit,0.07719163228888834,-2.5046609509455697,-2.504660950945547
0,direct_quarter_energy,fit,0.0117221996542065,10.233611535040438,10.233611535040511
0,direct_half_energy,fit,0.026732847628894163,19.071596387264723,19.071596387264822
0,oblique_energy,fit,0.013339289745734876,-3.1924629185514575,-3.1924629185514015
0,opening_1.25h_energy,fit,0.02485368365449082,-2.960758333041585,-2.96075833304158
0,opening_3h_energy,fit,0.07719163228888834,-3.6038477507364886,-3.6038477507364943
0,saddle_Haa,fit,1.2717337762538286,15.499345458706648,15.49934545870671
0,saddle_Hxx,fit,0.018642463121762064,24.594931854764713,24.59493185476509
0,fault_Haa,fit,1.4140554350039638,12.737873230708466,12.737873230708507
