model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,robust_margin,normalized_density,normalized_density_truncation
tied_control,0.99,12.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.574546680186225,0.00025854061901389676,1.574288139567211,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.728191685755796,0.00025864788552111144,5.727933037870275,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.25,0.25,0.25,10.997967694546873,0.0002586304955008651,10.99770906405137,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.713809756287828,0.00025856236578521933,15.713551193922044,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,18.757991443422753,0.0002584884897497706,18.757732954933005,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.5,0.5,0.5,19.776993177913052,0.0002584206050906269,19.776734757307963,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,18.757991443422757,0.0002584884897497706,18.757732954933008,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.713809756287827,0.00025856236578521933,15.713551193922042,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.75,0.75,0.75,10.997967694546844,0.0002586304955008651,10.997709064051342,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.728191685755794,0.00025864788552111144,5.727933037870273,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.5745466801862191,0.00025854061901389676,1.5742881395672053,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.01,0.0,0.0,0.009206568426556875,2.4094167547772877e-05,0.009182474259009102,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.01,0.01,0.0,0.014181042093342085,4.818832895454839e-05,0.014132853764387537,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.01,0.01,0.01,0.02338690605854526,7.228247766209011e-05,0.02331462358088317,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.08,0.0,0.0,0.5865103877504872,0.00025844728514374453,0.5862519404653435,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.08,0.08,0.0,0.8715825178799128,0.00025849797490821633,0.8713240199050046,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.08,0.08,0.08,1.4546867125617182,0.0002585331978201797,1.454428179363898,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16,0.0,0.0,2.317289436674876,0.0002585587349332857,2.317030877939943,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16,0.08,0.0,2.346243109160744,0.0002585796538868804,2.345984529506857,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16,0.08,0.08,2.7402728164395254,0.00025859629718501736,2.7400142201423403,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16,0.16,0.0,3.093669049271991,0.0002586197231297384,3.0934104295488614,1.0356114148058957,4.679162751807381e-09
tied_control,0.99,12.0,0.16,0.16,0.08,3.6643734209145853,0.00025862845797252146,3.664114792456613,1.0356114148058957,4.679162751807381e-09
