model,stretch,radius,wavepoints,minimum_sampled_robust_margin,all_sampled_positive_above_tail,whole_zone_proof
tied_control,0.99,12.0,254,0.009182474259009102,True,False
tied_control,0.99,16.0,254,0.009197350130029945,True,False
tied_control,0.995,12.0,254,0.007527442242401058,True,False
tied_control,0.995,16.0,254,0.007541995433999405,True,False
tied_control,1.0,12.0,254,0.006525393728308332,True,False
tied_control,1.0,16.0,254,0.006539628747403489,True,False
tied_control,1.0037037037037038,12.0,254,0.006142025136469744,True,False
tied_control,1.0037037037037038,16.0,254,0.00615602798848028,True,False
tied_control,1.007,12.0,254,0.00602270524235312,True,False
tied_control,1.007,16.0,254,0.0060365136221296935,True,False
tied_control,1.01,12.0,254,0.00607404330032118,True,False
tied_control,1.01,16.0,254,0.006087676919369133,True,False
