structure,Si_atoms,B_atoms,total_atoms,volume_A3,chemical_B_per_cm3,B_atomic_fraction,B_pair_distances_A,fixed_cell_input,status
2boron_int_cluster,64,2,66,1281.5318239279993,1.5606323328513509e+21,0.030303030303030304,[2.351691983976643],True,archived input; not relaxed output
3boron_int_cluster_confi_1,64,3,67,1281.5318239279993,2.3409484992770262e+21,0.04477611940298507,"[2.351691983976643, 3.8402969286241397, 2.351691983976643]",True,archived input; not relaxed output
3boron_int_cluster_confi_2,64,3,67,1281.5318239279993,2.3409484992770262e+21,0.04477611940298507,"[2.351691983976643, 4.703383967953286, 2.351691983976643]",True,archived input; not relaxed output
3boron_int_cluster_confi_3,64,3,67,1281.5318239279993,2.3409484992770262e+21,0.04477611940298507,"[4.703383967953286, 9.406767935906572, 4.703383967953286]",True,archived input; not relaxed output
64_acceptor_cluster,62,2,64,1281.5318239279993,1.5606323328513509e+21,0.03125,[2.351691983976643],True,archived input; not relaxed output
b_silicon_64_acceptor,63,1,64,1281.5318239279993,7.803161664256754e+20,0.015625,[],True,archived input; not relaxed output
b_silicon_64_interstitial,64,1,65,1281.5318239279993,7.803161664256754e+20,0.015384615384615385,[],True,archived input; not relaxed output
