label,eta,max_excluded_q_error,positive_LJ,exact_residual,duality_gap,conditional_rank,coefficient_count,material_accepted
baseline,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,3,10,False
density_linear_k3,12.507115149693036,2.1008267196885226,True,7.176481631177012e-13,1.2434497875801753e-14,4,11,False
density_linear_k5,12.507117322839381,2.10082808804397,True,8.242295734817162e-13,1.5987211554602254e-14,4,11,False
density_linear_k8,12.50711550452346,2.100826868514954,True,6.181721801112872e-13,3.197442310920451e-14,4,11,False
density_linear_k11,12.507098982921356,2.100821926303259,True,7.744915819785092e-13,2.4868995751603507e-14,4,11,False
density_quadratic_k3,12.47586915580406,2.1085761200354685,True,3.197442310920451e-14,1.0658141036401503e-14,4,11,False
density_quadratic_k5,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
density_quadratic_k8,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
density_quadratic_k11,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
dictionary_capacity_NOT_model_selection,11.255224835198398,2.1815682408745993,False,6.934897101018578e-12,-6.927791673660977e-14,11,18,False
