axis,frequency_per_ps,dt_ps,fraction,parts,block,envelope,real_chi_A2_eV,imag_chi_A2_eV,radius_A2_eV,null_radius_A2_eV,dt_difference_A2_eV,amplitude_difference_A2_eV,block_difference_A2_eV,sign_difference_A2_eV,matched_dt_control_available,matched_amplitude_control_available,storage_impedance_eV_A2,drag_eV_ps_A2,mobility_m2_per_J_s,passive_point,production_clock_calibrated,dispersion_coefficient_eV_ps2_A2,storage_to_static_ratio,confidence_interval,inverse_set_bounded,drag_lower_eV_ps_A2,drag_upper_eV_ps_A2,mobility_lower_m2_per_J_s,mobility_upper_m2_per_J_s,positive_drag_resolved,passive_drag_feasible
0,2.0,0.0025,0.5,1,0,null_only,0.0026370923020673635,-6.31778603218807e-05,5.711510769161003e-05,5.711510769161003e-05,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,1.8899311763523712e-05,True,True,378.9880133160083,0.7225288496180574,86384219505.70062,True,False,0.2857811678552948,1.118435060031038,False,True,0.06936873578729662,1.3763667469350496,45347717738.45607,899758227337.3014,True,True
0,2.0,0.0025,0.5,1,0,null_plus_observed_controls,0.0026370923020673635,-6.31778603218807e-05,0.00013969045711337405,5.711510769161003e-05,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,1.8899311763523712e-05,True,True,378.9880133160083,0.7225288496180574,86384219505.70062,True,False,0.2857811678552948,1.118435060031038,False,True,-0.8774913615570824,2.3266129179770276,26826589959.311787,,False,True
0,2.0,0.0025,0.5,2,0,null_only,0.0026365781636204753,-4.525674853147224e-05,0.00010570012486639052,0.00010570012486639052,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,1.5394121000715824e-05,True,True,379.1677655756162,0.5179218618141732,120510631711.85797,True,False,0.2846428733736785,1.1182170052954268,False,True,-0.6928320401377691,1.7303427589738996,36070940523.72608,,False,True
0,2.0,0.0025,0.5,2,0,null_plus_observed_controls,0.0026365781636204753,-4.525674853147224e-05,0.00018477028352534668,0.00010570012486639052,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,1.5394121000715824e-05,True,True,379.1677655756162,0.5179218618141732,120510631711.85797,True,False,0.2846428733736785,1.1182170052954268,False,True,-1.6044816140484592,2.645436112600159,23593497664.64811,,False,True
0,2.0,0.0025,0.5,2,1,null_only,0.002637606440514237,-8.109897211228721e-05,0.00010570012486639052,0.00010570012486639052,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,3.8073355867829345e-05,True,True,378.773530505053,0.926776713745533,67346416692.278984,True,False,0.28713939612260275,1.118653114766643,False,True,-0.28158698348319655,2.138119085774856,29191587671.5484,,False,True
0,2.0,0.0025,0.5,2,1,null_plus_observed_controls,0.002637606440514237,-8.109897211228721e-05,0.0002074495183924602,0.00010570012486639052,1.1459500170867568e-05,3.4288052159635593e-05,1.792848532773714e-05,3.8073355867829345e-05,True,True,378.773530505053,0.926776713745533,67346416692.278984,True,False,0.28713939612260275,1.118653114766643,False,True,-1.4528781496246155,3.317957929773499,18811296606.424545,,False,True
0,2.0,0.0025,1.0,1,0,null_only,0.00264264748739188,-2.9342812857569874e-05,2.8557553845805014e-05,2.8557553845805014e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,5.735540223628575e-06,True,True,378.3617492584613,0.3343180843201756,186693731724.16495,True,False,0.2897470313292518,1.1207911072680037,False,True,0.00894791331202838,0.6597663372650225,94601811610.06403,6975379462014.356,True,True
0,2.0,0.0025,1.0,1,0,null_plus_observed_controls,0.00264264748739188,-2.9342812857569874e-05,8.444595846760886e-05,2.8557553845805014e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,5.735540223628575e-06,True,True,378.3617492584613,0.3343180843201756,186693731724.16495,True,False,0.2897470313292518,1.1207911072680037,False,True,-0.6284607488844963,1.2977802927577355,48093726721.63009,,False,True
0,2.0,0.0025,1.0,2,0,null_only,0.002638489434062739,-3.0797930353030316e-05,5.285006243319526e-05,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,4.8870822342263584e-06,True,True,378.9531073952957,0.35199928534613173,177315958704.9529,True,False,0.28600221218046495,1.1190276071352458,False,True,-0.25214194124632283,0.956423043622527,65258873843.321045,,False,True
0,2.0,0.0025,1.0,2,0,null_plus_observed_controls,0.002638489434062739,-3.0797930353030316e-05,0.00010789000906559689,5.285006243319526e-05,1.1459500170867568e-05,3.4288052159635593e-05,4.405312067672099e-06,4.8870822342263584e-06,True,True,378.9531073952957,0.35199928534613173,177315958704.9529,True,False,0.28600221218046495,1.1190276071352458,False,True,-0.8825852808210302,1.5877627896720132,39310085329.245445,,False,True
