axis,dt_ps,prefix_ps,parts,block,nw,lower_per_ps,upper_per_ps,bins,temperature_K,drag_J_s_m2,scalar_mobility_m2_J_s,coupled_matrix_diagonal_mobility_m2_J_s,fitted_band,zero_frequency_limit_certified,fitted_drag_J_s_m2,prediction_relative_error,normalized_residual,sensitivity_scale_J_s_m2
0,0.0025,1000,1,0,2.0,0.005,0.01,5,299.0688819657627,1.1444768461072153e-11,87376166971.08081,91270921571.74048,False,False,1.3800008493744352e-11,0.20579184635173986,,
0,0.0025,1000,1,0,2.0,0.01,0.02,10,299.0688819657627,1.3623984475060679e-11,73399966201.55765,74394812307.96497,False,False,1.3800008493744352e-11,0.012920157022043912,,
0,0.0025,1000,1,0,2.0,0.02,0.04,20,299.0688819657627,1.3551717566155542e-11,73791384384.91586,74198436727.8477,True,False,1.3800008493744352e-11,0.01832173127699313,0.01865960883410887,1.3306330791615809e-11
0,0.0025,1000,1,0,2.0,0.04,0.08,39,299.0688819657627,1.451477686303791e-11,68895306447.77011,69464479982.74683,True,False,1.3800008493744352e-11,-0.04924418584165257,-0.14870735004930521,4.8065436513835395e-12
0,0.0025,1000,1,0,2.0,0.08,0.16,78,299.0688819657627,1.2656461299533594e-11,79011026568.44937,79581647798.66005,True,False,1.3800008493744352e-11,0.09035283774406193,0.2542975117413144,4.496887076795458e-12
0,0.0025,1000,1,0,3.0,0.005,0.01,5,299.0688819657627,1.1705897756662532e-11,85427023265.33133,91914176347.74072,False,False,1.3800008493744352e-11,0.17889364665686872,,
0,0.0025,1000,1,0,3.0,0.01,0.02,10,299.0688819657627,1.3642514572528387e-11,73300269879.40161,74539604966.63033,False,False,1.3800008493744352e-11,0.01154434692949543,,
0,0.0025,1000,1,0,3.0,0.02,0.04,20,299.0688819657627,1.2998798684949796e-11,76930185953.09235,77056051576.93301,True,False,1.3800008493744352e-11,0.06163721957800671,0.060212677810429154,1.3306330791615809e-11
0,0.0025,1000,1,0,3.0,0.04,0.08,39,299.0688819657627,1.4756877837187252e-11,67765011747.94613,68513580817.21562,True,False,1.3800008493744352e-11,-0.06484226229965764,-0.19907638686844553,4.8065436513835395e-12
0,0.0025,1000,1,0,3.0,0.08,0.16,78,299.0688819657627,1.2881968794918953e-11,77627885606.61868,78734266474.6482,True,False,1.3800008493744352e-11,0.07126548072275267,0.20415004494166786,4.496887076795458e-12
0,0.0025,1000,2,0,2.0,0.01,0.02,5,299.0821823607191,1.5486025791667525e-11,64574346798.39317,64869553158.70099,False,False,1.3800008493744352e-11,-0.10887346570418079,,
0,0.0025,1000,2,0,2.0,0.02,0.04,10,299.0821823607191,1.6067479353405664e-11,62237515792.29756,62493001615.30206,True,False,1.3800008493744352e-11,-0.14112175343674546,-0.17040541793008962,1.3306330791615809e-11
0,0.0025,1000,2,0,2.0,0.04,0.08,19,299.0821823607191,1.3958668450293066e-11,71640071082.78331,72671989025.55164,True,False,1.3800008493744352e-11,-0.011366410565141198,-0.033009157526956975,4.8065436513835395e-12
0,0.0025,1000,2,0,2.0,0.08,0.16,39,299.0821823607191,1.1899193462730324e-11,84039309313.87222,84376662687.98448,True,False,1.3800008493744352e-11,0.15974318233984544,0.4226957445345889,4.496887076795458e-12
0,0.0025,1000,2,0,3.0,0.01,0.02,5,299.0821823607191,1.5669538964290873e-11,63818086944.28651,63997936863.841805,False,False,1.3800008493744352e-11,-0.11930985811433076,,
0,0.0025,1000,2,0,3.0,0.02,0.04,10,299.0821823607191,1.654271806168483e-11,60449558305.42353,60549502279.9392,True,False,1.3800008493744352e-11,-0.1657955819420609,-0.2061206512067649,1.3306330791615809e-11
0,0.0025,1000,2,0,3.0,0.04,0.08,19,299.0821823607191,1.3480667361136524e-11,74180303779.53725,74893800944.66081,True,False,1.3800008493744352e-11,0.023688822226150142,0.06643882918152776,4.8065436513835395e-12
0,0.0025,1000,2,0,3.0,0.08,0.16,39,299.0821823607191,1.1709070959989932e-11,85403872213.00603,85544734214.9671,True,False,1.3800008493744352e-11,0.1785741619381404,0.4649744363259505,4.496887076795458e-12
0,0.0025,1000,2,1,2.0,0.01,0.02,5,299.05530263352335,8.852328141820714e-12,112964633029.78325,116060794799.25784,False,False,1.3800008493744352e-11,0.5589128953037226,,
0,0.0025,1000,2,1,2.0,0.02,0.04,10,299.05530263352335,1.1147344437579475e-11,89707464015.27171,94545165258.87573,True,False,1.3800008493744352e-11,0.2379637653630154,0.19935353311946033,1.3306330791615809e-11
0,0.0025,1000,2,1,2.0,0.04,0.08,19,299.05530263352335,1.3220845485050325e-11,75638127768.0588,76561820716.3349,True,False,1.3800008493744352e-11,0.04380680565013212,0.12049469446247871,4.8065436513835395e-12
0,0.0025,1000,2,1,2.0,0.08,0.16,39,299.05530263352335,1.2845852108723588e-11,77846139869.60837,78150313209.34724,True,False,1.3800008493744352e-11,0.07427739140580622,0.21218153107387072,4.496887076795458e-12
0,0.0025,1000,2,1,3.0,0.01,0.02,5,299.05530263352335,8.658029601568686e-12,115499720608.34918,118891494945.90154,False,False,1.3800008493744352e-11,0.5938971254203183,,
0,0.0025,1000,2,1,3.0,0.02,0.04,10,299.05530263352335,1.1873742014670914e-11,84219448154.12224,88158612626.78716,True,False,1.3800008493744352e-11,0.16222909986534895,0.14476315892335692,1.3306330791615809e-11
0,0.0025,1000,2,1,3.0,0.04,0.08,19,299.05530263352335,1.337455016640868e-11,74768869798.07254,75495966792.56407,True,False,1.3800008493744352e-11,0.031811038281066586,0.08851648048867838,4.8065436513835395e-12
0,0.0025,1000,2,1,3.0,0.08,0.16,39,299.05530263352335,1.3052046607819366e-11,76616336889.33572,77236971613.93062,True,False,1.3800008493744352e-11,0.057306099832411604,0.16632881216532425,4.496887076795458e-12
