case,family,completed,classification,source_loss_104,other_loss_102,selected_objective,selected_count,Haa,Hxx,positive_LJ,exact_residual,kkt_residual,margin,spectral_cuts,material_accepted,profiles,failures,minimum_closure_loss,optimizer_success,termination
shape_refit,old_family,True,verified_coefficient_profile,2215.203159042821,2215.2031590428205,2215.2031590428205,102,19.66091286328976,4.393593035123308,True,4.440892098500626e-14,1.432454155292362e-11,0.006266944476419255,0,False,82,0,2012.434779088693,True,`ftol` termination condition is satisfied.
shape_refit,power_family,True,verified_coefficient_profile,2223.2001357386766,2223.2001357386775,2223.2001357386775,102,19.660912863289774,4.393593035123307,True,1.3216940769347102e-14,1.254818471352337e-11,0.006247139763159319,0,False,162,0,2014.0024763214478,False,The maximum number of function evaluations is exceeded.
