model,profile,point_index,role,q,matrix_relative_error,minimax,strictly_positive_LJ,tail_bound,radius_change_bound,material_accepted
original,finite_q,0,fit,"(0.125, 0.125, 0.0)",0.03151083188728384,0.8762847514007642,True,0.000899806767351378,0.00037317777114665004,False
original,finite_q,1,fit,"(0.375, 0.375, 0.0)",0.06528686942221013,0.8762847514007642,True,0.0008998067673516466,0.0003565332112064855,False
original,finite_q,2,fit,"(0.125, 0.125, 0.125)",0.043817238282889026,0.8762847514007642,True,0.0008998067673534595,0.00034953680963355807,False
original,finite_q,3,fit,"(0.375, 0.375, 0.375)",0.03963769792613355,0.8762847514007642,True,0.0008998067673458137,0.00035480160318280917,False
original,finite_q,4,excluded,"(0.25, 0.25, 0.0)",0.04569653911837039,0.8762847514007642,True,0.0008998067673559069,0.0003432019333826378,False
original,finite_q,5,excluded,"(0.625, 0.625, 0.0)",0.19632869945444206,0.8762847514007642,True,0.0008998067673396962,0.00035286425328624765,False
original,finite_q,6,excluded,"(0.25, 0.25, 0.25)",0.03366705409176679,0.8762847514007642,True,0.0008998067673543738,0.0003528964060508902,False
original,finite_q,7,excluded,"(0.45, 0.45, 0.45)",0.05426309456022958,0.8762847514007642,True,0.000899806767339683,0.0003475269188307547,False
original,interface,0,fit,"(0.125, 0.125, 0.0)",0.07024184485465641,26.30950071973773,False,1.651441298164746e-12,2.6568967906846067e-11,False
original,interface,1,fit,"(0.375, 0.375, 0.0)",2.9620512734338176,26.30950071973773,False,1.6518288820950458e-12,2.5576498453352857e-11,False
original,interface,2,fit,"(0.125, 0.125, 0.125)",0.06401636712542004,26.30950071973773,False,1.6544454811977195e-12,2.6726909654210765e-11,False
original,interface,3,fit,"(0.375, 0.375, 0.375)",0.04898012001334575,26.30950071973773,False,1.6434101741714553e-12,2.5374110154785632e-11,False
original,interface,4,excluded,"(0.25, 0.25, 0.0)",0.9286920145358225,26.30950071973773,False,1.6579778707177897e-12,2.3629872548106845e-11,False
original,interface,5,excluded,"(0.625, 0.625, 0.0)",5.903835423959339,26.30950071973773,False,1.6345807936875686e-12,2.4398597538944512e-11,False
original,interface,6,excluded,"(0.25, 0.25, 0.25)",0.10397758724721728,26.30950071973773,False,1.6557651008638281e-12,2.463943711667618e-11,False
original,interface,7,excluded,"(0.45, 0.45, 0.45)",0.13053301915360058,26.30950071973773,False,1.6345616921573169e-12,2.2845110036049098e-11,False
original,joint,0,fit,"(0.125, 0.125, 0.0)",0.05443589706375114,34.254821407462366,True,0.00013981354608501626,5.79850363909563e-05,False
original,joint,1,fit,"(0.375, 0.375, 0.0)",2.3758842209811255,34.254821407462366,True,0.00013981354608535784,5.539877476114966e-05,False
original,joint,2,fit,"(0.125, 0.125, 0.125)",0.05506918523836941,34.254821407462366,True,0.00013981354608766388,5.4311662747585485e-05,False
original,joint,3,fit,"(0.375, 0.375, 0.375)",0.042808906153017426,34.254821407462366,True,0.0001398135460779383,5.512971429640518e-05,False
original,joint,4,excluded,"(0.25, 0.25, 0.0)",0.7398374978432606,34.254821407462366,True,0.00013981354609077706,5.332733586344466e-05,False
original,joint,5,excluded,"(0.625, 0.625, 0.0)",4.728393899151674,34.254821407462366,True,0.0001398135460701568,5.482868462994661e-05,False
original,joint,6,excluded,"(0.25, 0.25, 0.25)",0.07964874361750635,34.254821407462366,True,0.00013981354608882688,5.48336809181804e-05,False
original,joint,7,excluded,"(0.45, 0.45, 0.45)",0.09965875048195444,34.254821407462366,True,0.00013981354607013998,5.399935898713778e-05,False
wider,finite_q,0,fit,"(0.125, 0.125, 0.0)",0.0595858370737648,1.7109893199256425,True,0.0006940668869174056,0.0002878519387185561,False
wider,finite_q,1,fit,"(0.375, 0.375, 0.0)",0.11525776814643582,1.7109893199256425,True,0.0006940668869121979,0.00027501316060733614,False
wider,finite_q,2,fit,"(0.125, 0.125, 0.125)",0.0855514025365047,1.7109893199256425,True,0.00069406688693052,0.0002696164878112165,False
wider,finite_q,3,fit,"(0.375, 0.375, 0.375)",0.07563054935185225,1.7109893199256425,True,0.0006940668868749796,0.00027367748311931414,False
wider,finite_q,4,excluded,"(0.25, 0.25, 0.0)",0.07862108134485726,1.7109893199256425,True,0.0006940668869431267,0.0002647299713127813,False
wider,finite_q,5,excluded,"(0.625, 0.625, 0.0)",0.46676765031953327,1.7109893199256425,True,0.0006940668868365352,0.0002721830865999683,False
wider,finite_q,6,excluded,"(0.25, 0.25, 0.25)",0.07663841283976369,1.7109893199256425,True,0.0006940668869314534,0.0002722078810787383,False
wider,finite_q,7,excluded,"(0.45, 0.45, 0.45)",0.13099729334672586,1.7109893199256425,True,0.0006940668868369572,0.000268066073828666,False
wider,interface,0,fit,"(0.125, 0.125, 0.0)",0.027225251480688512,18.46444670707517,True,7.791811323831885e-05,3.231524311335364e-05,False
wider,interface,1,fit,"(0.375, 0.375, 0.0)",1.6798375897321707,18.46444670707517,True,7.791811322819691e-05,3.087391667790475e-05,False
wider,interface,2,fit,"(0.125, 0.125, 0.125)",0.09300580332661296,18.46444670707517,True,7.791811326380886e-05,3.0268073772337074e-05,False
wider,interface,3,fit,"(0.375, 0.375, 0.375)",0.07667011641942348,18.46444670707517,True,7.791811315585718e-05,3.07239686300311e-05,False
wider,interface,4,excluded,"(0.25, 0.25, 0.0)",0.4532861479559931,18.46444670707517,True,7.79181132883118e-05,2.9719488129328517e-05,False
wider,interface,5,excluded,"(0.625, 0.625, 0.0)",3.934183012433277,18.46444670707517,True,7.791811308113448e-05,3.0556199723999976e-05,False
wider,interface,6,excluded,"(0.25, 0.25, 0.25)",0.02620612344565508,18.46444670707517,True,7.791811326562307e-05,3.055898261090144e-05,False
wider,interface,7,excluded,"(0.45, 0.45, 0.45)",0.06688741228814582,18.46444670707517,True,7.791811308195478e-05,3.009400581801003e-05,False
wider,joint,0,fit,"(0.125, 0.125, 0.0)",0.02509944271357181,22.612662713857592,True,0.00012134140197189055,5.032427716731318e-05,False
wider,joint,1,fit,"(0.375, 0.375, 0.0)",1.540763823952436,22.612662713857592,True,0.00012134140196236409,4.807971175900686e-05,False
wider,joint,2,fit,"(0.125, 0.125, 0.125)",0.08952288483873909,22.612662713857592,True,0.00012134140199588092,4.7136233497325035e-05,False
wider,joint,3,fit,"(0.375, 0.375, 0.375)",0.07411062341174719,22.612662713857592,True,0.00012134140189428024,4.784619905054811e-05,False
wider,joint,4,excluded,"(0.25, 0.25, 0.0)",0.4105132284122246,22.612662713857592,True,0.00012134140201894232,4.628193062123446e-05,False
wider,joint,5,excluded,"(0.625, 0.625, 0.0)",3.6158551177493345,22.612662713857592,True,0.00012134140182395359,4.758493563655556e-05,False
wider,joint,6,excluded,"(0.25, 0.25, 0.25)",0.0282771190781352,22.612662713857592,True,0.00012134140199758843,4.7589269844034644e-05,False
wider,joint,7,excluded,"(0.45, 0.45, 0.45)",0.06822153762380256,22.612662713857592,True,0.00012134140182472564,4.686516712571196e-05,False
radial,finite_q,0,fit,"(0.125, 0.125, 0.0)",0.2635407456255681,6.474690916874162,True,0.0004999111455997871,0.0002364803018806463,False
radial,finite_q,1,fit,"(0.375, 0.375, 0.0)",0.4483296624139574,6.474690916874162,True,0.000499877183401626,0.00022729903720793325,False
radial,finite_q,2,fit,"(0.125, 0.125, 0.125)",0.32373522874284594,6.474690916874162,True,0.0004999125212289643,0.00022349636640440137,False
radial,finite_q,3,fit,"(0.375, 0.375, 0.375)",0.24022188938541705,6.474690916874162,True,0.0004998654863902697,0.0002261939642662939,False
radial,finite_q,4,excluded,"(0.25, 0.25, 0.0)",0.1582789216826623,6.474690916874162,True,0.000499899438481206,0.0002174441355962657,False
radial,finite_q,5,excluded,"(0.625, 0.625, 0.0)",1.109647961556035,6.474690916874162,True,0.000499855476754085,0.00022468487228488612,False
radial,finite_q,6,excluded,"(0.25, 0.25, 0.25)",0.11813058984881808,6.474690916874162,True,0.0004998883702298897,0.00022468190081267666,False
radial,finite_q,7,excluded,"(0.45, 0.45, 0.45)",0.3201453622031217,6.474690916874162,True,0.0004998562465947065,0.00022053912668604282,False
radial,interface,0,fit,"(0.125, 0.125, 0.0)",0.12563529774981094,13.923142659781675,True,3.771521505465238e-05,1.7540181743949607e-05,False
radial,interface,1,fit,"(0.375, 0.375, 0.0)",3.3573450981260486,13.923142659781675,True,3.7632267775653195e-05,1.6402769696095593e-05,False
radial,interface,2,fit,"(0.125, 0.125, 0.125)",0.27692453836471437,13.923142659781675,True,3.7718574810596806e-05,1.6443355923282853e-05,False
radial,interface,3,fit,"(0.375, 0.375, 0.375)",0.18869111940987485,13.923142659781675,True,3.7603699681802526e-05,1.630962347383727e-05,False
