radius_over_L0,energy_eV_per_row_period,site_count,inside_free_disk
1.0,0.37533032939512945,4,True
1.5,0.5848501352505844,10,True
2.0,0.7396678474709457,18,True
2.5,0.7854831618008759,30,True
3.0,0.7924552465308785,40,True
3.5,0.8022514022707963,56,True
4.0,0.813316298084491,72,True
4.5,0.8384693760580192,90,True
5.0,0.86882729177716,112,True
5.5,0.8975381913714519,136,True
6.0,0.9136536532087278,158,True
6.5,0.9271840465434529,188,True
7.0,0.9362448051759777,220,True
7.5,0.9362460461928066,254,True
8.0,0.9331081235694434,286,True
