model,forward_saddle_J_m2,reverse_from_fault_J_m2,intrinsic_fault_relaxed_J_m2,constrained_direct_midpoint_J_m2,direct_over_connected_saddle,interpretation
analytic_candidate,0.17323796988051252,0.04643780131801266,0.12680016856249982,0.6799760111041008,3.9250980115565945,"per-interface-area static barriers, not finite defect activation"
Mishin_source_only,0.1720023652869252,0.02152288806583751,0.15047947722108768,0.6030383534361441,3.5059887253886752,"per-interface-area static barriers, not finite defect activation"
