model,fraction_a1,fraction_a2,a_L0,ux_L0,uy_L0,energy_J_m2,normal_force_eV_L0,registry_x_force_eV_L0,registry_y_force_eV_L0,min_registry_hessian_eV_L0sq
analytic_candidate,0.0,0.0,0.816496580927726,0.0,0.0,7.039344659735242e-40,-7.980061084991899e-12,1.5721376626206425e-16,1.5497681550777338e-16,4.945211215219163
analytic_candidate,0.0,0.05,0.816496580927726,0.025,0.04330127018922193,0.013892361707439137,-0.06002689755341285,0.09112815327114053,0.2307646217966805,3.417489922747082
analytic_candidate,0.0,0.1,0.816496580927726,0.05,0.08660254037844387,0.05492328465784191,-0.24052118484196033,0.11453703485419786,0.48710035972892024,1.7922437188324154
analytic_candidate,0.0,0.15000000000000002,0.816496580927726,0.07500000000000001,0.1299038105676658,0.12098779177104442,-0.5407557912190778,0.06722847719627124,0.7539246196630288,0.11782291411584589
analytic_candidate,0.0,0.2,0.816496580927726,0.1,0.17320508075688773,0.2080939181761346,-0.9535317291370846,-0.05194041132089971,1.0099650230998667,-1.54612850352611
analytic_candidate,0.0,0.25,0.816496580927726,0.125,0.21650635094610965,0.30988231618136897,-1.4582469677379641,-0.2404809156363644,1.2276930451821275,-3.122646927572067
analytic_candidate,0.0,0.30000000000000004,0.816496580927726,0.15000000000000002,0.2598076211353316,0.4174124969669617,-2.015271662532109,-0.4893999730356273,1.3762200537622915,-4.520938385359226
analytic_candidate,0.0,0.35000000000000003,0.816496580927726,0.17500000000000002,0.30310889132455354,0.5195586957182364,-2.565103915259811,-0.780374540723718,1.427378629000227,-5.651566586736562
analytic_candidate,0.0,0.4,0.816496580927726,0.2,0.34641016151377546,0.6042295391615232,-3.034966294854307,-1.0847080437964691,1.3637477795926607,-6.452110760800503
analytic_candidate,0.0,0.45,0.816496580927726,0.225,0.3897114317029974,0.6603260791364142,-3.352867860106028,-1.365677826537192,1.1858191324918734,-6.910310761965327
analytic_candidate,0.0,0.5,0.816496580927726,0.25,0.4330127018922193,0.6799760111041007,-3.465421121013677,-1.5846943964823221,0.9149237363923592,-7.0559157172374976
analytic_candidate,0.0,0.55,0.816496580927726,0.275,0.4763139720814413,0.6603260791364141,-3.352867860106027,-1.7097884063001836,0.5898021249203887,-6.91031076196533
analytic_candidate,0.0,0.6000000000000001,0.816496580927726,0.30000000000000004,0.5196152422706632,0.6042295391615229,-3.0349662948543066,-1.7233942433801008,0.2575108318207352,-6.4521107608005055
analytic_candidate,0.0,0.65,0.816496580927726,0.325,0.562916512459885,0.5195586957182365,-2.565103915259814,-1.6263334238950584,-0.03786513776675998,-5.651566586736561
analytic_candidate,0.0,0.7000000000000001,0.816496580927726,0.35000000000000003,0.6062177826491071,0.4174124969669611,-2.015271662532104,-1.4365415142735425,-0.26427721762087414,-4.520938385359225
analytic_candidate,0.0,0.75,0.816496580927726,0.375,0.649519052838329,0.30988231618136897,-1.4582469677379655,-1.1834538229953817,-0.40558394052463,-3.122646927572068
analytic_candidate,0.0,0.8,0.816496580927726,0.4,0.6928203230275509,0.20809391817613457,-0.9535317291370852,-0.9006255725986698,-0.46000079586302045,-1.5461285035261068
analytic_candidate,0.0,0.8500000000000001,0.816496580927726,0.42500000000000004,0.7361215932167728,0.12098779177104453,-0.540755791219078,-0.6193036345685679,-0.43518387894122923,0.11782291411584983
analytic_candidate,0.0,0.9,0.816496580927726,0.45,0.7794228634059948,0.054923284657841784,-0.24052118484195842,-0.36457276829068386,-0.3427421617223387,1.7922437188324316
analytic_candidate,0.0,0.9500000000000001,0.816496580927726,0.47500000000000003,0.8227241335952167,0.013892361707438445,-0.06002689755341306,-0.15428394813506308,-0.19430160663110876,3.4174899227470887
analytic_candidate,0.0,1.0,0.816496580927726,0.5,0.8660254037844386,-1.9258443157304015e-16,-7.979139757508185e-12,-2.7045882543295884e-16,9.25505620876585e-16,4.945211215219163
