model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,samples,constrained_curvature_eV_L0sq,solved_force_residual_eV_L0,required_holding_normal_MPa,required_holding_transverse_MPa,full_coordinate_spinodal,experimental_yield
analytic_candidate,a_y_fixed,0.816496580927726,0.2774109299100325,0.0,0.1634864186667299,0.36879191506481285,2.231161145398246,-4.054373428080512,2.5084805394928313,55.47332539517741,-1.7605204213707517,-13867.582332261652,49.18302208728645,-11.214725842091397,13.021903558427141,0.9576462316508836,7543.359225710469,-11.214725842091397,-6.9530853297195e-11,-5.824991890471367,-0.9805924727817497,-7724.106284498038,13.021903558427141,-5.824991890471367,4.744410419372808,31,-6.9530853297195e-11,0.0,-13867.582332261652,-7724.106284498038,False,False
analytic_candidate,a_y_fixed,0.816496580927726,0.2774109299083075,0.0,0.16348641866507665,0.3687919150610835,2.2311611453785645,-4.05437342803561,2.5084805395515537,55.473325394830894,-1.7605204213514045,-13867.582332109254,49.18302208697867,-11.214725842075223,13.021903558284484,0.9576462316508844,7543.359225710475,-11.214725842075223,3.913536161803677e-15,-5.824991890469682,-0.9805924727717021,-7724.106284418894,13.021903558284484,-5.824991890469682,4.744410419368163,61,3.913536161803677e-15,0.0,-13867.582332109254,-7724.106284418894,False,False
analytic_candidate,a_free_y_fixed,0.8516094169805877,0.2070808015855205,0.0,0.0820444372408074,0.18507546606750458,0.7170627926035269,-1.3215758157919764,3.297790136240987,24.430657218359663,-4.593547764386585e-15,-3.6183279129593466e-11,21.72542404724411,-5.734288715806436,4.29931498782057,0.6054221957765041,4768.89790302593,-5.734288715806436,1.5135293564222057,-3.3485903902110623,-0.38424342986904136,-3026.677415755685,4.29931498782057,-3.3485903902110623,3.1679181351423478,31,-5.995204332975845e-15,4.593547764386585e-15,0.0,-3026.677415755685,False,False
analytic_candidate,a_free_y_fixed,0.8516094169807643,0.20708080158619047,0.0,0.0820444372412118,0.1850754660684168,0.7170627926043229,-1.321575815803897,3.2977901362227464,24.43065721835518,-2.55351295663786e-15,-2.0113967854517214e-11,21.725424047234426,-5.734288715805446,4.299314987835064,0.6054221957765054,4768.897903025939,-5.734288715805446,1.513529356404633,-3.3485903902100733,-0.38424342987052507,-3026.6774157673726,4.299314987835064,-3.3485903902100733,3.167918135134966,61,-1.7730927837078525e-11,2.55351295663786e-15,0.0,-3026.6774157673726,False,False
analytic_candidate,a_y_free,0.8303530572447921,0.13450207063486785,0.046509103255796755,0.034774551896293644,0.07844427502872875,0.396600957546317,-4.8562022458842335e-12,7.031442519289701,23.06413451520593,-5.215272658176673e-14,-4.1080593041997657e-10,22.395197017799045,-3.5607402231507908,0.3902387293025905,0.396600957546317,3124.0174013687993,-3.5607402231507908,2.510306248827839,-3.2364963917450105,-1.8500175349989156e-14,-1.4572549214027218e-10,0.3902387293025905,-3.2364963917450105,5.190073767863887,31,-6.7843508588794066e-12,5.215272658176673e-14,0.0,0.0,True,False
analytic_candidate,a_y_free,0.830353057244774,0.13450207063473155,0.04650910325571667,0.034774551896240395,0.07844427502860862,0.396600957546298,-6.316843749465395e-13,7.031442519288573,23.064134515206597,-4.440892098500626e-16,-3.4980813660029935e-12,22.39519701779962,-3.56074022315108,0.39023872930199455,0.396600957546298,3124.017401368649,-3.56074022315108,2.510306248831331,-3.2364963917428,5.025277069470313e-16,3.958400178570283e-12,0.39023872930199455,-3.2364963917428,5.1900737678635815,61,-8.801848139228241e-13,5.025277069470313e-16,0.0,0.0,True,False
Mishin_source_only,a_y_fixed,0.8164965809277261,0.28470962045444237,0.0,0.14550076397258174,0.3282199575135819,1.7571784266723938,-2.7851890838607116,3.3818806745016445,36.857587348371354,-1.3051744897685804,-10280.832005766177,33.248307940092715,-7.888905868035746,7.016217114881942,0.8203189415178748,6461.6350495699235,-7.888905868035746,1.1387303961102668e-10,-3.9756565844171963,-0.843369674939281,-6643.2051919324185,7.016217114881942,-3.9756565844171963,4.2059709988057,31,1.1387303961102668e-10,0.0,-10280.832005766177,-6643.2051919324185,False,False
Mishin_source_only,a_y_fixed,0.8164965809277261,0.2847096204592657,0.0,0.14550076397653883,0.3282199575225083,1.757178426709866,-2.7851890839172184,3.381880674493139,36.85758734865139,-1.305174489806637,-10280.83200606595,33.24830794039956,-7.888905868009322,7.0162171149370165,0.8203189415178758,6461.635049569931,-7.888905868009322,1.652532788344249e-12,-3.9756565843928193,-0.8433696749584588,-6643.205192083481,7.0162171149370165,-3.9756565843928193,4.205970998826094,61,1.652532788344249e-12,0.0,-10280.83200606595,-6643.205192083481,False,False
Mishin_source_only,a_free_y_fixed,0.8428130309804329,0.19990011096441296,0.0,0.07085932359440837,0.159844137890441,0.6668276769304792,-1.7819154348466033,3.8912828213915316,23.184661269479108,-3.2390516768752937e-15,-2.5513941935728876e-11,20.684148170700816,-5.385645036516945,3.8172445951967733,0.5573666039399823,4390.365016824216,-5.385645036516945,1.4022899188239957,-3.7817803657412976,-0.36606231646116,-2883.465167822956,3.8172445951967733,-3.7817803657412976,3.2075905664992264,31,-5.998090912839871e-12,3.2390516768752937e-15,0.0,-2883.465167822956,False,False
Mishin_source_only,a_free_y_fixed,0.8428130309802914,0.199900110963869,0.0,0.07085932359410492,0.1598441378897565,0.6668276769296456,-1.781915434841975,3.8912828214003534,23.184661269473644,-2.384577921625983e-16,-1.878327013673292e-12,20.68414817069658,-5.38564503652067,3.817244595186275,0.5573666039399817,4390.365016824211,-5.38564503652067,1.4022899188322195,-3.7817803657416453,-0.3660623164596424,-2883.4651678110017,3.817244595186275,-3.7817803657416453,3.207590566503223,61,-8.881784197001252e-16,2.384577921625983e-16,0.0,-2883.4651678110017,False,False
Mishin_source_only,a_y_free,0.8228673587027128,0.12986722606155018,0.04340874358793068,0.029746385406853496,0.06710176007226945,0.3513407411109902,-1.1245009144276796e-12,6.275183751454993,20.512163604825197,2.3994815336361457e-15,1.8900665575087498e-11,20.000046372719023,-2.4286543611280424,1.2906330312708394,0.3513407411109902,2767.503628410582,-2.4286543611280424,2.2970834761776873,-3.127146857770681,1.1441433079520373e-15,9.012392773369434e-12,1.2906330312708394,-3.127146857770681,4.490217507382355,31,-1.6431300764452317e-12,2.3994815336361457e-15,0.0,0.0,True,False
Mishin_source_only,a_y_free,0.8228673587027098,0.1298672260615147,0.043408743587906806,0.029746385406841186,0.06710176007224168,0.3513407411109902,1.987241864664284e-14,6.275183751454552,20.512163604826036,-3.596738365119191e-15,-2.8331432456238815e-11,20.000046372720043,-2.4286543611272955,1.2906330312712109,0.3513407411109902,2767.503628410582,-2.4286543611272955,2.2970834761785057,-3.127146857770068,7.478585932911958e-16,5.890866410558375e-12,1.2906330312712109,-3.127146857770068,4.490217507382059,61,2.886579864025407e-14,3.596738365119191e-15,0.0,0.0,True,False
