model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,samples,normal_load_MPa,schur_x_eV_L0sq,transverse_force_residual_eV_L0,eliminated_eigenvalue_min_eV_L0sq
analytic_candidate,relaxed_x_branch,0.8164965809280745,0.0,-3.133876567899806e-17,1.9964348350592288e-15,4.5035485646333405e-15,3.3739380181669698e-15,4.945211215202441,4.945211215202447,22.902007120234316,-3.3501355480049223e-15,-2.6388947252325576e-11,22.902007120234316,3.2419766612795936e-15,2.498614200498203e-15,-2.8189905623147294e-16,-2.2205129370967683e-12,3.2419766612795936e-15,4.945211215202445,-1.49447779057431e-15,-2.838705383128428e-16,-2.2360422599879437e-12,2.498614200498203e-15,-1.49447779057431e-15,4.94521121520244,41,0.0,4.945211215202445,3.3501355480049223e-15,4.94521121520244
analytic_candidate,relaxed_x_branch,0.8166597328940856,0.0125,0.0004616391732519562,0.0003854225169369608,0.0008694343498956848,0.0615203969390881,4.557334828203837,5.2885694184736565,22.92002933849859,1.993522534549097e-15,1.5702935077318616e-11,22.90025563875017,-0.5963754132295582,0.005810915729961506,0.0615203969390881,484.59487280582783,-0.5963754132295582,4.9170784882697,-0.3651106204565509,6.169618581210873e-16,4.859795580614587e-12,0.005810915729961506,-0.3651106204565509,4.948599458156212,41,0.0,4.8746317369349494,1.993522534549097e-15,4.948597577174438
analytic_candidate,relaxed_x_branch,0.8171431901592856,0.025,0.0018382197931038975,0.0015307233815583287,0.003452998799063325,0.12129588691155985,4.128111672588414,5.5879652897815815,22.970646682795397,3.7235839411842164e-15,2.9330592391114946e-11,22.894495094920757,-1.17313373235929,0.02288321812566834,0.12129588691155985,955.4451501341157,-1.17313373235929,4.8336319696955945,-0.7260008874633621,5.559111114147863e-16,4.378900132814843e-12,0.02288321812566834,-0.7260008874633621,4.958596580549044,41,0.0,4.667566511885456,3.7235839411842164e-15,4.958567385422912
analytic_candidate,relaxed_x_branch,0.817929497358313,0.037500000000000006,0.004105509387833303,0.0034037227931247235,0.007678102300259587,0.17769523182286698,3.6644092840062488,5.84691299784391,23.044341166086618,-2.6419838539126772e-15,-2.0810851251650625e-11,22.883301041311157,-1.712124868865702,0.05017484060225242,0.17769523182286698,1399.7016038219456,-1.712124868865702,4.6976504968592545,-1.0786619717363284,-2.145365048805692e-17,-1.6898995368599667e-13,0.05017484060225242,-1.0786619717363284,4.974711909766364,41,0.0,4.337284374857864,2.6419838539126772e-15,4.974571335048293
analytic_candidate,relaxed_x_branch,0.8189912538974945,0.05,0.007225551347967275,0.005953074292049489,0.013428917744925915,0.2292967116822552,3.1759296589547823,6.070674292958349,23.127676619334114,-4.352421201225809e-15,-3.428393026289653e-11,22.864588211597958,-2.197886442179593,0.0860719044753114,0.2292967116822552,1806.165375403446,-2.197886442179593,4.513526224147668,-1.4194762928361504,-1.1481701006621492e-15,-9.044111734856372e-12,0.0860719044753114,-1.4194762928361504,4.996166135501616,41,0.0,3.903621703299728,4.352421201225809e-15,4.995751538128806
analytic_candidate,relaxed_x_branch,0.8202933046603667,0.0625,0.011149797232924002,0.009111328112789271,0.020553292260620255,0.2749535008210999,2.6738393714585147,6.265054484948432,23.205969454574905,-4.010160259415585e-14,-3.1587948022613754e-10,22.835968976526654,-2.6184452781265337,0.12854781396674594,0.2749535008210999,2165.8029432066437,-2.6184452781265337,4.286951766976681,-1.7453424993443478,-9.645550417408666e-15,-7.597779777484701e-11,0.12854781396674594,-1.7453424993443478,5.021942567478513,41,0.0,3.39024652106137,4.010160259415585e-14,5.021015001766076
analytic_candidate,relaxed_x_branch,0.8217952321080826,0.07500000000000001,0.01582264108101676,0.01279859284910012,0.028871007178744895,0.3138239495761268,2.169358823103844,6.435507269838193,23.265674436618312,-1.311381558899427e-13,-1.0329724958764153e-09,22.795134052913173,-2.9656404381485317,0.175343913328244,0.3138239495761268,2471.9846505353175,-2.9656404381485317,4.024558650078961,-2.0537366598752835,-3.8014676042447126e-14,-2.9944080367010515e-10,0.175343913328244,-2.0537366598752835,5.050847826568214,41,0.0,2.8218854401761,1.311381558899427e-13,5.049115297804127
analytic_candidate,relaxed_x_branch,0.8234537928899288,0.08750000000000001,0.021184829639423704,0.01692636913867047,0.038182426042797424,0.3453698643514382,1.672674074821811,6.586630576410083,23.29601029085277,8.604228440844963e-16,6.7775326466308e-12,22.740185505610064,-3.2350166819473367,0.22414519817807518,0.3453698643514382,2720.4711577537496,-3.2350166819473367,3.7335550059369003,-2.3427142241962122,2.0261028098322864e-18,1.595956922050316e-14,0.22414519817807518,-2.3427142241962122,5.081574430537698,41,0.0,2.222044484565907,8.604228440844963e-16,5.078729757336215
analytic_candidate,relaxed_x_branch,0.8252250389653325,0.1,0.027176368105715422,0.02140120270188583,0.04827673511649866,0.36933091718389677,1.192315938193003,6.72198364731524,23.28973467790448,-3.1953606427492787e-15,-2.5169788578818415e-11,22.669876921598124,-3.4254064610338117,0.2727313696754749,0.36933091718389677,2909.211866971467,-3.4254064610338117,3.421398276232048,-2.6108665327939558,1.8945077711468583e-16,1.4922997868455764e-12,0.2727313696754749,-2.6108665327939558,5.112759065582549,41,0.0,1.6114901307157172,3.1953606427492787e-15,5.108523492265015
analytic_candidate,relaxed_x_branch,0.82706598733752,0.1125,0.0337387265570793,0.026127919482535462,0.05893924119939391,0.38568498599651596,0.7349658488949623,6.844105227478671,23.24322875671377,-2.6645352591003757e-15,-2.0988488196017962e-11,22.583744407839436,-3.538339472106115,0.31909248051979794,0.38568498599651596,3038.032523053313,-3.538339472106115,3.0955229799185657,-2.8572491147306462,7.662598854041303e-16,6.035813001520058e-12,0.31909248051979794,-2.8572491147306462,5.143032445329408,41,0.0,1.007502109119422,2.6645352591003757e-15,5.137196333183407
analytic_candidate,relaxed_x_branch,0.8289358126672138,0.125,0.040816316183778595,0.031012324090679652,0.06995745876192389,0.3946032359536334,0.3055583710933536,6.954627874708172,23.15613758804113,8.68749516769185e-15,6.843121672243356e-11,22.482135320213263,-3.577402243748206,0.3615065829262946,0.3946032359536334,3108.2813903988686,-3.577402243748206,2.7631296706153523,-3.081297734155835,2.1640675362810669e-16,1.7046314469096621e-12,0.3615065829262946,-3.081297734155835,5.171058843014044,41,0.0,0.4237460314985646,8.68749516769185e-15,5.163512803519675
analytic_candidate,relaxed_x_branch,0.8307966121130768,0.1375,0.04835731520225216,0.035963338846775154,0.08112593519137414,0.3964063848760468,-0.09245839175020927,7.054420052404351,23.030790464426367,-9.71445146547012e-17,-7.652052988131549e-13,22.366155349882117,-3.5476349545736454,0.39858254917335023,0.3964063848760468,3122.48475653729,-3.5476349545736454,2.4310316168335917,-3.282744235812954,-8.439429710627167e-16,-6.647721033439282e-12,0.39858254917335023,-3.282744235812954,5.1955651583648015,41,0.0,-0.12944536636109572,8.439429710627167e-16,5.186317803837744
