model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq
analytic_candidate,perfect_fixed_a,0.816496580927726,0.0,0.0,3.1205598636256236e-40,7.039344659735242e-40,7.980061088045383e-12,4.945211215219162,4.9452112152191665,22.902007120346795,-7.980061084991899e-12,-6.285877333160307e-08,22.902007120346795,-1.921751326151496e-15,-2.487347750340234e-15,1.5721376626206425e-16,1.2383695303611519e-12,-1.921751326151496e-15,4.945211215219165,-1.3475938628722118e-15,1.5497681550777338e-16,1.2207491163166557e-12,-2.487347750340234e-15,-1.3475938628722118e-15,4.945211215219166
analytic_candidate,perfect_stationary,0.8164965809280742,1.8454728132276954e-16,2.642975730563484e-17,2.5992000764899185e-15,5.86326363781554e-15,1.0014252358631857e-14,4.945211215202459,4.945211215202472,22.902007120234412,-9.9983951136871e-15,-7.875714802648069e-11,22.902007120234412,-5.348482064249726e-15,-8.197770175793432e-16,5.403125004138562e-16,4.256030202027051e-12,-5.348482064249726e-15,4.945211215202463,-7.371352432827682e-15,1.59398415482062e-16,1.2555779663200154e-12,-8.197770175793432e-16,-7.371352432827682e-15,4.945211215202466
analytic_candidate,direct_half_fixed_a,0.816496580927726,0.5,0.0,0.30143514077623185,0.6799760111041008,3.9188627584574,-7.0559157172374904,-2.7002328472121397,85.60569759049727,-3.4654211210136796,-27297.04928625491,77.39993562638787,-8.736706938276746e-16,25.63752943985479,2.0832004603087403e-16,1.6409326212441043e-12,-8.736706938276746e-16,-7.0559157172374904,-2.268549322202682e-15,-1.8298474727847214,-14413.670058178293,25.63752943985479,-2.268549322202682e-15,5.505529116897251
analytic_candidate,partial_saddle_guess_fixed_a,0.816496580927726,0.3,0.1732050807568877,0.08503175495456322,0.1918142436953201,0.6716223990286574,-2.5881946063805303,9.545971283162192,30.49232505160509,-0.6715854082062974,-5290.0641358053745,30.476481816256197,0.6268082543522628,0.3618879143805628,0.006104487778876254,48.084921845972694,0.6268082543522628,0.45722929251681604,-5.2473876348941575,0.0035244276623983967,27.761842571729808,0.3618879143805628,-5.2473876348941575,6.5163906196137384
analytic_candidate,partial_saddle_guess_stationary,0.8428447182535178,0.30906357457572553,0.17843793797800314,0.07679684427974334,0.17323796988051834,4.92801721595579e-15,-1.9600901061401712,6.931622666446994,20.574988106342968,-4.919675777870225e-15,-3.875218263275192e-11,20.56250213910684,0.4592518498984821,0.26514917916472175,-1.4051260155412137e-16,-1.1068148072118848e-12,0.4592518498984821,0.27220256243371793,-3.8448179896988712,2.498001805406602e-16,1.967670768376684e-12,0.26514917916472175,-3.8448179896988712,4.711815965109236
analytic_candidate,intrinsic_fault_fixed_a,0.816496580927726,0.5,0.28867513459481287,0.05807509845193279,0.13100554131854875,0.2909761324388878,3.422836064896065,3.4228360648960687,24.067796462585985,-0.2909761324388878,-2292.012875475518,24.067796462585985,-7.6208493501926e-15,-1.4249410456988092e-14,5.527579784364214e-16,4.354062970660258e-12,-7.6208493501926e-15,3.4228360648960665,1.2263013511536457e-15,9.151195310571963e-16,7.2083772995461465e-12,-1.4249410456988092e-14,1.2263013511536457e-15,3.422836064896069
analytic_candidate,intrinsic_fault_stationary,0.8297097400976307,0.5,0.28867513459481287,0.056210845731199235,0.1268001685625057,2.7000309799626372e-15,2.939888873170635,2.9398888731706396,20.07280717868703,2.5222879340702775e-15,1.9868009008470125e-11,20.07280717868703,-5.706606081143959e-15,-1.143994582856366e-14,4.688681212591568e-16,3.69326433002785e-12,-5.706606081143959e-15,2.9398888731706387,2.2739337371698857e-15,8.416611879303923e-16,6.629747475695922e-12,-1.143994582856366e-14,2.2739337371698857e-15,2.939888873170637
analytic_candidate,on_top_fixed_a,0.816496580927726,1.0,0.5773502691896257,0.7393876007816552,1.6679071661806204,10.08928644639315,-16.388762148785226,-16.3887621487852,201.67053581732108,-10.08928644639315,-79473.09714259986,201.67053581732108,-1.3843778854045593e-14,5.867272549009641e-15,1.2130030163961231e-15,9.554799248541356e-12,-1.3843778854045593e-14,-16.3887621487852,-3.1929069386662514e-15,1.1951856219075544e-16,9.414452006886394e-13,5.867272549009641e-15,-3.1929069386662514e-15,-16.388762148785226
analytic_candidate,on_top_stationary,0.9652572371330239,1.0000000000000002,0.5773502691896258,0.29851101021934423,0.673379770775585,2.689745938751384e-15,-2.8615658298253743,-2.861565829825373,12.51691555693993,-2.6367796834847468e-15,-2.076985811064278e-11,12.51691555693993,3.587787595379928e-15,4.224307473587218e-15,-4.0783903837327855e-16,-3.2125395276859472e-12,3.587787595379928e-15,-2.8615658298253726,-5.643485150133511e-16,-3.402843437045001e-16,-2.6804126185753627e-12,4.224307473587218e-15,-5.643485150133511e-16,-2.861565829825373
analytic_candidate,saddle_downhill_0,0.8164965809280744,1.0345763017886784e-16,-8.080714943330081e-17,2.628493711004696e-15,5.929344084497389e-15,1.224055518345677e-15,4.945211215202441,4.945211215202448,22.902007120234234,-1.2059892140805533e-15,-9.49955167521435e-12,22.902007120234234,-1.6569484372878324e-15,-6.444151247316031e-16,1.541474536929563e-16,1.2142162507442956e-12,-1.6569484372878324e-15,4.9452112152024466,-3.644021812086566e-15,1.4191719428543927e-16,1.1178787546153923e-12,-6.444151247316031e-16,-3.644021812086566e-15,4.945211215202443
