cycle,external_work_increment,mechanical_energy_increment,work_minus_energy_change
1,1.233130536268023e-05,1.2331305162760486e-05,1.9991974350671345e-13
2,0.0005100521072220278,0.0005100521076677467,-4.457188741355256e-13
3,0.0010028312061088267,0.0010028312085026414,-2.393814747120304e-12
4,0.0009789238610639233,0.0009789238643014286,-3.2375053159172662e-12
5,0.0003841687107936525,0.00038416871311408585,-2.3204333420012713e-12
6,1.1513102404811949e-05,1.1513103352456255e-05,-9.476443067757412e-13
