level,bandwidth_factor,density_L1,u_weighted_rms_difference,theta_weighted_rms_difference,theta_normalized_difference
100MPa_mean,1.0,0.2533512049341059,5.496964775191578e-06,6.426593748718105e-11,0.6159019213719447
150MPa,1.0,0.8101581539756554,3.48391596490077e-05,2.2804070124135727e-10,1.7240792257594144
186.6MPa,1.0,1.3360745397590457,2.0212835268746972e-05,1.2847733567530317e-09,1.8080100388340459
50MPa,1.0,1.0912136464559818,3.330750805334397e-05,7.87755531994237e-10,1.931745237259595
100MPa_mean,1.25,0.22285581830703788,5.319254328786516e-06,6.35362835639291e-11,0.5257843722884842
150MPa,1.25,0.7566068603820426,3.365489445449407e-05,2.8621736792360486e-10,1.7817111011628555
186.6MPa,1.25,1.2526723902695103,1.979881619934554e-05,1.3146544121287778e-09,1.7659599055340693
50MPa,1.25,1.0281727928843076,3.05784598533403e-05,8.6984924150578e-10,1.814659570220003
100MPa_mean,1.5,0.2021760051139675,5.16541115503754e-06,6.707599333867213e-11,0.48136212402829454
150MPa,1.5,0.7022852210837082,3.230121345712065e-05,3.5156941159208266e-10,1.8276382608431159
186.6MPa,1.5,1.1688004788622366,1.9350618458078982e-05,1.3350982072352977e-09,1.728824482390892
50MPa,1.5,0.9608260491543648,2.7886329435872875e-05,9.351509958209493e-10,1.7469311330604913
100MPa_mean,1.75,0.19111552061723897,5.051854702236879e-06,7.379338137443735e-11,0.46275899271912496
150MPa,1.75,0.6482405053370475,3.0830857687938664e-05,4.183999700615152e-10,1.849918970278627
186.6MPa,1.75,1.0847937611280039,1.8839900044291318e-05,1.3522502388563967e-09,1.6953512946198588
50MPa,1.75,0.8909292965310045,2.5540601892465775e-05,9.794061861033858e-10,1.6975774146976865
100MPa_mean,2.0,0.1800068088543096,4.979482290870833e-06,8.236232172295393e-11,0.45566374272370025
150MPa,2.0,0.5950911792826432,2.9290160960852136e-05,4.832210137917346e-10,1.8525914864971857
186.6MPa,2.0,1.0009995578278743,1.8291638053807118e-05,1.3670690095330376e-09,1.6654971731635697
50MPa,2.0,0.8205771023408381,2.3459756891043954e-05,1.0109731487461094e-09,1.652600803790608
