level,load_phase,unload_phase,force_load,force_unload,force_mismatch,mean_spacing_load,mean_spacing_unload,variance_load,variance_unload,global_velocity_variance_load,global_velocity_variance_unload,mean_intrinsic_energy_load,mean_intrinsic_energy_unload,density_L1,density_KS,u_weighted_rms_difference,u_normalized_difference,theta_weighted_rms_difference,theta_normalized_difference,bandwidth
100MPa_mean,0.0,0.5,0.0014493605380893092,0.0014491795395770832,1.8099851222604275e-07,1.0024421958831216,1.0028222387975374,3.098822198235357e-06,2.931180781573677e-06,4.2775937045031926e-10,5.813876422170398e-10,4.395402538846691e-06,5.28113130675512e-06,0.2021760051139675,0.10103117605995554,5.16541115503754e-06,0.26695181752154573,6.707599333867213e-11,0.48136212402829454,0.0006954883964137319
150MPa,0.08333333333333333,0.4166666666666667,0.002173988343313043,0.0021738315937818013,1.5674953124161436e-07,1.00253594537548,1.0028782849315223,1.207861002102167e-06,4.011809188649609e-06,1.1745754148283028e-09,7.64283253443661e-11,3.7292685370112424e-06,5.948081076627555e-06,0.7022852210837082,0.20606442331220964,3.230121345712065e-05,1.4061144493590492,3.5156941159208266e-10,1.8276382608431159,0.0006468323283973624
186.6MPa,0.16666666666666666,0.3333333333333333,0.00270442900319429,0.002704338503746252,9.049944803794785e-08,1.002656255040838,1.0028570232691318,1.9271727713624447e-07,3.0839359660738e-06,1.6212104885739809e-09,4.450079302336618e-10,3.5537609628863194e-06,5.455389219396378e-06,1.1688004788622366,0.3488643384924395,1.9350618458078982e-05,1.520420895618567,1.3350982072352977e-09,1.728824482390892,0.0005112022508362511
50MPa,0.9166666666666666,0.5833333333333334,0.0007247283517685074,0.0007245531611159611,1.7519065254631254e-07,1.0020820847409868,1.002689533842228,6.2034201105296735e-06,1.0167733036035006e-06,2.4630408408688247e-10,1.5865100835611518e-09,5.099013076975012e-06,4.026928363247096e-06,0.9608260491543648,0.33116343975205786,2.7886329435872875e-05,1.3263380092697086,9.351509958209493e-10,1.7469311330604913,0.0007661246611301162
