sites,total_electrons,kT,ensemble,step,Hessian_max_abs_FD_error,gradient_max_abs_FD_error
8,4,0.01,fixed_mu_reservoir,0.0001,5.810846216469656e-05,1.061017782327811e-06
8,4,0.01,fixed_mu_reservoir,1e-05,5.810881908985266e-07,1.0610868100835447e-08
8,4,0.025,exact_total_N,0.001,0.00042543031775377216,1.4726908736273359e-05
8,4,0.025,exact_total_N,0.0001,4.254410631787664e-06,1.472839579741425e-07
8,4,0.025,exact_total_N,1e-05,4.2546719036806735e-08,1.4729558128756537e-09
8,4,0.025,fixed_mean_N,0.001,0.00034372549254957363,8.926822950283686e-06
8,4,0.025,fixed_mean_N,0.0001,3.437442728682072e-06,8.92739243640861e-08
8,4,0.025,fixed_mean_N,1e-05,3.437628937064119e-08,8.925388206293405e-10
8,4,0.025,fixed_mu_reservoir,0.001,0.0005127813957619409,1.338447050691638e-05
8,4,0.025,fixed_mu_reservoir,0.0001,5.128093727435612e-06,1.3385895447637353e-07
8,4,0.025,fixed_mu_reservoir,1e-05,5.1281424440219325e-08,1.3380158092601846e-09
8,4,0.1,exact_total_N,0.001,1.305489731717735e-05,2.8409125119033263e-07
8,4,0.1,exact_total_N,0.0001,1.3055050218646613e-07,2.840728319242203e-09
8,4,0.1,exact_total_N,1e-05,1.309440111896265e-09,3.130901093939542e-11
8,4,0.1,fixed_mean_N,0.001,7.784324640436324e-06,2.063482877900924e-07
8,4,0.1,fixed_mean_N,0.0001,7.784368705188172e-08,2.0636985453847956e-09
8,4,0.1,fixed_mean_N,1e-05,7.792213541080173e-10,1.9222901048721042e-11
8,4,0.1,fixed_mu_reservoir,0.001,1.3129180937765383e-05,2.6621539905846703e-07
8,4,0.1,fixed_mu_reservoir,0.0001,1.3129286635660264e-07,2.6626638671700675e-09
8,4,0.1,fixed_mu_reservoir,1e-05,1.3143386379255162e-09,2.4774016171846824e-11
16,8,0.01,exact_total_N,0.001,0.018166516111588038,0.0004935221158419711
16,8,0.01,exact_total_N,0.0001,0.00018173871882787296,4.94013539897864e-06
16,8,0.01,exact_total_N,1e-05,1.8173985552039085e-06,4.940244147100259e-08
16,8,0.01,fixed_mean_N,0.001,0.015578480295184605,0.0003902938917950127
16,8,0.01,fixed_mean_N,0.0001,0.0001559225013032517,3.906576776513404e-06
16,8,0.01,fixed_mean_N,1e-05,1.5592360771421454e-06,3.906796330888085e-08
16,8,0.01,fixed_mu_reservoir,0.001,0.019433277403589244,0.0004911213312897011
16,8,0.01,fixed_mu_reservoir,0.0001,0.0001944602401575679,4.916926358289331e-06
16,8,0.01,fixed_mu_reservoir,1e-05,1.9446142154322388e-06,4.916960505418899e-08
16,8,0.025,exact_total_N,0.001,0.004438733778709292,5.530886013649372e-05
16,8,0.025,exact_total_N,0.0001,4.439720236959488e-05,5.531837962147179e-07
16,8,0.025,exact_total_N,1e-05,4.4387472541984607e-07,5.531733626717994e-09
16,8,0.025,fixed_mean_N,0.001,0.003608123458796797,4.575231581682715e-05
16,8,0.025,fixed_mean_N,0.0001,3.608816474454102e-05,4.575925947047921e-07
16,8,0.025,fixed_mean_N,1e-05,3.608125567211573e-07,4.577746792744364e-09
16,8,0.025,fixed_mu_reservoir,0.001,0.004619062215205361,5.4146571524027465e-05
16,8,0.025,fixed_mu_reservoir,0.0001,4.620161219293095e-05,5.41564590728072e-07
16,8,0.025,fixed_mu_reservoir,1e-05,4.6202229952996277e-07,5.413189618774794e-09
16,8,0.1,exact_total_N,0.001,8.979215222648662e-05,1.388124073686825e-06
16,8,0.1,exact_total_N,0.0001,8.979320194058005e-07,1.3882297755785089e-08
16,8,0.1,exact_total_N,1e-05,9.006974721614824e-09,1.338510413617655e-10
16,8,0.1,fixed_mean_N,0.001,6.952705096985312e-05,1.1691868727625732e-06
16,8,0.1,fixed_mean_N,0.0001,6.952809084026512e-07,1.1690662771179916e-08
16,8,0.1,fixed_mean_N,1e-05,6.955400699837355e-09,1.2213896560808735e-10
16,8,0.1,fixed_mu_reservoir,0.001,9.003750941438682e-05,1.338447256249431e-06
16,8,0.1,fixed_mu_reservoir,0.0001,9.003933367779382e-07,1.3384863106757905e-08
16,8,0.1,fixed_mu_reservoir,1e-05,9.004152090597017e-09,1.332411958543389e-10
