label,eta,max_excluded_q_error,positive_LJ,exact_residual,duality_gap,conditional_rank,coefficient_count,material_accepted
baseline,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,3,10,False
screened_rank1_k3,12.499497097653009,2.075747701101552,True,7.105427357601002e-14,-2.842170943040401e-14,4,11,False
screened_rank1_k5,12.507103262775146,2.1008090537052033,True,5.684341886080802e-14,5.329070518200751e-15,4,11,False
screened_rank1_k8,12.494227724728159,2.08957625160787,True,1.4210854715202004e-14,3.552713678800501e-15,4,11,False
screened_rank1_k11,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
rank3_k3,12.50446899730603,2.0964186301034458,True,1.7763568394002505e-14,-1.7763568394002505e-14,4,11,False
rank3_k5,12.27181879518722,1.8972116287495717,True,2.1316282072803006e-14,5.329070518200751e-15,4,11,False
rank3_k8,12.45422660279909,2.0726015749171847,True,4.618527782440651e-14,-3.552713678800501e-15,4,11,False
rank3_k11,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
quadratic_rank2_k3,12.507275300403068,2.100805241788687,True,2.3092638912203256e-14,-1.7763568394002505e-15,4,11,False
quadratic_rank2_k5,12.507233274632735,2.100846264776185,True,4.263256414560601e-14,2.3092638912203256e-14,4,11,False
quadratic_rank2_k8,12.507384978807885,2.100801577303529,True,3.765876499528531e-13,7.105427357601002e-15,4,11,False
quadratic_rank2_k11,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
dictionary_capacity_NOT_model_selection,11.248054825305115,2.0060771216703452,True,2.1316282072803006e-14,3.552713678800501e-15,15,22,False
