cycle,mean,variance,q99,max,energy_change,external_work,work_minus_energy,audit_up,audit_down,audit_net,audit_snapshot_count,snapshot_ge_1.002,firstpass_ge_1.002,snapshot_ge_1.003,firstpass_ge_1.003,snapshot_ge_1.004,firstpass_ge_1.004,snapshot_ge_1.005,firstpass_ge_1.005,snapshot_ge_1.006,firstpass_ge_1.006
1,1.00008567645617,1.66202283082829e-08,1.00062043622715,1.00071181764378,1.23313051627605e-05,1.23313053626802e-05,1.99919743506713e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.00074379389861,4.90370208114724e-07,1.00210020910245,1.0021018648888,0.000522383412830507,0.000522383412584708,-2.45799149263537e-13,0,0,0,0,0.0802348336594912,0.461839530332681,0,0,0,0,0,0,0,0
3,1.00164536358374,1.46821823086068e-06,1.00418139511496,1.00419907092451,0.00152521462133315,0.00152521461869353,-2.63961378796362e-12,22,3,19,19,0.383561643835616,1,0.191780821917808,0.270058708414873,0.0371819960861057,0.0430528375733855,0,0,0,0
4,1.00244692622075,3.11153886128417e-06,1.005838223762,1.00586279391063,0.00250413848239707,0.00250413847651995,-5.87711914823452e-12,251,134,117,136,0.500978473581213,1,0.38160469667319,0.953033268101761,0.26614481409002,0.49119373776908,0.0978473581213307,0.209393346379648,0,0.0215264187866928
5,1.0021237954122,4.17596481343758e-06,1.00589370694234,1.00592001596949,0.00288830719551116,0.00288830718731361,-8.19755204655137e-12,358,363,-5,131,0.455968688845401,1,0.352250489236791,0.998043052837573,0.256360078277886,0.704500978473581,0.131115459882583,0.36399217221135,0,0.0645792563600783
6,1.00123279045132,3.92631379631589e-06,1.00475138387477,1.00475896941344,0.00289982029886678,0.00289982028972158,-9.1451967526579e-12,330,386,-56,75,0.348336594911937,1,0.25440313111546,1,0.146771037181996,0.743639921722114,0,0.459882583170254,0,0.0645792563600783
