parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
1,0,2.0,0.02,0.04,0,80107716910.52649,111772447598.68156,1.3952769085095995,5.7153013407788595,34.8975312877128,1.0232048266174746e-16,8.551383045668677e-17,15,15,,144,False
1,0,2.0,0.02,0.04,1,196098479637.09512,207133012721.13257,1.0562703653004257,5.7153013407788595,34.8975312877128,1.0232048266174746e-16,8.551383045668677e-17,15,15,,144,False
1,0,2.0,0.04,0.08,0,74109345762.77794,89037466301.51384,1.2014337110264126,5.7153013407788595,25.43640151182333,1.0758521119066101e-16,9.62327226408841e-17,15,15,,144,False
1,0,2.0,0.04,0.08,1,210196312589.09735,228174906575.70776,1.0855323947654396,5.7153013407788595,25.43640151182333,1.0758521119066101e-16,9.62327226408841e-17,15,15,,144,False
1,0,2.0,0.08,0.16,0,81679236573.3588,89295503782.71344,1.09324606263324,5.7153013407788595,18.014533066572362,9.183343435694453e-17,9.160789949554481e-17,15,15,,144,False
1,0,2.0,0.08,0.16,1,248787668404.93692,253165342624.68152,1.0175960257508396,5.7153013407788595,18.014533066572362,9.183343435694453e-17,9.160789949554481e-17,15,15,,144,False
1,0,3.0,0.02,0.04,0,77166586975.718,111937201271.7803,1.4505915793192146,5.7153013407788595,35.985885154771516,1.0147773951022202e-16,1.1612050031920708e-16,15,15,,144,False
1,0,3.0,0.02,0.04,1,184838670571.61008,198424747945.66278,1.073502353874533,5.7153013407788595,35.985885154771516,1.0147773951022202e-16,1.1612050031920708e-16,15,15,,144,False
1,0,3.0,0.04,0.08,0,74079496609.64922,90680744615.89491,1.2241004429838864,5.7153013407788595,26.575605528420084,1.2644467419008547e-16,1.0623913406157688e-16,15,15,,144,False
1,0,3.0,0.04,0.08,1,209531707544.7993,229897635327.66257,1.0971973550996281,5.7153013407788595,26.575605528420084,1.2644467419008547e-16,1.0623913406157688e-16,15,15,,144,False
1,0,3.0,0.08,0.16,0,81079641350.22919,90001881523.65549,1.1100429161358283,5.7153013407788595,18.126439917837,1.1604664149027966e-16,5.2588761179348474e-17,15,15,,144,False
1,0,3.0,0.08,0.16,1,257744659316.3759,265137481567.378,1.0286827369017473,5.7153013407788595,18.126439917837,1.1604664149027966e-16,5.2588761179348474e-17,15,15,,144,False
2,0,2.0,0.02,0.04,0,125170653473.1547,190016918403.25632,1.5180628456494332,6.003143425259517,53.453477153640925,8.999472317169078e-17,9.634091286809751e-17,15,15,,144,False
2,0,2.0,0.02,0.04,1,203852447609.9676,255009387524.6662,1.250950825042717,6.003143425259517,53.453477153640925,8.999472317169078e-17,9.634091286809751e-17,15,15,,144,False
2,0,2.0,0.04,0.08,0,80433984904.74919,99826823038.96855,1.2411025408872205,6.003143425259517,28.658328830310666,1.2902746454527056e-16,2.822957849123448e-17,15,15,,144,False
2,0,2.0,0.04,0.08,1,163962312210.4259,209444969186.95206,1.2773970210797871,6.003143425259517,28.658328830310666,1.2902746454527056e-16,2.822957849123448e-17,15,15,,144,False
2,0,2.0,0.08,0.16,0,80037325877.71117,85259832171.7478,1.0652508843438384,6.003143425259517,21.200891501129,8.475991506992833e-17,7.444919023474142e-17,15,15,,144,False
2,0,2.0,0.08,0.16,1,248047665483.10245,260951072415.91766,1.0520198684703777,6.003143425259517,21.200891501129,8.475991506992833e-17,7.444919023474142e-17,15,15,,144,False
2,0,3.0,0.02,0.04,0,135693521073.19879,238680029943.3171,1.7589640835877718,6.003143425259517,77.63151665679956,1.05729664808245e-16,7.523593221623535e-17,15,15,,144,False
2,0,3.0,0.02,0.04,1,218268590752.6444,287676132277.07965,1.317991431039623,6.003143425259517,77.63151665679956,1.05729664808245e-16,7.523593221623535e-17,15,15,,144,False
2,0,3.0,0.04,0.08,0,77803876399.4212,98241852084.10548,1.2626858278855155,6.003143425259517,29.703547079676603,5.985718643785025e-17,9.204024900997432e-17,15,15,,144,False
2,0,3.0,0.04,0.08,1,158697454501.97592,205242108950.35764,1.293291751871182,6.003143425259517,29.703547079676603,5.985718643785025e-17,9.204024900997432e-17,15,15,,144,False
2,0,3.0,0.08,0.16,0,82262773536.64246,87940747638.24632,1.0690224005038527,6.003143425259517,22.134017534006357,1.4070434619903375e-16,6.004008193678829e-17,15,15,,144,False
2,0,3.0,0.08,0.16,1,242801528201.3403,257241450833.9952,1.0594721241650538,6.003143425259517,22.134017534006357,1.4070434619903375e-16,6.004008193678829e-17,15,15,,144,False
2,1,2.0,0.02,0.04,0,55813623733.118744,80824661858.94553,1.4481170806149557,6.127001789666437,41.151523624781255,9.573073777702448e-17,6.595888825621519e-17,15,15,,144,False
2,1,2.0,0.02,0.04,1,189671287051.3761,221023233422.0671,1.1652962177780695,6.127001789666437,41.151523624781255,9.573073777702448e-17,6.595888825621519e-17,15,15,,144,False
2,1,2.0,0.04,0.08,0,75102288384.19017,92479416178.9349,1.2313794714996036,6.127001789666437,34.333900121724454,1.0387792499627209e-16,7.980759302673733e-17,15,15,,144,False
2,1,2.0,0.04,0.08,1,279530521350.38885,302843733348.80554,1.083401311190608,6.127001789666437,34.333900121724454,1.0387792499627209e-16,7.980759302673733e-17,15,15,,144,False
2,1,2.0,0.08,0.16,0,78798129032.8758,90937600964.14665,1.1540578701583903,6.127001789666437,20.628483589397916,8.496744241421576e-17,1.0584061494040713e-16,15,15,,144,False
2,1,2.0,0.08,0.16,1,228022985074.1211,237190580522.29977,1.040204698860506,6.127001789666437,20.628483589397916,8.496744241421576e-17,1.0584061494040713e-16,15,15,,144,False
2,1,3.0,0.02,0.04,0,55150174296.48642,81928112521.82516,1.4855458494361413,6.127001789666437,46.81398894335941,7.692376834205447e-17,5.671851396062862e-17,15,15,,144,False
2,1,3.0,0.02,0.04,1,204297830347.2197,230316814542.68765,1.127358103369217,6.127001789666437,46.81398894335941,7.692376834205447e-17,5.671851396062862e-17,15,15,,144,False
2,1,3.0,0.04,0.08,0,73649163837.97295,94429286512.52011,1.282150150682812,6.127001789666437,35.397686981669644,9.350299340087278e-17,8.395235421057073e-17,15,15,,144,False
2,1,3.0,0.04,0.08,1,297157456387.4228,322923803955.7066,1.0867094094879135,6.127001789666437,35.397686981669644,9.350299340087278e-17,8.395235421057073e-17,15,15,,144,False
2,1,3.0,0.08,0.16,0,77438756237.43706,89700255155.71669,1.1583380146329354,6.127001789666437,19.94573278167691,9.687615791931624e-17,1.0933737421711877e-16,15,15,,144,False
2,1,3.0,0.08,0.16,1,221767398410.16483,232352005931.05756,1.0477284199425752,6.127001789666437,19.94573278167691,9.687615791931624e-17,1.0933737421711877e-16,15,15,,144,False
