source_frame,atoms,n_Si,n_O,n_H,source_config_type,observed_group,empty_gap_x_A,empty_gap_y_A,empty_gap_z_A,included
0,1,0,1,0,single,small_O,,,,True
1,1,1,0,0,single,small_Si,,,,True
2,1,0,0,1,single,small_H,,,,True
3,2,1,0,1,dimer,small_Si_H,,,,True
4,2,1,0,1,dimer,small_Si_H,,,,True
5,2,1,0,1,dimer,small_Si_H,,,,True
6,2,1,0,1,dimer,small_Si_H,,,,True
7,2,1,0,1,dimer,small_Si_H,,,,True
8,2,1,0,1,dimer,small_Si_H,,,,True
9,2,1,0,1,dimer,small_Si_H,,,,True
10,2,1,0,1,dimer,small_Si_H,,,,True
11,2,1,0,1,dimer,small_Si_H,,,,True
12,2,1,0,1,dimer,small_Si_H,,,,True
13,2,1,0,1,dimer,small_Si_H,,,,True
14,2,1,0,1,dimer,small_Si_H,,,,True
15,2,1,0,1,dimer,small_Si_H,,,,True
16,2,1,0,1,dimer,small_Si_H,,,,True
17,2,1,0,1,dimer,small_Si_H,,,,True
18,2,1,0,1,dimer,small_Si_H,,,,True
19,2,1,0,1,dimer,small_Si_H,,,,True
20,2,1,0,1,dimer,small_Si_H,,,,True
21,2,1,0,1,dimer,small_Si_H,,,,True
22,2,1,0,1,dimer,small_Si_H,,,,True
23,2,1,0,1,dimer,small_Si_H,,,,True
24,2,1,0,1,dimer,small_Si_H,,,,True
25,2,1,0,1,dimer,small_Si_H,,,,True
26,2,1,0,1,dimer,small_Si_H,,,,True
27,2,1,0,1,dimer,small_Si_H,,,,True
28,2,1,0,1,dimer,small_Si_H,,,,True
29,2,1,0,1,dimer,small_Si_H,,,,True
30,2,1,0,1,dimer,small_Si_H,,,,True
31,2,1,0,1,dimer,small_Si_H,,,,True
32,2,1,0,1,dimer,small_Si_H,,,,True
33,2,1,0,1,dimer,small_Si_H,,,,True
34,2,1,0,1,dimer,small_Si_H,,,,True
35,2,1,0,1,dimer,small_Si_H,,,,True
36,2,1,0,1,dimer,small_Si_H,,,,True
37,2,1,0,1,dimer,small_Si_H,,,,True
38,2,1,0,1,dimer,small_Si_H,,,,True
39,2,1,0,1,dimer,small_Si_H,,,,True
40,2,1,0,1,dimer,small_Si_H,,,,True
41,2,1,0,1,dimer,small_Si_H,,,,True
42,2,1,0,1,dimer,small_Si_H,,,,True
43,2,1,0,1,dimer,small_Si_H,,,,True
44,2,1,0,1,dimer,small_Si_H,,,,True
45,2,1,0,1,dimer,small_Si_H,,,,True
46,2,1,0,1,dimer,small_Si_H,,,,True
47,2,1,0,1,dimer,small_Si_H,,,,True
48,2,1,0,1,dimer,small_Si_H,,,,True
49,2,1,0,1,dimer,small_Si_H,,,,True
50,2,1,0,1,dimer,small_Si_H,,,,True
51,2,1,0,1,dimer,small_Si_H,,,,True
52,2,1,0,1,dimer,small_Si_H,,,,True
53,2,1,0,1,dimer,small_Si_H,,,,True
54,2,1,0,1,dimer,small_Si_H,,,,True
55,2,2,0,0,dimer,small_Si,,,,True
56,2,2,0,0,dimer,small_Si,,,,True
57,2,2,0,0,dimer,small_Si,,,,True
58,2,2,0,0,dimer,small_Si,,,,True
59,2,2,0,0,dimer,small_Si,,,,True
60,2,2,0,0,dimer,small_Si,,,,True
61,2,2,0,0,dimer,small_Si,,,,True
62,2,2,0,0,dimer,small_Si,,,,True
63,2,2,0,0,dimer,small_Si,,,,True
64,2,2,0,0,dimer,small_Si,,,,True
65,2,2,0,0,dimer,small_Si,,,,True
66,2,2,0,0,dimer,small_Si,,,,True
67,2,2,0,0,dimer,small_Si,,,,True
68,2,2,0,0,dimer,small_Si,,,,True
69,2,2,0,0,dimer,small_Si,,,,True
70,2,2,0,0,dimer,small_Si,,,,True
71,2,2,0,0,dimer,small_Si,,,,True
72,2,2,0,0,dimer,small_Si,,,,True
73,2,2,0,0,dimer,small_Si,,,,True
74,2,2,0,0,dimer,small_Si,,,,True
75,2,2,0,0,dimer,small_Si,,,,True
76,2,2,0,0,dimer,small_Si,,,,True
77,2,2,0,0,dimer,small_Si,,,,True
78,2,2,0,0,dimer,small_Si,,,,True
79,2,2,0,0,dimer,small_Si,,,,True
80,2,2,0,0,dimer,small_Si,,,,True
81,2,2,0,0,dimer,small_Si,,,,True
82,2,2,0,0,dimer,small_Si,,,,True
83,2,2,0,0,dimer,small_Si,,,,True
84,2,2,0,0,dimer,small_Si,,,,True
85,2,2,0,0,dimer,small_Si,,,,True
86,2,2,0,0,dimer,small_Si,,,,True
87,2,2,0,0,dimer,small_Si,,,,True
88,2,2,0,0,dimer,small_Si,,,,True
89,2,2,0,0,dimer,small_Si,,,,True
90,2,2,0,0,dimer,small_Si,,,,True
91,2,2,0,0,dimer,small_Si,,,,True
92,2,2,0,0,dimer,small_Si,,,,True
93,2,2,0,0,dimer,small_Si,,,,True
94,2,2,0,0,dimer,small_Si,,,,True
95,2,0,2,0,dimer,small_O,,,,True
96,2,0,2,0,dimer,small_O,,,,True
97,2,2,0,0,dimer,small_Si,,,,True
98,2,2,0,0,dimer,small_Si,,,,True
99,2,2,0,0,dimer,small_Si,,,,True
100,2,2,0,0,dimer,small_Si,,,,True
101,2,2,0,0,dimer,small_Si,,,,True
102,2,2,0,0,dimer,small_Si,,,,True
103,2,2,0,0,dimer,small_Si,,,,True
104,2,2,0,0,dimer,small_Si,,,,True
105,2,2,0,0,dimer,small_Si,,,,True
106,2,2,0,0,dimer,small_Si,,,,True
107,2,2,0,0,dimer,small_Si,,,,True
108,2,2,0,0,dimer,small_Si,,,,True
109,2,2,0,0,dimer,small_Si,,,,True
110,2,2,0,0,dimer,small_Si,,,,True
111,2,2,0,0,dimer,small_Si,,,,True
112,2,2,0,0,dimer,small_Si,,,,True
113,2,2,0,0,dimer,small_Si,,,,True
114,2,2,0,0,dimer,small_Si,,,,True
115,2,2,0,0,dimer,small_Si,,,,True
116,2,2,0,0,dimer,small_Si,,,,True
117,2,2,0,0,dimer,small_Si,,,,True
118,2,2,0,0,dimer,small_Si,,,,True
119,2,2,0,0,dimer,small_Si,,,,True
120,2,2,0,0,dimer,small_Si,,,,True
121,2,2,0,0,dimer,small_Si,,,,True
122,2,2,0,0,dimer,small_Si,,,,True
123,2,2,0,0,dimer,small_Si,,,,True
124,2,2,0,0,dimer,small_Si,,,,True
125,2,2,0,0,dimer,small_Si,,,,True
126,2,2,0,0,dimer,small_Si,,,,True
127,2,2,0,0,dimer,small_Si,,,,True
128,2,2,0,0,dimer,small_Si,,,,True
129,2,2,0,0,dimer,small_Si,,,,True
130,2,2,0,0,dimer,small_Si,,,,True
131,2,2,0,0,dimer,small_Si,,,,True
132,2,2,0,0,dimer,small_Si,,,,True
133,2,2,0,0,dimer,small_Si,,,,True
134,2,2,0,0,dimer,small_Si,,,,True
135,2,2,0,0,dimer,small_Si,,,,True
136,2,2,0,0,dimer,small_Si,,,,True
137,2,2,0,0,dimer,small_Si,,,,True
138,2,2,0,0,dimer,small_Si,,,,True
