radius_over_L0,energy_eV_per_row_period,site_count,inside_free_disk
1.0,0.3577974879857189,4,True
1.5,0.6091425399605033,10,True
2.0,0.7286371465829032,18,True
2.5,0.7668380900560159,30,True
3.0,0.7676195553219483,40,True
3.5,0.7520021659151683,56,True
4.0,0.7470224589693136,72,True
