time_reduced,resolved_force_reduced,mean_registry_s_over_b,mean_well_index,mean_intrawell_registry,variance,mean_lattice_energy_over_epsilon_c,work_over_epsilon_c,entropy_production_reduced,edge_probability
0.0,0.0,0.5000000000000001,0.0,1.258252761241844e-16,0.010273035844152355,-0.5465446292918609,0.0,0.0,0.0
0.1,0.06893327846036734,0.5027427578206256,2.52369728845767e-05,0.002717520847741073,0.010355861105618237,-0.546520226120068,9.453364429926381e-05,0.001592118279037932,1.876175214374629e-71
0.2,0.13677943794067016,0.5095685808886261,0.00012204845626367366,0.009446532432362693,0.010497023982027464,-0.5462821460533527,0.0007966129467948874,0.00552405065245636,7.103405095894905e-66
0.30000000000000004,0.2024685039765729,0.5189002871498722,0.000325955892336706,0.018574331257535725,0.010709618445137332,-0.5455582482766738,0.002379494018646888,0.00977339990259122,3.0363821006842475e-61
0.4,0.26496452075594346,0.5296982437464954,0.0006852632661134529,0.0290129804803822,0.011019330161700232,-0.5441497079663826,0.0049031547750918916,0.01310081770895508,3.2216461559478524e-57
0.5,0.3232818887608602,0.5412750248066354,0.0012740612821070959,0.04000096352452851,0.011468016624689685,-0.5419730355968871,0.008308154721286615,0.015531344634074061,1.2124286849442568e-53
0.6000000000000001,0.3765009082607788,0.5531799092384299,0.0022018680317918353,0.05097804120663824,0.01211416005297564,-0.5390546651102093,0.012473571384236874,0.017490028179679883,1.979250718406852e-50
0.7000000000000001,0.4237822835266841,0.5651224308250655,0.0036148586924778536,0.061507572132587805,0.013033260899565488,-0.5355113053976566,0.01725227103090861,0.019489011223968705,1.594086578361417e-47
0.8,0.4643803590261083,0.5769180631329229,0.005685269278633785,0.07123279385428918,0.014316875559562693,-0.5315282090305447,0.022490491011472474,0.021986670731460916,6.927852110749992e-45
0.9,0.4976548788563108,0.5884461929312221,0.00858749542232428,0.07985869750889776,0.01606778431713823,-0.5273382854580734,0.02803572455789556,0.025293618157531582,1.7363283893160892e-42
1.0,0.5230810839623344,0.5996147832597021,0.012463193043054049,0.08715159021664805,0.01838947751443881,-0.5232012976974327,0.03373581545902955,0.02949070157720703,2.6433763027839916e-40
1.1,0.5402579879007788,0.6103295275447067,0.01738256308163073,0.09294696446307593,0.021370121149388233,-0.5193820484903909,0.03943251858066326,0.03437161769402117,2.5500029407404506e-38
1.2000000000000002,0.5489147006355494,0.6204682770484796,0.02331248952841725,0.09715578752006213,0.0250636324251622,-0.5161279957387184,0.04495394310837361,0.03944280675030578,1.6152762593481037e-36
1.3,0.5489147006355494,0.6298635767816216,0.030101953470734365,0.09976162331088693,0.029472393781029487,-0.513648546987961,0.05011116124877252,0.04400531960437675,6.929037053902494e-35
1.4000000000000001,0.5402579879007788,0.6382966035563579,0.03749069208240427,0.10080591147395304,0.03453647904381174,-0.512099014725704,0.05470367247114167,0.04731297158183652,2.0685699396221252e-33
1.5,0.5230810839623345,0.6455044959732993,0.0451402157254688,0.10036428024782984,0.04013275449151225,-0.5115713502968263,0.0585358892875015,0.048765409106095996,4.4045310208604466e-32
1.6,0.49765487885631077,0.6512005474342505,0.05267997540733565,0.09852057202691415,0.04608449279755502,-0.5120918296257166,0.06144297157363079,0.04807418508604725,6.84029398285212e-31
