model,state,component,energy_eV_cell,normal_force_eV_L0,Haa_eV_L0sq,source_Haa_eV_L0sq
separate_range,inspected039,pair_6,0.04707806580838489,-1.221167906499417,16.282970167010134,36.31678531793335
separate_range,inspected039,pair_3,-0.04420402149970056,2.238327331392547,-13.350975320745382,36.31678531793335
separate_range,inspected039,embedding,0.0018644545576180782,-1.2909199179368516,6.0002866567745095,36.31678531793335
separate_range,inspected039,angular_3,0.10402990110232545,-0.42641893480657755,4.495413561648365,36.31678531793335
separate_range,inspected039,angular_1,0.00799742399800662,-0.4512432812019624,20.100863099630256,36.31678531793335
separate_range,inspected039,angular_2,0.00520957556082608,-0.007823424568639289,-0.216511721001817,36.31678531793335
separate_range,inspected039,angular_Eg_radial,0.006412946699774393,-0.00881376395705425,1.9283520590552599,36.31678531793335
separate_range,inspected039,angular_rank3_quartic,0.0984833010450584,-0.8067159281754618,11.69589895459411,36.31678531793335
separate_range,heldout031,pair_6,0.034681276549615885,-1.0266397404595966,13.102444333414262,34.460781638400974
separate_range,heldout031,pair_3,-0.03357883835162138,2.1259710426535126,-12.121303113770178,34.460781638400974
separate_range,heldout031,embedding,0.0014345486733802204,-1.2864533659587793,5.958315563989011,34.460781638400974
separate_range,heldout031,angular_3,0.08094713231110544,-0.3395187876170949,4.78643313794366,34.460781638400974
separate_range,heldout031,angular_1,0.005347461995380165,-0.33435881488306357,18.172396488665076,34.460781638400974
separate_range,heldout031,angular_2,0.005073249062656123,-0.011202836149179338,-0.3005493185072588,34.460781638400974
separate_range,heldout031,angular_Eg_radial,0.0063311566691341414,-0.010866856272855255,1.7989335001009505,34.460781638400974
separate_range,heldout031,angular_rank3_quartic,0.059627892910093704,-0.4998070372813459,9.055295562362895,34.460781638400974
separate_range,heldout_off,pair_6,-0.02684435177435571,-0.2890322239372178,3.5554555668183614,5.497617912510364
separate_range,heldout_off,pair_3,0.15718466849678897,1.1464924831827001,-6.08381340597541,5.497617912510364
separate_range,heldout_off,embedding,-0.12206760889883395,-0.6589447773769496,3.846181841098815,5.497617912510364
separate_range,heldout_off,angular_3,0.08123693209331972,-0.2549711544027092,0.586478774615701,5.497617912510364
separate_range,heldout_off,angular_1,0.05433426819252837,0.8750625648846814,3.726613494905086,5.497617912510364
separate_range,heldout_off,angular_2,0.0026123537968585474,0.01418647104337273,1.2150078300341964,5.497617912510364
separate_range,heldout_off,angular_Eg_radial,0.00997419466377551,0.02627296143670902,-0.2517164604695219,5.497617912510364
separate_range,heldout_off,angular_rank3_quartic,0.05957216580198603,-0.3815413827102106,2.067936091391893,5.497617912510364
separate_range,heldout_opening,pair_6,-0.052580931726353475,-0.0008307254689042165,0.005636558636844798,-0.6638075680371565
separate_range,heldout_opening,pair_3,0.4010691847539887,0.10638555404014202,-0.2917507489085854,-0.6638075680371565
separate_range,heldout_opening,embedding,-0.1660871605969918,0.14382212923139842,0.040860947858371854,-0.6638075680371565
separate_range,heldout_opening,angular_3,0.01605670659441099,0.000856788187132986,0.06908448254195879,-0.6638075680371565
separate_range,heldout_opening,angular_1,0.40416027635529095,0.1276144338690867,-0.610913632203055,-0.6638075680371565
separate_range,heldout_opening,angular_2,0.004866324528549402,1.6016469124205937e-05,-0.00015507442279488257,-0.6638075680371565
separate_range,heldout_opening,angular_Eg_radial,0.012294512970008884,0.00019619777281211566,-0.0010388494497121528,-0.6638075680371565
separate_range,heldout_opening,angular_rank3_quartic,0.001805945959283831,2.4835726266464803e-05,0.018320775827648548,-0.6638075680371565
