model,state,step,gradient_max_error,hessian_max_error
separate_range,inspected039,4e-05,1.8205432139595246e-07,1.3437161783258489e-06
separate_range,inspected039,2e-05,4.555448218646063e-08,3.359667388735943e-07
separate_range,inspected039,1e-05,1.1420675294360194e-08,8.395721806664369e-08
separate_range,heldout031,4e-05,1.6132825564341147e-07,1.0946572714942704e-06
separate_range,heldout031,2e-05,4.034586487122738e-08,2.7364179544520084e-07
separate_range,heldout031,1e-05,1.018735029667539e-08,6.827828968880567e-08
separate_range,heldout_off,4e-05,5.367054167759733e-08,4.831546416284027e-07
separate_range,heldout_off,2e-05,1.3434324541705678e-08,1.2085278733309224e-07
separate_range,heldout_off,1e-05,3.4180311914155936e-09,3.040014107114075e-08
separate_range,heldout_opening,4e-05,4.119637964095091e-10,1.2195559007111e-09
separate_range,heldout_opening,2e-05,1.357958190340014e-10,3.057035735665181e-10
separate_range,heldout_opening,1e-05,2.4773516571485743e-11,8.64345262030497e-11
