cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,40.0,0.003143362986990959,0.01840268279603928,0.00012624793057417968,1.5869900434806353e-16,1.2576745200831192e-17,5.9631119486702744e-18,0.016722173225651876,3.5406170808250387e-08,1.0000000000000524,5.240252676230739e-14,1.2576745200831192e-17,0.0015716814935216122,0.01839436621771943,3.399920458368045e-17,1.8584748358139635e-17,1.5403304183516783e-17,5.9631119486702744e-18,0.016722173225651876,0.0015716814935216122,1.0487361424925977e-11,0.0007858407467607998,0.9984283185065308,0.0007858407467608124
2,cyclic,40.0,0.0027678359783402046,0.01840221877027229,0.000126017644237272,1.5375385175984086e-16,2.7972416050122514e-17,9.86623976961809e-18,0.016699041462394325,3.815158390253562e-08,1.0000000000001026,1.0258460747536446e-13,4.0549161250953706e-17,0.002955552780501169,0.018394356421952095,7.790284890867593e-17,2.798047343829121e-17,4.96623772813361e-17,1.5829351718288365e-17,0.0334212146880462,0.002955552780501169,1.0487218541776438e-11,0.0014777763902505642,0.9970444472196016,0.0014777763902506047
3,cyclic,40.0,0.0027620538735264604,0.018402216841231823,0.00012601639095230835,1.7382110849517676e-16,3.317658647804927e-17,1.0625181290357943e-17,0.01668750345650976,3.8158930001135555e-08,1.0000000000001537,1.5365486660812167e-13,7.372574772900297e-17,0.004336530899032096,0.018394356352131762,1.360270325880987e-16,4.562721835479013e-17,9.029523142060648e-17,2.6454533008646308e-17,0.05010871814455596,0.004336530899032096,1.0487217520999134e-11,0.002168265449516011,0.9956634691011216,0.002168265449516085
4,cyclic,40.0,0.002756306926427051,0.01840221682746539,0.00012601638200413282,1.6666324812698866e-16,4.727121472035472e-17,7.37257477290143e-18,0.016675956448455972,3.815898237544471e-08,1.0000000000002034,2.0339285811132868e-13,1.209969624493577e-16,0.005714635615995976,0.0183943563516326,1.7906743105548052e-16,3.051432112607356e-17,1.481904092138115e-16,3.382710778154774e-17,0.06678467459301193,0.005714635615995976,1.0487217513708428e-11,0.0028573178079979275,0.9942853643842071,0.0028573178079980485
5,cyclic,40.0,0.002750571902362512,0.01840221682736706,0.0001260163819401562,1.7325546654970663e-16,5.3342746886267146e-17,5.204170427930421e-18,0.016664432732158535,3.8158982749555925e-08,1.000000000000254,2.540190280342358e-13,1.7433970933562484e-16,0.007089872922067382,0.018394356351629202,2.278548917375428e-16,1.3346789829338507e-17,2.1352166488870685e-16,3.903127820947816e-17,0.08344910732517047,0.007089872922067382,1.0487217513656872e-11,0.003544936461033604,0.9929101270781864,0.0035449364610337783
6,cyclic,40.0,0.0027448488106514954,0.018402216827366376,0.0001260163819396115,1.7679980595227506e-16,5.811323644519646e-17,1.0408340855860843e-17,0.01665293298607115,3.815898275221987e-08,1.0000000000003049,3.04867242562068e-13,2.324529457808213e-16,0.008462248783496287,0.018394356351629202,3.198028298511035e-16,3.591054787917369e-17,2.84695553184928e-16,4.9439619065339e-17,0.10010204031124162,0.008462248783496287,1.048721751365704e-11,0.004231124391748027,0.9915377512168084,0.00423112439174826
7,cyclic,40.0,0.002739137626926855,0.018402216827366355,0.0001260163819396115,1.779605908845681e-16,6.158268339714352e-17,6.938893903907228e-18,0.016641457167344192,3.815898275217908e-08,1.0000000000003537,3.5371705564557487e-13,2.940356291779648e-16,0.009831769154066802,0.018394356351629473,3.785078274401033e-16,1.7650894513529016e-17,3.601186288421115e-16,5.637851296924623e-17,0.11674349747858581,0.009831769154066802,1.0487217513657555e-11,0.004915884577033253,0.990168230846287,0.004915884577033547
8,cyclic,40.0,0.0027334383264113614,0.018402216827366376,0.00012601638193961325,1.9363335952534904e-16,7.5460471204946e-17,6.938893903907228e-18,0.01663000522625574,3.815898275226118e-08,1.0000000000004035,4.034550471487819e-13,3.694961003829108e-16,0.0111984399751746,0.018394356351629063,4.689630776962224e-16,1.5600474879994314e-17,4.525384539431618e-16,6.331740687315346e-17,0.13337350270484155,0.0111984399751746,1.0487217513658067e-11,0.005599219987587115,0.9888015600252287,0.005599219987587485
9,cyclic,40.0,0.0027277508843821054,0.01840221682736637,0.00012601638193974855,1.8559254271365394e-16,9.367506770268654e-17,7.806255641895632e-18,0.01661857711312431,3.8158982752152014e-08,1.0000000000004536,4.5363712786183896e-13,4.631711680855974e-16,0.01256226717585319,0.018394356351629202,5.796215488279281e-16,1.2546890163926486e-17,5.672665126892871e-16,7.112366251504909e-17,0.14999207981796586,0.01256226717585319,1.0487217513658594e-11,0.006281133587926363,0.9874377328246005,0.0062811335879268265
10,cyclic,40.0,0.0027220752761664335,0.01840221682736634,0.00012601638193974855,2.0857352977757092e-16,1.1796119636634035e-16,6.938893903907228e-18,0.01660717277837137,3.815898275211271e-08,1.0000000000005036,5.03597163969971e-13,5.811323644519377e-16,0.013923256672799556,0.018394356351629202,7.062367766473017e-16,-3.0310861196579557e-18,7.117388829621785e-16,7.806255641895632e-17,0.16659925259633723,0.013923256672799556,1.0487217513659122e-11,0.006961628336399487,0.9860767433277039,0.0069616283364000685
11,cyclic,40.0,0.0027164114771432053,0.018402216827366376,0.0001260163819398162,2.238603858943517e-16,1.1535911115236666e-16,1.214306433183765e-17,0.016595792172521412,3.815898275235583e-08,1.000000000000551,5.508926648190027e-13,6.964914756043044e-16,0.015281414370399933,0.018394356351629337,8.743742987947914e-16,1.9329925212677574e-17,8.530243627143318e-16,9.020562075079397e-17,0.18319504476885864,0.015281414370399933,1.0487217513659626e-11,0.007640707185199618,0.984718585630151,0.007640707185200314
12,cyclic,40.0,0.002710759462734409,0.01840221682736637,0.0001260163819398856,2.587386566742891e-16,1.5525775109979693e-16,3.469446951953614e-18,0.016584435246201595,3.815898275224004e-08,1.0000000000006,5.999645225074346e-13,8.517492267041013e-16,0.016636746160755243,0.018394356351629337,1.0527796097737083e-15,8.116028257891035e-18,1.0431754971176e-15,9.367506770274758e-17,0.19977948001506024,0.016636746160755243,1.0487217513660132e-11,0.008318373080377195,0.9833632538398449,0.008318373080378047
13,cyclic,40.0,0.00270511920842625,0.018402216827366348,0.0001260163819397503,2.367637523782972e-16,1.7173762412155106e-16,6.938893903907228e-18,0.01657310195014261,3.8158982752279175e-08,1.0000000000006486,6.485922909860165e-13,1.0234868508256524e-15,0.017989257923706824,0.018394356351629337,1.256892193066685e-15,3.549785748681883e-18,1.253510271485446e-15,1.0061396160665481e-16,0.21635258196520285,0.017989257923706824,1.0487217513660649e-11,0.0089946289618529,0.982010742076942,0.008994628961853924
14,cyclic,40.0,0.0026994906897453794,0.01840221682736638,0.0001260163819396809,2.440149786796813e-16,1.9428902930921504e-16,3.469446951953614e-18,0.016561792235176953,3.815898275220375e-08,1.000000000000699,6.989964163039986e-13,1.2177758801348674e-15,0.019338955526861806,0.018394356351629608,1.4918187761963664e-15,2.1398304820862897e-18,1.4914647636995574e-15,1.0408340855860843e-16,0.2329143742003798,0.019338955526861806,1.0487217513661173e-11,0.009669477763430294,0.9806610444738374,0.009669477763431512
15,cyclic,40.0,0.0026938738822775248,0.01840221682736637,0.0001260163819396809,2.7131238954396407e-16,2.1857515797285188e-16,3.469446951953614e-18,0.016550506052239677,3.815898275219987e-08,1.0000000000007498,7.498446308318307e-13,1.4363510381077193e-15,0.020685844825618714,0.018394356351629337,1.7776423713993124e-15,1.7542356616148688e-17,1.7591635674404141e-15,1.0755285551056204e-16,0.24946488025261948,0.020685844825618714,1.04872175136617e-11,0.010342922412808639,0.9793141551751311,0.010342922412810075
16,cyclic,40.0,0.002688268761654581,0.018402216827366345,0.0001260163819396809,2.8666868657357213e-16,2.2377932840075844e-16,0.0,0.016539243352368116,3.815898275216487e-08,1.0000000000007991,7.991385331251877e-13,1.6601303665084777e-15,0.022029931663192795,0.018394356351629608,2.0570700111516416e-15,2.5148503138706364e-17,2.033236152222697e-15,1.0755285551056204e-16,0.2660041236049876,0.022029931663192795,1.0487217513662223e-11,0.011014965831595567,0.9779700683376066,0.011014965831597227
