a_over_h,step_over_L0,source_traction_MPa,source_Haa,gradient_FD_error,Haa_FD_error,nearest_cutoff_crossing_distance_over_h,stencil_avoids_cutoff_crossing
0.9999999999999999,4e-05,-0.27267571635571264,19.66091286328976,-2.574061962846508e-08,-2.953255456361603e-05,0.28656257096600013,True
0.9999999999999999,2e-05,-0.27267571635571264,19.66091286328976,-6.386830224034638e-09,-3.4704481244318686e-06,0.28656257096600013,True
0.9999999999999999,1e-05,-0.27267571635571264,19.66091286328976,-1.602809821985799e-09,-5.883580200816141e-08,0.28656257096600013,True
1.0999999999999999,4e-05,10052.335279707433,10.874951445934185,-7.059060824765595e-08,0.00010935271434142635,0.18656257096600015,True
1.0999999999999999,2e-05,10052.335279707433,10.874951445934185,-1.776706404221784e-08,3.258781434922753e-05,0.18656257096600015,True
1.0999999999999999,1e-05,10052.335279707433,10.874951445934185,-4.5429200401514436e-09,4.890092455411832e-06,0.18656257096600015,True
1.4999999999999996,4e-05,5024.927131548194,-3.0065755786594592,-3.622745703424357e-08,0.00012252204239526776,0.09390986561600045,True
1.4999999999999996,2e-05,5024.927131548194,-3.0065755786594592,-8.85837780906229e-09,-3.237699530700411e-08,0.09390986561600045,True
1.4999999999999996,1e-05,5024.927131548194,-3.0065755786594592,-2.1623451917918146e-09,-8.113071103821312e-09,0.09390986561600045,True
1.9999999999999998,4e-05,4370.786987244598,-1.7175575612481715,-1.8603917295578754e-09,-3.213089595721641e-06,0.06910166219399971,True
1.9999999999999998,2e-05,4370.786987244598,-1.7175575612481715,-4.698373912148668e-10,3.6303502426449086e-09,0.06910166219399971,True
1.9999999999999998,1e-05,4370.786987244598,-1.7175575612481715,-1.2289269601950537e-10,9.269571776826524e-10,0.06910166219399971,True
40.0,4e-05,0.0,0.0,0.0,0.0,37.406090134384,True
40.0,2e-05,0.0,0.0,0.0,0.0,37.406090134384,True
40.0,1e-05,0.0,0.0,0.0,0.0,37.406090134384,True
1.25,4e-05,12288.764100398075,-2.95492360280387,1.6422847770591886e-07,0.00026852560359591493,0.03656257096600002,True
1.25,2e-05,12288.764100398075,-2.95492360280387,4.1183153776103154e-08,8.531110915477313e-07,0.03656257096600002,True
1.25,1e-05,12288.764100398075,-2.95492360280387,1.0353648161043338e-08,2.1322850018989925e-07,0.03656257096600002,True
2.999999999999999,4e-05,0.0,0.0,0.0,0.0,0.4060901343839993,True
2.999999999999999,2e-05,0.0,0.0,0.0,0.0,0.4060901343839993,True
2.999999999999999,1e-05,0.0,0.0,0.0,0.0,0.4060901343839993,True
1.2999999999999998,4e-05,11137.821303977435,-4.198665451601056,1.5168448364022424e-07,-7.202778064652193e-06,0.013437429033999804,True
1.2999999999999998,2e-05,11137.821303977435,-4.198665451601056,3.7901889182734294e-08,-2.726866756397328e-06,0.013437429033999804,True
1.2999999999999998,1e-05,11137.821303977435,-4.198665451601056,9.449648619153095e-09,-4.5530603909327283e-07,0.013437429033999804,True
2.5,4e-05,4.0616717604032395,0.5248597048912113,-7.559157048789636e-09,1.6241058720112278e-08,0.09390986561599979,True
2.5,2e-05,4.0616717604032395,0.5248597048912113,-1.8748151627088344e-09,4.064053427121905e-09,0.09390986561599979,True
2.5,1e-05,4.0616717604032395,0.5248597048912113,-5.036897272967661e-10,1.0161741448300177e-09,0.09390986561599979,True
1.1699999999999997,4e-05,12916.850981491893,1.2303747955427389,-1.0404950101516874e-07,-6.03644067684872e-05,0.11656257096600031,True
1.1699999999999997,2e-05,12916.850981491893,1.2303747955427389,-2.6100048566846112e-08,-9.87160516197072e-06,0.11656257096600031,True
1.1699999999999997,1e-05,12916.850981491893,1.2303747955427389,-6.512938854896788e-09,-3.123952725170298e-06,0.11656257096600031,True
1.4199999999999997,4e-05,6842.173204758798,-5.5480348506865775,-5.015380943884651e-08,0.00024913301213125294,0.1334374290339997,True
1.4199999999999997,2e-05,6842.173204758798,-5.5480348506865775,-1.2100221380428877e-08,5.3956045875658276e-05,0.1334374290339997,True
