a_over_h,epsilon_over_h,force_left,force_right,Haa_left,Haa_right,energy_difference,Haa_difference
1.286562570966,4e-05,1.45855525852885,1.4583027702517304,-3.852063534971382,-3.8675826201573438,9.526422115746502e-05,-0.015519085185961679
1.286562570966,2e-05,1.4584923178170432,1.4583658890819082,-3.8565680908746263,-3.8628739052571874,4.7632127346486364e-05,-0.00630581438256117
1.286562570966,1e-05,1.4584608198737001,1.4583974197420184,-3.8588208799709047,-3.8605290039641766,2.381607965912247e-05,-0.001708123993271915
1.593909865616,4e-05,0.5156212702547157,0.5155966219654992,-0.37531299026039927,-0.37189900810526966,3.367946579924119e-05,0.0034139821551296134
1.593909865616,2e-05,0.515615170718229,0.5156026766460975,-0.37172458338430514,-0.3696449119313854,1.6839748531172205e-05,0.0020796714529197624
1.593909865616,1e-05,0.5156121428744899,0.5156056901831654,-0.37011560497477736,-0.36851790650194494,8.419890127453478e-06,0.0015976984728324206
1.930898337806,4e-05,0.6265713182959507,0.6265265792171179,-0.6807506310398612,-0.6795822975525384,4.092603702954278e-05,0.0011683334873228146
1.930898337806,2e-05,0.6265602003109944,0.6265376744809947,-0.6809188699542598,-0.6793044510652433,2.046303422675866e-05,0.001614418889016478
1.930898337806,1e-05,0.6265546402883234,0.6265432204114244,-0.6810029791871508,-0.6791655179570093,1.0231532979187996e-05,0.0018374612301415016
2.286562570966,4e-05,0.029749120529108525,0.02958514000713482,-2.5106972634617866,-2.5045520861559973,1.9378623208332613e-06,0.006145177305789229
2.286562570966,2e-05,0.02970813098094428,0.02962604839425668,-2.509476625537645,-2.5056816456718574,9.689386171185532e-07,0.0037949798657876954
2.286562570966,1e-05,0.029687643681718653,0.029646509504920496,-2.5088663052608124,-2.5062464237463424,4.844771852585694e-07,0.0026198815144700127
2.593909865616,4e-05,2.7622711001233437e-07,0.0,-0.0021253076350364088,0.0,2.3862800624385727e-11,0.0021253076350364088
2.593909865616,2e-05,2.426069098811234e-07,0.0,-0.0019923096991513564,0.0,1.9629520231490005e-11,0.0019923096991513564
2.593909865616,1e-05,2.2661124558908805e-07,0.0,-0.0019258120033931213,0.0,1.7714274491709148e-11,0.0019258120033931213
