axis,frequency_per_ps,predicted_loss_A2_eV,SNR3_duration_ps
0,0.05,1.6108996896338883e-06,167725.34297220712
1,0.05,1.4136182115413183e-05,96632.79033273814
0,0.2,5.1037078598934205e-06,13234.922058377191
1,0.2,4.67144555097515e-05,7310.4711783431385
0,0.5,1.3048910835885181e-05,2070.5843294954016
1,0.5,0.00012554804110828286,1088.0446324813295
0,1.0,2.235755895855862e-05,604.2446392257771
1,1.0,0.00028470987666305727,239.8966165969635
0,2.0,3.65847563671568e-05,184.63202284724122
1,2.0,0.005187246296375643,6.583544738460603
