axis,frequency_per_ps,dt_ps,fraction,parts,block,real_A2_eV,imag_A2_eV,phase_deg,sign_disagreement_A2_eV,observed_null_envelope_A2_eV,loss_exceeds_observed_null,loss_to_null_ratio,confidence_interval,production_clock_calibrated
0,2.0,0.0025,0.5,1,0,0.0026370923020673635,-6.31778603218807e-05,-1.3723950616833502,1.8899311763523712e-05,4.5756390200729116e-05,True,1.3807439801244195,False,False
0,2.0,0.0025,0.5,2,0,0.0026365781636204753,-4.525674853147224e-05,-0.9833829698732504,1.5394121000715824e-05,7.151517755892051e-05,False,0.6328271854486517,False,False
0,2.0,0.0025,0.5,2,1,0.002637606440514237,-8.109897211228721e-05,-1.7611290647520874,3.8073355867829345e-05,7.151517755892051e-05,True,1.1340106377484795,False,False
0,2.0,0.0025,1.0,1,0,0.00264264748739188,-2.9342812857569874e-05,-0.6361613710692117,5.735540223628575e-06,2.2878195100364558e-05,True,1.2825667728090273,False,False
0,2.0,0.0025,1.0,2,0,0.002638489434062739,-3.0797930353030316e-05,-0.6687581423087997,4.8870822342263584e-06,3.5757588779460255e-05,False,0.8612977385858062,False,False
0,2.0,0.0025,1.0,2,1,0.002646805540721002,-2.7887695362107066e-05,-0.6036666070400336,1.62811475994104e-05,3.5757588779460255e-05,False,0.7799098405126862,False,False
0,2.0,0.00125,1.0,1,0,0.0026428749993374595,-4.0800054344102856e-05,-0.8844478974857264,4.578589544624013e-06,2.2878195100364558e-05,True,1.7833598395816075,False,False
0,2.0,0.00125,1.0,2,0,0.002662308294089987,-5.1742327079755634e-05,-1.1134111648388043,7.138293192144461e-06,3.5757588779460255e-05,True,1.4470306540769122,False,False
0,2.0,0.00125,1.0,2,1,0.0026234417045849145,-2.9857781608448112e-05,-0.6520636653834546,1.0614138095728678e-05,3.5757588779460255e-05,False,0.8350054527613705,False,False
1,1.0,0.0025,0.5,1,0,0.013823969415687093,-0.00028573094900997725,-1.1840916460786552,0.00020025499337746457,0.0003769215436019936,False,0.7580647852585786,False,False
1,1.0,0.0025,0.5,2,0,0.01385037333266822,-0.0002641387934133811,-1.0925484362873674,0.00034344145633911715,0.0006415300548491556,False,0.4117325313394532,False,False
1,1.0,0.0025,0.5,2,1,0.013797565498705826,-0.0003073231046065805,-1.2759791407566545,0.00010050271360946154,0.0006415300548491556,False,0.47904708794795603,False,False
1,1.0,0.0025,1.0,1,0,0.013811138301630362,-0.0003295040809318465,-1.366694908600209,6.0158114864001125e-05,0.0001884607718009968,True,1.7483961133290005,False,False
1,1.0,0.0025,1.0,2,0,0.013906916068052753,-0.0002518618745007306,-1.0375445540608643,8.885424070259536e-05,0.0003207650274245778,False,0.7851911928271278,False,False
1,1.0,0.0025,1.0,2,1,0.013715360535207834,-0.0004071462873629694,-1.7003501395280172,3.2232292997184754e-05,0.0003207650274245778,True,1.2692976245943852,False,False
1,1.0,0.00125,1.0,1,0,0.013795873713282792,-0.00035284810447123365,-1.465097542479642,9.18676201588308e-05,0.0001884607718009968,True,1.8722628645701396,False,False
1,1.0,0.00125,1.0,2,0,0.013845522007645515,-0.00034422910681812036,-1.4242014685967817,3.0838557688019366e-05,0.0003207650274245778,True,1.0731503667402138,False,False
1,1.0,0.00125,1.0,2,1,0.013746225418919941,-0.00036146710212435745,-1.5062875218887912,0.00019748498428857629,0.0003207650274245778,True,1.1268906246624721,False,False
