axis,frequency_per_ps,parts,block,nw,halfband_per_ps,imag_A2_eV
1,2.0,2,0,2.0,0.01,-0.0048964462385594956
0,2.0,2,0,2.0,0.02,-3.918825033541939e-05
1,2.0,2,0,2.0,0.02,-0.005555846924411605
0,0.05,2,0,3.0,0.005,-1.7505888177520524e-06
1,0.05,2,0,3.0,0.005,-1.3451416732893902e-05
0,0.05,2,0,3.0,0.01,-1.642051540038803e-06
1,0.05,2,0,3.0,0.01,-1.4246027024526716e-05
0,0.05,2,0,3.0,0.02,-1.5694920276141746e-06
1,0.05,2,0,3.0,0.02,-1.4332618008788829e-05
0,1.0,2,0,3.0,0.005,-2.592822910594973e-05
1,1.0,2,0,3.0,0.005,-0.000346770841254767
0,1.0,2,0,3.0,0.01,-2.282952164421418e-05
1,1.0,2,0,3.0,0.01,-0.0003005453857303146
0,1.0,2,0,3.0,0.02,-2.1859848115645298e-05
1,1.0,2,0,3.0,0.02,-0.0003016244215309527
0,2.0,2,0,3.0,0.005,-4.267820482773945e-05
1,2.0,2,0,3.0,0.005,-0.005035620467902773
0,2.0,2,0,3.0,0.01,-4.0052073503051866e-05
1,2.0,2,0,3.0,0.01,-0.004842410224022973
0,2.0,2,0,3.0,0.02,-3.947438924120227e-05
1,2.0,2,0,3.0,0.02,-0.005505158318216022
0,0.05,2,1,2.0,0.005,-1.3990904058719079e-06
1,0.05,2,1,2.0,0.005,-1.4865730923679825e-05
0,0.05,2,1,2.0,0.01,-1.3891155949033939e-06
1,0.05,2,1,2.0,0.01,-1.3651845785521821e-05
0,0.05,2,1,2.0,0.02,-1.5081472028060695e-06
1,0.05,2,1,2.0,0.02,-1.3487154064028994e-05
0,1.0,2,1,2.0,0.005,-2.176988916532586e-05
1,1.0,2,1,2.0,0.005,-0.00029614683899401386
0,1.0,2,1,2.0,0.01,-2.111049761848115e-05
1,1.0,2,1,2.0,0.01,-0.00029664719816974963
0,1.0,2,1,2.0,0.02,-2.1819923836752997e-05
1,1.0,2,1,2.0,0.02,-0.00032051259187360716
0,2.0,2,1,2.0,0.005,-3.330624936970127e-05
1,2.0,2,1,2.0,0.005,-0.0056978211909390186
0,2.0,2,1,2.0,0.01,-3.82562992339698e-05
1,2.0,2,1,2.0,0.01,-0.005656053963068393
0,2.0,2,1,2.0,0.02,-3.877542808591943e-05
1,2.0,2,1,2.0,0.02,-0.0055873504635723095
0,0.05,2,1,3.0,0.005,-1.4099733156645227e-06
1,0.05,2,1,3.0,0.005,-1.4875607814917211e-05
0,0.05,2,1,3.0,0.01,-1.4109981262579771e-06
1,0.05,2,1,3.0,0.01,-1.3688475700896995e-05
0,0.05,2,1,3.0,0.02,-1.5132123120789828e-06
1,0.05,2,1,3.0,0.02,-1.3472980063058923e-05
0,1.0,2,1,3.0,0.005,-2.1586830851609842e-05
1,1.0,2,1,3.0,0.005,-0.00030712013675006686
0,1.0,2,1,3.0,0.01,-2.0875063829059323e-05
1,1.0,2,1,3.0,0.01,-0.0003023176992737741
0,1.0,2,1,3.0,0.02,-2.1915964993767107e-05
1,1.0,2,1,3.0,0.02,-0.00033083719011142774
0,2.0,2,1,3.0,0.005,-3.328500690301766e-05
1,2.0,2,1,3.0,0.005,-0.005746546792831324
0,2.0,2,1,3.0,0.01,-3.748755353816964e-05
1,2.0,2,1,3.0,0.01,-0.00569432654413795
0,2.0,2,1,3.0,0.02,-3.788978620287238e-05
1,2.0,2,1,3.0,0.02,-0.005664678887474556
