name,axis,dt_ps,frequency_per_ps,fraction,sign,force_eV_A,parts,block,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A,harmonic_1_amplitude_A,harmonic_2_amplitude_A,harmonic_3_amplitude_A,joint_harmonic_residual_rms_A
axis0_dt0.0025_fraction0.5_sign-1,0,0.0025,2.0,0.5,-1,-1.6530435542637767,1,0,0.0026220109040757896,-7.456800605205546e-05,0.0026230710185999383,-0.028431579894031313,3.448248147319982e-05,0.007578016953509863,0.004336050639672743,9.358457346061167e-05,4.548377464988226e-05,0.007577659765693483
axis0_dt0.0025_fraction0.5_sign-1,0,0.0025,2.0,0.5,-1,-1.6530435542637767,2,0,0.0026251804544291384,-3.49092277378525e-05,0.0026254125528187055,-0.013297055523010838,3.079665460800332e-05,0.007625331510225672,0.004339921297720164,0.0001332447962280968,3.161012820026143e-05,0.00762471664738285
axis0_dt0.0025_fraction0.5_sign-1,0,0.0025,2.0,0.5,-1,-1.6530435542637767,2,1,0.002618841353722427,-0.00011422678436625633,0.0026213313018833327,-0.04358966958821546,3.816830833839636e-05,0.007530116122749078,0.004333174812168115,5.691139230259998e-05,6.057123889370805e-05,0.007529886780776199
axis0_dt0.0025_fraction0.5_sign+1,0,0.0025,2.0,0.5,1,1.6530435542637767,1,0,0.0026521737000589373,-5.1787714591705955e-05,0.002652679268714359,-0.019524035751766044,-9.156463131797076e-06,0.008060572110800456,0.004384994366677421,0.00010366670513129735,4.8221015966183085e-05,0.008060166668707746
axis0_dt0.0025_fraction0.5_sign+1,0,0.0025,2.0,0.5,1,1.6530435542637767,2,0,0.0026479758728118123,-5.560426932509198e-05,0.002648559619446135,-0.020995696817982107,4.556316347681103e-05,0.007806182800678934,0.004378184407008751,8.665546059290108e-05,5.437924936150747e-05,0.00780584760175407
axis0_dt0.0025_fraction0.5_sign+1,0,0.0025,2.0,0.5,1,1.6530435542637767,2,1,0.0026563715273060463,-4.797115985831809e-05,0.002656804645294872,-0.01805694178545722,-6.387608974040503e-05,0.008306809204451,0.0043918137938427455,0.00018079041435233896,4.4737402553936246e-05,0.00830576521788314
axis0_dt0.0025_fraction1_sign-1,0,0.0025,2.0,1.0,-1,-3.3060871085275534,1,0,0.0026387916981059443,-3.358890643158856e-05,0.0026390054643043322,-0.01272820910924695,3.621468851418231e-05,0.008060111996738102,0.008724781944870304,0.00021019444727387817,5.8395334997653186e-05,0.008058635712051659
axis0_dt0.0025_fraction1_sign-1,0,0.0025,2.0,1.0,-1,-3.3060871085275534,2,0,0.0026424629914019774,-2.7952861841399312e-05,0.002642610834650878,-0.010577941620925521,7.295427148289521e-05,0.008047269008473999,0.008736701613294486,0.00022880566497830948,3.933613529054428e-05,0.008045594372873468
axis0_dt0.0025_fraction1_sign-1,0,0.0025,2.0,1.0,-1,-3.3060871085275534,2,1,0.002635120404809893,-3.92249510217757e-05,0.0026354123291485367,-0.014884349961719806,-5.248944545304952e-07,0.008072736722536342,0.008712902727052533,0.00019391974654872998,8.13039897708746e-05,0.008071367330753799
axis0_dt0.0025_fraction1_sign+1,0,0.0025,2.0,1.0,1,3.3060871085275534,1,0,0.002646503276677816,-2.509671928355119e-05,0.0026466222697591763,-0.009482688820475194,4.6942239378322386e-05,0.007848666880972743,0.008749963767192738,8.45910630835256e-05,5.843253402363576e-05,0.007848330192084517
axis0_dt0.0025_fraction1_sign+1,0,0.0025,2.0,1.0,1,3.3060871085275534,2,0,0.0026345158767235003,-3.3642998864661327e-05,0.0026347306799900444,-0.01276939363390495,7.90464053330258e-05,0.007921939579897024,0.008710649135557112,4.264085315721142e-05,4.9645301367545654e-05,0.007921804419347029
axis0_dt0.0025_fraction1_sign+1,0,0.0025,2.0,1.0,1,3.3060871085275534,2,1,0.002658490676632112,-1.6550439702438426e-05,0.002658542193532803,-0.006225421829922537,1.4838073423619236e-05,0.007774418729199172,0.008789372073515357,0.00012780768969220105,7.899208465096714e-05,0.007773692771098681
axis0_dt0.00125_fraction1_sign-1,0,0.00125,2.0,1.0,-1,-3.3060871085275534,1,0,0.002638907778629752,-3.851430674769646e-05,0.002639188817787933,-0.014593754579681225,5.7031779856791865e-05,0.007946335131924684,0.008725388127458747,9.039364573317934e-05,6.288392208278202e-06,0.007946076815091062
axis0_dt0.00125_fraction1_sign-1,0,0.00125,2.0,1.0,-1,-3.3060871085275534,2,0,0.0026647724884554906,-4.50428512923499e-05,0.00266515314263211,-0.01690146623476513,5.988309408284596e-05,0.007790879936526822,0.008811228447107699,4.338608815219286e-06,3.305564323317244e-05,0.007790844269771934
axis0_dt0.00125_fraction1_sign-1,0,0.00125,2.0,1.0,-1,-3.3060871085275534,2,1,0.002613043068803994,-3.1985762203040666e-05,0.0026132388272808713,-0.012240198094647195,5.418046563073784e-05,0.008098325729290451,0.00863959519837694,0.00017792415601079783,3.442306661396826e-05,0.008097311815737621
axis0_dt0.00125_fraction1_sign+1,0,0.00125,2.0,1.0,1,3.3060871085275534,1,0,0.002646842220045167,-4.3085801940509256e-05,0.0026471928762639273,-0.016276752955380985,7.052911617056112e-06,0.007615483367311227,0.008751850242002139,0.00016889388382876173,7.22228760980888e-06,0.007614545177821024
axis0_dt0.00125_fraction1_sign+1,0,0.00125,2.0,1.0,1,3.3060871085275534,2,0,0.002659844099724483,-5.8441802867161376e-05,0.0026604860606967125,-0.02196835561310557,2.9044319358887034e-05,0.007441270840881218,0.008795798667686636,0.00014982731024699208,6.133357793986807e-05,0.007440390225788544
axis0_dt0.00125_fraction1_sign+1,0,0.00125,2.0,1.0,1,3.3060871085275534,2,1,0.0026338403403658346,-2.7729801013855558e-05,0.002633986309835851,-0.010527888152752367,-1.4938496124774631e-05,0.0077854524406903635,0.008708188182986366,0.00021709475672147387,5.413870075659717e-05,0.007783844753082744
axis1_dt0.0025_fraction0.5_sign-1,1,0.0025,1.0,0.5,-1,-0.7351730255153137,1,0,0.013732487103096868,-0.00010759322460620939,0.013732908589905599,-0.007834780567881202,-6.698744232548727e-05,0.01681769279066017,0.010096063957166113,0.0010078420200820397,0.00011289363084279775,0.01680239701787692
