case,trajectory_sha256,logged_clock_max_error_ps,mean_temperature_K,first40_temperature_K,last40_temperature_K,work_parts_eV,work_power_eV,internal_energy_change_eV,parts_energy_residual_eV,power_energy_residual_eV,max_com_change_A_ps,fitted_periodic_work_eV,steady_endpoint_work_eV,steady_parts_work_eV,steady_power_work_eV,steady_internal_energy_change_eV,steady_parts_energy_residual_eV,steady_power_energy_residual_eV
axis0_dt0.0025_fraction0.5_sign-1,cd0db4256e7fa3fc6443c5086247bc24a97b1521e19c29e025f5afb143bc4f0f,5.684341886080802e-14,299.83020003025547,299.086847578557,301.12702977384293,0.5025171745632763,0.49880427491073875,0.49344513708183513,-0.009072037481441142,-0.005359137828903626,5.04469858754133e-15,0.46089658718119925,0.003935320843441411,0.46483190802454516,0.4629125301430197,0.4564841354153941,-0.008347772609151038,-0.006428394727625575
axis0_dt0.0025_fraction0.5_sign+1,f927e598b383796ebbc1e8162041d48352a812f01e2aacf363dc3b34c1acc34a,5.684341886080802e-14,299.95869129090147,299.14214773700417,300.64539792201106,0.3678190868716295,0.3701681025040743,0.3732589754513356,0.005439888579706065,0.0030908729472612917,1.1689212273004102e-14,0.3200941285270337,0.0024068322096395377,0.3225009607367058,0.3230489430534803,0.33165316081203855,0.00915220007533274,0.008604217758558241
axis0_dt0.0025_fraction1_sign-1,57ae8818471baac089a16c43bfd6dd654bd76203ca08c0c3eeead262c56a6dd0,5.684341886080802e-14,301.3822748816177,299.48385303210597,303.48354158489354,1.036566659325262,1.0286682665153035,1.0369619727803183,0.0003953134550562787,0.0082937062650148,6.372593062354716e-15,0.8304372430535745,-0.020198386513571503,0.8102388565399855,0.8102698569824224,0.8099995524926271,-0.00023930404735839073,-0.0002703044897952589
axis0_dt0.0025_fraction1_sign+1,9f1ab505f9425093b62ce9d81468385afc2377aebe61653c82b44ee5144bd058,5.684341886080802e-14,300.68933744281475,299.247030768887,302.21487951986,0.7472377364416166,0.7472069178144447,0.7443429209456554,-0.002894815495961267,-0.0028639968687893536,1.2181570620946232e-14,0.6204801699623557,0.00486476147370794,0.6253449314355498,0.6265427315094,0.6232236317978277,-0.0021212996377221183,-0.003319099711572293
axis0_dt0.00125_fraction1_sign-1,1575c95ba7c3b61787071eb29a0132f1be9044d3a470894d446636005a139341,5.684341886080802e-14,301.9415551011823,299.55907222706503,303.9358885998358,1.1015341109193628,1.0932358777839426,1.0998565909580975,-0.0016775199612653058,0.006620713174154913,1.1409172032362913e-14,0.9522106585642743,0.02906684847862808,0.9812775070424985,0.9765760479002474,0.9791623175792665,-0.00211518946323197,0.002586269679019093
axis0_dt0.00125_fraction1_sign+1,174ba6e167162e8bc5d2bc5841a760e34c969642959e2471c9ab2470a56a557c,5.684341886080802e-14,302.26198727235305,299.5331344582829,304.07535270851105,1.1398820662394793,1.1358385279825383,1.1397403042183214,-0.0001417620211578985,0.0039017762357831387,1.2371789480782179e-14,1.0652342805831763,0.004615681900269559,1.0698499624834754,1.0672213397470438,1.0693761852212447,-0.0004737772622307457,0.0021548454742008616
axis1_dt0.0025_fraction0.5_sign-1,f7c492ff5a998fe9e21a9890a71d7a604603cde5698c77cefdb3a3b446e7397c,5.684341886080802e-14,299.3312318748021,299.13600013446114,299.60516871944117,0.13314139591503985,0.13230375850299547,0.13200601197195283,-0.001135383943087015,-0.0002977465310426419,5.1120199868187336e-15,0.06576827100749442,0.0026023234985897226,0.06837059450610983,0.06767942184263714,0.06511021855976651,-0.003260375946343319,-0.0025692032828706357
axis1_dt0.0025_fraction0.5_sign+1,24744f05273be6bd98611c1172ddaca3466817f50027575d76f7bc6b3a8be73b,5.684341886080802e-14,299.9846031037428,299.08575377322546,300.62209338708254,0.3077633375758786,0.30805011323880105,0.3107821232997594,0.0030187857238808125,0.0027320100609583564,8.161794015677751e-15,0.2835479718785327,-0.008798269275022894,0.27474970260348347,0.27450557497979977,0.27820059872146885,0.0034508961179853803,0.003695023741669079
axis1_dt0.0025_fraction1_sign-1,6c4ade9c67f2db516cf80bac034a8af5ae624b63f43cd4f6dfc6903250fa5bc1,5.684341886080802e-14,301.26495617393783,299.4025778762154,303.28426967200807,0.9505725359634285,0.9504091401589557,0.9472397469307907,-0.003332789032637784,-0.0031693932281650072,4.8998626188448886e-15,0.8148830832746323,0.0024718558153020605,0.8173549390898852,0.8176026713395335,0.8178233723615449,0.00046843327165968507,0.00022070102201143804
axis1_dt0.0025_fraction1_sign+1,ad0dbb20e8122521abc36c1b8b82e1dff497cecfa83452f4bf7b1643ed043958,5.684341886080802e-14,301.0435220025737,299.2466034431192,303.011215199001,0.9680820504379141,0.9684653746222671,0.9684576427025604,0.00037559226464634055,-7.7319197067105e-06,7.608576637991176e-15,0.7964387278982538,-0.034509788358587604,0.7619289395396395,0.7632498409428821,0.7587070655999923,-0.003221873939647124,-0.0045427753428897155
