axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
0,0.05,360.0,8,5,2.1493282078036577e-05,3.39606997257698e-05
0,0.05,360.0,9,0,-1.6534123726126103e-05,-1.4643324972095303e-05
0,0.05,360.0,9,1,-6.60784574630451e-05,2.3929953457486304e-05
0,0.05,360.0,9,2,-1.3304987154266445e-06,3.1874531033008135e-05
0,0.05,360.0,9,3,-1.5312589392881775e-05,-6.753684798904033e-06
0,0.05,360.0,9,4,6.038472661337748e-05,1.9993440589229478e-05
0,0.05,360.0,9,5,3.887094268410186e-05,-5.440091530872459e-05
0,0.05,360.0,10,0,7.449224353205608e-05,2.6091971597849133e-05
0,0.05,360.0,10,1,-4.195075703529855e-05,-3.593081516509873e-05
0,0.05,360.0,10,2,-4.024491260891081e-05,-5.838169873803498e-06
0,0.05,360.0,10,3,1.718143619598614e-05,1.4930944250470002e-05
0,0.05,360.0,10,4,-2.2024124240661424e-05,-5.898042678898597e-05
0,0.05,360.0,10,5,1.2546114156828755e-05,5.9726495979569e-05
0,0.05,360.0,11,0,4.1348267320660295e-05,-3.954002291412622e-05
0,0.05,360.0,11,1,-5.56322625752938e-05,-3.936434725801795e-06
0,0.05,360.0,11,2,2.4986062632197132e-05,-1.3714236717618022e-05
0,0.05,360.0,11,3,-3.2138452572474894e-05,3.0211858762980045e-05
0,0.05,360.0,11,4,1.1207314674439832e-05,1.5176817750557145e-05
0,0.05,360.0,11,5,1.0229070520471644e-05,1.1802017844009004e-05
0,0.05,360.0,12,0,5.084223573971696e-05,-2.7039364979964908e-05
0,0.05,360.0,12,1,6.632901930148477e-06,-2.508494814296413e-05
0,0.05,360.0,12,2,-2.3634248389568426e-05,3.3845063502259304e-05
0,0.05,360.0,12,3,-6.329396646819079e-05,2.2839031822796405e-05
0,0.05,360.0,12,4,1.3320130036127124e-05,-1.2294890457571971e-05
0,0.05,360.0,12,5,1.613294715176657e-05,7.735108255445637e-06
1,0.05,180.0,0,0,2.4162352345944623e-05,7.158871979298603e-05
1,0.05,180.0,0,1,1.6148334527304212e-05,0.00024936129182555767
1,0.05,180.0,0,2,-0.0001087702036219723,-2.161041922832184e-05
1,0.05,180.0,0,3,0.0002570203410379081,5.776294367019249e-05
1,0.05,180.0,0,4,1.968278610934354e-05,-8.623470501446527e-05
1,0.05,180.0,0,5,-0.0002082436103985282,-0.00027086783104594934
1,0.05,180.0,1,0,8.708831407124739e-05,0.00013976736521156109
1,0.05,180.0,1,1,-0.00016391823836693238,3.828426463008825e-05
1,0.05,180.0,1,2,7.508031060762463e-05,0.00010975185369891592
1,0.05,180.0,1,3,-8.912183150268602e-05,-0.00027002236149060126
1,0.05,180.0,1,4,-9.294347924515844e-06,4.707477216522736e-05
1,0.05,180.0,1,5,0.0001001657931152625,-6.485589421519137e-05
1,0.05,180.0,2,0,-0.00017499793119532019,-1.2191785612707421e-05
1,0.05,180.0,2,1,-0.00010310874918222769,5.599498074707012e-05
1,0.05,180.0,2,2,0.00016090883947162492,-7.256342564887131e-05
1,0.05,180.0,2,3,-0.00016616108810025865,8.723147550083573e-05
1,0.05,180.0,2,4,-4.532155233197586e-05,-3.197661464218523e-05
1,0.05,180.0,2,5,0.00032868048133815713,-2.6494630344141773e-05
1,0.05,180.0,3,0,0.00011070862905668478,-0.00015316542205339899
1,0.05,180.0,3,1,7.744110657560829e-05,-0.00019800825032520347
1,0.05,180.0,3,2,9.936838528384156e-05,0.00016099718219098516
1,0.05,180.0,3,3,0.00023659101827658386,0.00023526105634250917
