model,case,path_verified,static_return_state_error_over_L0,dynamic_hold_performed,residual_plasticity_validated
source_Al99_only,normal_xx50MPa,True,1.48248672611313e-16,False,False
source_Al99_only,normal_yx50MPa,True,3.398754756862546e-16,False,False
source_Al99_only,normal_zx50MPa,True,1.2266561946341144e-16,False,False
source_Al99_only,shear_xy10MPa,True,3.6137157445752645e-15,False,False
source_Al99_only,shear_xz10MPa,True,3.241927477393735e-15,False,False
source_Al99_only,shear_yz10MPa,True,3.1306717074855967e-15,False,False
source_Al99_only,biaxial_opposite25MPa,True,2.662066163293226e-16,False,False
source_Al99_only,mixed_MPa,True,1.040038106348362e-16,False,False
source_Al99_only,pure_interface_normal50MPa,True,2.670587611596283e-16,False,False
source_Al99_only,pure_interface_shear1_4MPa,True,4.952252478974419e-16,False,False
source_Al99_only,pure_interface_shear2_4MPa,True,2.7742709003926973e-16,False,False
tied_control,normal_xx50MPa,True,3.668500012331488e-16,False,False
tied_control,normal_yx50MPa,True,4.28212447558928e-16,False,False
tied_control,normal_zx50MPa,True,4.111655931568611e-17,False,False
tied_control,shear_xy10MPa,True,3.2892765797589457e-16,False,False
tied_control,shear_xz10MPa,True,3.720312852547477e-16,False,False
tied_control,shear_yz10MPa,True,3.767131805118601e-16,False,False
tied_control,biaxial_opposite25MPa,True,2.7378816555415013e-16,False,False
tied_control,mixed_MPa,True,3.8950009223167715e-17,False,False
tied_control,pure_interface_normal50MPa,True,2.905185116677929e-16,False,False
tied_control,pure_interface_shear1_4MPa,True,2.6009904667163e-16,False,False
tied_control,pure_interface_shear2_4MPa,True,3.462436807706938e-16,False,False
