case,repeats,atoms,opening_A,reference_material_volume_A3,chemical_concentration_cm3,area_A2,energy_eV,reference_eV,separation_work_J_m2
Si_00_pure,1x1x1,216,0.0,4421.423122164499,0.0,155.52997112368598,-1162.8489074129373,-1162.8489074129373,0.0
Si_00_pure,1x1x1,216,0.7,4421.423122164499,0.0,155.52997112368598,-1153.2129067418027,-1162.8489074129373,0.9926430905219195
Si_00_pure,1x1x1,216,3.0,4421.423122164499,0.0,155.52997112368598,-1141.8001084930077,-1162.8489074129373,2.1683212283538933
Si_00_pure,1x1x1,216,10.0,4421.423122164499,0.0,155.52997112368598,-1141.6302671150859,-1162.8489074129373,2.1858172701281338
Si_00_pure,1x1x2,432,0.0,8842.846244328997,0.0,155.52997112368598,-2325.697814825877,-2325.697814825877,0.0
Si_00_pure,1x1x2,432,0.7,8842.846244328997,0.0,155.52997112368598,-2316.061814154743,-2325.697814825877,0.9926430905218492
Si_00_pure,1x1x2,432,3.0,8842.846244328997,0.0,155.52997112368598,-2304.649015905948,-2325.697814825877,2.1683212283537996
Si_00_pure,1x1x2,432,10.0,8842.846244328997,0.0,155.52997112368598,-2304.4791745280268,-2325.697814825877,2.1858172701279934
Si_00_pure,2x1x1,432,0.0,8842.846244328997,0.0,311.05994224737196,-2325.697814825877,-2325.697814825877,0.0
Si_00_pure,2x1x1,432,0.7,8842.846244328997,0.0,311.05994224737196,-2306.425813483608,-2325.697814825877,0.9926430905218959
Si_00_pure,2x1x1,432,3.0,8842.846244328997,0.0,311.05994224737196,-2283.600216986018,-2325.697814825877,2.1683212283538698
Si_00_pure,2x1x1,432,10.0,8842.846244328997,0.0,311.05994224737196,-2283.260534230175,-2325.697814825877,2.185817270128087
