model,polarization,alpha,amplitude_over_L0,analytic_H,central,fourth_order,sixth_order,central_error,fourth_error,sixth_error,harmonic_tail_bound
baseline,0,0.0,0.0004,31.82291129290457,31.822893564736887,,,-1.7728167684083473e-05,,,0.0035052138193877396
baseline,0,0.0,0.0002,31.82291129290457,31.822906620959657,31.822910973033913,,-4.6719449144916325e-06,-3.198706579610189e-07,,0.0035052138193877396
baseline,0,0.0,0.0001,31.82291129290457,31.822910528944703,31.822911831606387,31.82291188884455,-7.639598678110815e-07,5.387018156000067e-07,5.9593998003038e-07,0.0035052138193877396
baseline,0,0.0,5e-05,31.82291129290457,31.822906976231025,31.822905791993133,31.822905389352247,-4.3166735466115824e-06,-5.500911438360845e-06,-5.903552324326711e-06,0.0035052138193877396
baseline,0,0.0,2.5e-05,31.82291129290457,31.82290129188914,31.82289939710851,31.82289897078287,-1.0001015432692384e-05,-1.1895796060201747e-05,-1.2322121701657807e-05,0.0035052138193877396
baseline,0,0.0,1.25e-05,31.82291129290457,31.82290129188914,31.82290129188914,31.822901418207845,-1.0001015432692384e-05,-1.0001015432692384e-05,-9.87469672608654e-06,0.0035052138193877396
baseline,1,0.0,0.0004,31.822911292904255,31.822893520327966,,,-1.7772576288876962e-05,,,0.0035052138193877396
baseline,1,0.0,0.0002,31.822911292904255,31.822906443323973,31.82291075098931,,-4.84958028224014e-06,-5.419149466945328e-07,,0.0035052138193877396
baseline,1,0.0,0.0001,31.822911292904255,31.822910528944703,31.82291189081828,31.822911966806878,-7.639595516195641e-07,5.979140240697234e-07,6.73902622594369e-07,0.0035052138193877396
baseline,1,0.0,5e-05,31.822911292904255,31.82290413406008,31.822902002431874,31.822901343206116,-7.158844173460466e-06,-9.290472380740766e-06,-9.949698139166685e-06,0.0035052138193877396
baseline,1,0.0,2.5e-05,31.822911292904255,31.82290129188914,31.822900344498823,31.822900233969953,-1.0001015116500866e-05,-1.0948405432031905e-05,-1.1058934301644285e-05,0.0035052138193877396
baseline,1,0.0,1.25e-05,31.822911292904255,31.82290129188914,31.82290129188914,31.822901355048494,-1.0001015116500866e-05,-1.0001015116500866e-05,-9.937855761421588e-06,0.0035052138193877396
baseline,2,0.0,0.0004,169.71744800480204,169.72358869438153,,,0.006140689579495984,,,0.0035052138193877396
baseline,2,0.0,0.0002,169.71744800480204,169.7189818017364,169.71744617085469,,0.0015337969343534041,-1.833947351315146e-06,,0.0035052138193877396
baseline,2,0.0,0.0001,169.71744800480204,169.7178291237833,169.71744489779894,169.71744481292856,0.0003811189812665816,-3.107003095692562e-06,-3.191873474861495e-06,0.0035052138193877396
baseline,2,0.0,5e-05,169.71744800480204,169.7175349590907,169.71743690419316,169.7174363712861,8.695428866190014e-05,-1.1100608872993689e-05,-1.1633515924813764e-05,0.0035052138193877396
baseline,2,0.0,2.5e-05,169.71744800480204,169.71745253613335,169.71742506181423,169.7174242723223,4.531331313728515e-06,-2.2942987811802595e-05,-2.3732479746740864e-05,0.0035052138193877396
baseline,2,0.0,1.25e-05,169.71744800480204,169.7173956927145,169.7173767449082,169.71737352378113,-5.23120875470795e-05,-7.125989384348941e-05,-7.448102090279463e-05,0.0035052138193877396
saturated,0,446.0640027826982,0.0004,12.432982414774116,12.433067042572077,,,8.462779796047926e-05,,,0.00024834916719469974
saturated,0,446.0640027826982,0.0002,12.432982414774116,12.433003471201687,12.43298228074489,,2.1056427570442793e-05,-1.3402922682814733e-07,,0.00024834916719469974
saturated,0,446.0640027826982,0.0001,12.432982414774116,12.432987617216895,12.432982332555298,12.432982336009326,5.202442778795557e-06,-8.221881842018774e-08,-7.876479024560012e-08,0.00024834916719469974
saturated,0,446.0640027826982,5e-05,12.432982414774116,12.432983709231848,12.432982406570167,12.432982411504492,1.2944577321150064e-06,-8.203949519725029e-09,-3.26962457108948e-09,0.00024834916719469974
saturated,0,446.0640027826982,2.5e-05,12.432982414774116,12.432982998689113,12.432982761841535,12.432982785526292,5.839149963549062e-07,3.4706741836032506e-07,3.707521756268761e-07,0.00024834916719469974
saturated,0,446.0640027826982,1.25e-05,12.432982414774116,12.432985840860056,12.43298678825037,12.432987056677625,3.426085939395307e-06,4.373476253149988e-06,4.641903508684209e-06,0.00024834916719469974
saturated,1,446.0640027826982,0.0004,12.432982414774058,12.433067042572077,,,8.462779801909903e-05,,,0.00024834916719469974
saturated,1,446.0640027826982,0.0002,12.432982414774058,12.433003515610608,12.432982339956785,,2.1100836550047575e-05,-7.481727237745872e-08,,0.00024834916719469974
saturated,1,446.0640027826982,0.0001,12.432982414774058,12.432987617216895,12.432982317752325,12.432982316272026,5.202442837415333e-06,-9.702173286996185e-08,-9.850203142036662e-08,0.00024834916719469974
saturated,1,446.0640027826982,5e-05,12.432982414774058,12.432982998689113,12.432981459179851,12.432981401941685,5.839150549746819e-07,-9.555942064309875e-07,-1.0128323726377175e-06,0.00024834916719469974
saturated,1,446.0640027826982,2.5e-05,12.432982414774058,12.43298015651817,12.432979209127856,12.43297905912439,-2.258255888065719e-06,-3.2056462018204e-06,-3.3556496674691516e-06,0.00024834916719469974
saturated,1,446.0640027826982,1.25e-05,12.432982414774058,12.432974472176284,12.432972577395654,12.432972135280174,-7.94259777414652e-06,-9.83737840343224e-06,-1.027949388365812e-05,0.00024834916719469974
saturated,2,446.0640027826982,0.0004,93.59487994295361,93.59136796671663,,,-0.003511976236978853,,,0.00024834916719469974
saturated,2,446.0640027826982,0.0002,93.59487994295361,93.59400192643363,93.59487991300597,,-0.0008780165199766543,-2.994764258801297e-08,,0.00024834916719469974
saturated,2,446.0640027826982,0.0001,93.59487994295361,93.59466037750508,93.59487986119557,93.59487985774153,-0.00021956544853196647,-8.175804566690204e-08,-8.521207917056017e-08,0.00024834916719469974
saturated,2,446.0640027826982,5e-05,93.59487994295361,93.59482433524136,93.59487898782011,93.59487892959508,-5.560771225532335e-05,-9.551335011792617e-07,-1.013358527757191e-06,0.00024834916719469974
saturated,2,446.0640027826982,2.5e-05,93.59487994295361,93.59486341509182,93.59487644170865,93.59487627196789,-1.652786178851784e-05,-3.501244961512384e-06,-3.6709857198502505e-06,0.00024834916719469974
saturated,2,446.0640027826982,1.25e-05,93.59487994295361,93.59487194160465,93.5948747837756,93.59487467324672,-8.001348959396637e-06,-5.159178016356236e-06,-5.269706889521331e-06,0.00024834916719469974
