model,state,tolerance,finer_tolerance,energy_change,gradient_max_change,hessian_max_change
baseline,inspected039,2e-11,2e-13,1.1102230246251565e-16,2.140509991477302e-12,3.410605131648481e-12
baseline,heldout031,2e-11,2e-13,1.6653345369377348e-16,2.1369572777985013e-12,3.609557097661309e-12
baseline,heldout_off,2e-11,2e-13,2.277067423506196e-13,1.6862067298006878e-12,2.0126122990404838e-12
baseline,heldout_opening,2e-11,2e-13,3.321898311980931e-12,2.2288837442374643e-12,3.5984548674150574e-12
saturated,inspected039,2e-11,2e-13,2.7755575615628914e-16,7.549516567451064e-15,3.6060043839825084e-13
saturated,heldout031,2e-11,2e-13,2.7755575615628914e-16,8.881784197001252e-15,3.907985046680551e-13
saturated,heldout_off,2e-11,2e-13,2.7755575615628914e-16,1.4988010832439613e-15,1.1723955140041653e-13
saturated,heldout_opening,2e-11,2e-13,4.218847493575595e-15,2.220446049250313e-15,6.106226635438361e-15
