model,state,step,gradient_max_error,hessian_max_error
baseline,inspected039,4e-05,1.2207587278822984e-06,2.3268103916507243e-05
baseline,inspected039,2e-05,3.0475117984707367e-07,5.8179403765734605e-06
baseline,inspected039,1e-05,7.647544819633367e-08,1.4528542919833853e-06
baseline,heldout031,4e-05,9.34756938519854e-07,1.7940990659326417e-05
baseline,heldout031,2e-05,2.3321880604498801e-07,4.485909158802315e-06
baseline,heldout031,1e-05,5.7731403657612645e-08,1.12082318537432e-06
baseline,heldout_off,4e-05,9.187407812305537e-08,2.7988752937524453e-06
baseline,heldout_off,2e-05,2.2515670217160277e-08,6.995434742584905e-07
baseline,heldout_off,1e-05,6.028858301476703e-09,1.7446349476202272e-07
baseline,heldout_opening,4e-05,5.0739203949490275e-09,1.3711255514791214e-09
baseline,heldout_opening,2e-05,1.5156556010254008e-09,3.885781746858581e-10
baseline,heldout_opening,1e-05,2.527769105142852e-10,2.442491814845878e-10
saturated,inspected039,4e-05,1.812315242322171e-07,1.27906039182335e-06
saturated,inspected039,2e-05,4.531940933638623e-08,3.1987766391239347e-07
saturated,inspected039,1e-05,1.1371564800910505e-08,7.996401762966343e-08
saturated,heldout031,4e-05,1.6080513987049017e-07,1.0454856251840283e-06
saturated,heldout031,2e-05,4.022867439168465e-08,2.613822900343621e-07
saturated,heldout031,1e-05,1.008681316250204e-08,6.539462304999688e-08
saturated,heldout_off,4e-05,5.493912491605357e-08,5.02005054414667e-07
saturated,heldout_off,2e-05,1.3784892116674996e-08,1.2553120321001643e-07
saturated,heldout_off,1e-05,3.4403890847301e-09,3.136763737643378e-08
saturated,heldout_opening,4e-05,4.80474104946893e-10,1.310355823846976e-09
saturated,heldout_opening,2e-05,1.668361004902863e-10,3.291962258344938e-10
saturated,heldout_opening,1e-05,1.1132494925902847e-10,6.829381504758203e-11
