model,bracket_samples,actual_grid_points,grid_kind,a_over_h,energy_J_m2,traction_MPa,curvature_eV_L0sq,local_type
baseline,129,258,near_h_geometric_plus_uniform,1.2037806638969153,0.405494375648907,10484.033944012244,-2.1316282072803006e-14,maximum_traction
baseline,129,258,near_h_geometric_plus_uniform,1.5717757673353197,1.0370490845584655,4257.375485113926,2.007283228522283e-13,minimum_traction
baseline,129,258,near_h_geometric_plus_uniform,1.9514005365319638,1.5910675315892195,7995.602256388154,-7.993605777301127e-15,maximum_traction
baseline,129,258,near_h_geometric_plus_uniform,3.150885608287558,1.7451124138799743,-4283.922454002506,-1.2628786905111156e-15,minimum_traction
baseline,257,514,near_h_geometric_plus_uniform,1.2037806638969106,0.40549437564890506,10484.033944012346,9.769962616701378e-14,maximum_traction
baseline,257,514,near_h_geometric_plus_uniform,1.5717757673353139,1.0370490845584523,4257.375485113923,2.6645352591003757e-14,minimum_traction
baseline,257,514,near_h_geometric_plus_uniform,1.951400536531966,1.5910675315892302,7995.602256388136,-5.10702591327572e-14,maximum_traction
baseline,257,514,near_h_geometric_plus_uniform,3.1508856082854177,1.7451124138820968,-4283.922454002511,-4.025113575778505e-12,minimum_traction
saturated,129,258,near_h_geometric_plus_uniform,1.1908439628229035,0.35409919550042895,10569.334136170217,-1.61259894326804e-14,maximum_traction
saturated,257,514,near_h_geometric_plus_uniform,1.190843962822903,0.35409919550042807,10569.33413617021,6.022959908591474e-15,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.1858461680206895,0.36973671378544687,12969.567658481197,1.9120954819484833e-14,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.6322700788898576,1.1949641937212303,4005.706049611054,3.605051163840799e-11,minimum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,1.8918747001449547,1.4713233183974124,5025.057197224914,-1.997172349374465e-13,maximum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99,129,258,near_h_geometric_plus_uniform,2.527863881011658,1.740949935378599,46.058621287826554,-7.137636185219896e-13,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.1858461680206898,0.36973671378544765,12969.567658481195,-6.237073357784338e-14,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.6322700788892308,1.194964193720642,4005.706049611053,-1.3885455285578271e-14,minimum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,1.891874700144948,1.4713233183974035,5025.057197224909,-1.4312262312798916e-14,maximum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99,257,514,near_h_geometric_plus_uniform,2.5278638810116023,1.7409499353785989,46.05862128782654,-1.5649590998090264e-16,maximum_traction
