period_reduced,frequency_reduced,multiplier_r,escape_per_cycle,integrated_cycle_hazard,mean_hazard_rate,principal_mode_median_cycles
0.5,2.0,0.9964261893772329,0.0035738106227670707,0.003580211939898359,0.007160423879796718,193.60506925174477
1.0,1.0,0.9928464111264581,0.007153588873541894,0.007179298474409851,0.007179298474409851,96.5480378104663
2.0,0.5,0.9856290956193435,0.014370904380656468,0.014475165920931435,0.007237582960465718,47.885266693740476
4.0,0.25,0.9706954607108695,0.02930453928913046,0.02974249457975333,0.0074356236449383325,23.304944334823645
6.0,0.16666666666666666,0.9548102812096291,0.045189718790370925,0.046242616655840896,0.007707102775973483,14.989358965533237
12.0,0.08333333333333333,0.9048001657303044,0.09519983426969558,0.10004117101235584,0.008336764251029654,6.9286192229230945
30.0,0.03333333333333333,0.767327704806528,0.232672295193472,0.264841313573608,0.008828043785786934,2.6172169712007456
80.0,0.0125,0.4888197906290661,0.5111802093709339,0.7157613837507059,0.008947017296883823,0.9684053880187578
200.0,0.005,0.16647152389638392,0.8335284761036161,1.7929310118378805,0.008964655059189402,0.3866000286588945
