phase,time_reduced,force_reduced,survival_from_cycle_start,outflux,hazard,conditional_mean_lambda,conditional_variance,conditional_mean_shifted_energy
0.0,0.0,0.008,0.9999999999999999,0.0,0.004169631076768218,1.0108169106502622,0.0005933142468535282,0.00028537974718077753
0.01,0.12,0.008439533636705195,0.999475204921344,0.004373292322134948,0.004374440264917158,1.011184230127287,0.0005958469970295046,0.0002881953286654606
0.02,0.24,0.00887733263495013,0.998923923112754,0.004594015071582098,0.004597695348913196,1.0115652154155443,0.0005985353986846071,0.000291248712361276
0.03,0.36,0.009311669202100073,0.9983439142183494,0.0048334074533731754,0.004840019449471606,1.0119584802510946,0.000601366574346924,0.0002945377468605526
0.04,0.48,0.009740829210153984,0.9977328793625182,0.005091957131924246,0.005101965322531418,1.0123625877997655,0.0006043270389246403,0.0002980583118043184
0.049999999999999996,0.6,0.010163118960624632,0.9970884734773714,0.005370049042890991,0.00538399012226491,1.0127760541902266,0.0006074027700008029,0.0003018041984638817
0.06,0.72,0.010576871868792746,0.9964083209210197,0.005667937969596214,0.0056864281953744565,1.0131973523745978,0.0006105792865074404,0.0003057670176785558
0.06999999999999999,0.84,0.010980455040955508,0.9956900345524828,0.005985719737808889,0.0060094623147095155,1.0136249163444155,0.0006138417357256245,0.0003099361373869387
0.08,0.96,0.011372275718712008,0.9949312383570162,0.006323301628887356,0.00635309390209656,1.0140571457233363,0.0006171749881934279,0.00031429865155850037
0.09000000000000001,1.08,0.011750787564852977,0.994129593625956,0.006680372758835735,0.00671711293402147,1.0144924107502233,0.0006205637397129027,0.000318839381853305
0.09999999999999999,1.2,0.012114496766047311,0.9932828285885976,0.007056375311322362,0.007101068363495447,1.0149290576574257,0.0006239926192474035,0.00032354091281595166
0.10999999999999999,1.3199999999999998,0.012461967928240829,0.9923887712721815,0.007450477636800283,0.0075042400171304,1.0153654144393065,0.0006274463011114004,0.00032838366085314013
0.12,1.44,0.01279182974150082,0.9914453852328876,0.007861550327448102,0.007925613029962048,1.015799796995773,0.0006309096194976169,0.0003333459766630366
0.13,1.56,0.01310278039194988,0.990450807660266,0.008288146438513349,0.00836385595166975,1.0162305156249922,0.0006343676830822629,0.00033840428019155333
0.13999999999999999,1.68,0.013393592699430523,0.989403389215315,0.008728487041257168,0.008817303687662613,1.0166558818290732,0.0006378059872186567,0.00034353322660042823
