refinement_kind,control_value,multiplier_r
grid_cells,50,0.9048554562830345
grid_cells,70,0.9048048638812852
grid_cells,100,0.9047779678905195
grid_cells,140,0.904765306570492
grid_cells,200,0.9047585791246544
max_reduced_timestep,0.08,0.9048319715880866
max_reduced_timestep,0.04,0.9048023683464594
max_reduced_timestep,0.02,0.9047727242494752
max_reduced_timestep,0.01,0.9047578861572207
