inverse_temperature,force_amplitude,multiplier_r,escape_per_cycle,principal_mode_median_cycles
1000.0,0.003,0.5650786940584658,0.4349213059415342,1.2143640312149597
1000.0,0.005,0.5611499357590607,0.4388500642409393,1.199699892521145
1000.0,0.007,0.5553049748471951,0.4446950251528049,1.1783451633061264
1000.0,0.009,0.5476008174871103,0.4523991825128897,1.1510082616634993
1500.0,0.003,0.801461094463073,0.198538905536927,3.1318940236523307
1500.0,0.005,0.79646108548679,0.20353891451321005,3.045769814431381
1500.0,0.007,0.7889878899581859,0.21101211004181408,2.9246185007096708
1500.0,0.009,0.7790749268048274,0.22092507319517263,2.7764974262438287
2000.0,0.003,0.915449479712573,0.08455052028742704,7.8463481838244515
2000.0,0.005,0.9112155011474282,0.08878449885257178,7.455131002301112
2000.0,0.007,0.9048209763233751,0.0951790236766249,6.930212511993214
2000.0,0.009,0.8962181166351822,0.10378188336481775,6.3259827752404325
3000.0,0.003,0.9860648690724136,0.013935130927586359,49.39360384905704
3000.0,0.005,0.984297700676416,0.015702299323584024,43.79554925073394
3000.0,0.007,0.9815268062535817,0.018473193746418315,37.17413311365765
3000.0,0.009,0.9776095821930774,0.022390417806922636,30.60943177197946
5000.0,0.003,0.999668860975688,0.0003311390243120327,2092.8744705471645
5000.0,0.005,0.9995400165133366,0.0004599834866634289,1506.549192089007
5000.0,0.007,0.9993092660521651,0.0006907339478349206,1003.1471089830418
5000.0,0.009,0.9989247305824762,0.0010752694175237831,644.2798822939294
