phase,force_reduced,frozen_principal_escape_rate
0.0,0.008,0.007146328087091327
0.01,0.008439533636705195,0.007642633369319768
0.02,0.00887733263495013,0.008166321855797359
0.03,0.009311669202100073,0.0087161323908677
0.04,0.009740829210153984,0.009290316862054658
0.049999999999999996,0.010163118960624632,0.00988661214049215
0.06,0.010576871868792746,0.01050222185638085
0.06999999999999999,0.010980455040955508,0.0111338097102814
0.08,0.011372275718712008,0.011777505753829088
0.09000000000000001,0.011750787564852977,0.012428926727566595
0.09999999999999999,0.012114496766047311,0.013083211112421084
0.10999999999999999,0.012461967928240829,0.013735069069451605
0.12,0.01279182974150082,0.014378846917882644
0.13,0.01310278039194988,0.015008605261216659
0.13999999999999999,0.013393592699430523,0.01561820934717989
0.15,0.013663118960624632,0.016201429748527094
0.16,0.013910295478514105,0.01675205101704435
0.17,0.014134146760307045,0.017263985598502292
0.18000000000000002,0.014333789367262137,0.017731390026242903
0.18999999999999997,0.01450843540121776,0.018148780242887907
0.19999999999999998,0.014657395614066076,0.01851114283964099
0.21,0.014780082127900418,0.018814039056527742
0.21999999999999997,0.01487601075510082,0.019053698549133104
0.22999999999999998,0.014944802909201345,0.019227100190962874
0.24,0.014986187098997902,0.01933203754126872
0.25,0.015,0.019367167045560314
0.26,0.014986187098997902,0.01933203754126872
0.26999999999999996,0.014944802909201346,0.019227100190980267
0.27999999999999997,0.01487601075510082,0.019053698549133104
0.29,0.014780082127900418,0.018814039056527742
0.3,0.014657395614066076,0.01851114283964099
0.31,0.01450843540121776,0.018148780242887907
0.32,0.014333789367262137,0.017731390026242903
0.33,0.014134146760307045,0.017263985598502292
0.34,0.013910295478514106,0.01675205101705431
0.35000000000000003,0.013663118960624632,0.016201429748527094
0.36000000000000004,0.013393592699430525,0.015618209347166734
0.36999999999999994,0.013102780391949884,0.015008605261218552
0.37999999999999995,0.012791829741500822,0.014378846917883822
0.38999999999999996,0.012461967928240829,0.013735069069451605
0.39999999999999997,0.012114496766047313,0.013083211112334429
0.41,0.011750787564852977,0.012428926727566595
0.42,0.01137227571871201,0.011777505753817611
0.43,0.010980455040955508,0.0111338097102814
0.43999999999999995,0.010576871868792748,0.010502221856396684
0.44999999999999996,0.010163118960624632,0.00988661214049215
0.45999999999999996,0.009740829210153987,0.009290316862070365
0.47,0.009311669202100074,0.00871613239086922
0.48,0.008877332634950129,0.008166321855838482
0.49,0.008439533636705195,0.007642633369319768
0.5,0.008,0.007146328087091327
0.51,0.007560466363294807,0.006678216237277667
0.52,0.007122667365049873,0.006238699178797784
0.5299999999999999,0.006688330797899933,0.0058278155641822964
0.5399999999999999,0.006259170789846018,0.005445289781554499
0.5499999999999999,0.00583688103937537,0.005090581009532909
0.5599999999999999,0.005423128131207258,0.004762931434829769
0.57,0.005019544959044494,0.004461412424015085
0.58,0.004627724281287993,0.004184967705779554
0.59,0.004249212435147025,0.003932452875487404
0.6,0.0038855032339526916,0.003702670785761747
0.61,0.003538032071759175,0.003494402606206073
0.62,0.003208170258499181,0.0033064345329765817
0.63,0.0028972196080501228,0.0031375802809205933
0.64,0.002606407300569478,0.002986699621118416
0.65,0.0023368810393753683,0.0028527133072942597
0.66,0.002089704521485893,0.002734614795714574
0.6699999999999999,0.001865853239692958,0.00263147918914608
0.68,0.0016662106327378643,0.0025424698408367
0.69,0.0014915645987822424,0.0024668430429320987
0.7000000000000001,0.0013426043859339253,0.002403951192949806
0.71,0.0012199178720995836,0.002353244800740395
0.7200000000000001,0.0011239892448991788,0.002314273648938055
0.73,0.0010551970907986558,0.0022866873776369186
0.7399999999999999,0.0010138129010020995,0.0022702357122212913
0.75,0.001,0.0022647685051444544
0.7599999999999999,0.0010138129010020995,0.0022702357122212913
0.77,0.001055197090798655,0.0022866873776451004
0.7799999999999999,0.0011239892448991788,0.002314273648938055
0.79,0.0012199178720995827,0.0023532448006635073
0.7999999999999999,0.0013426043859339244,0.0024039511929596635
0.8099999999999999,0.001491564598782239,0.002466843042950337
0.82,0.0016662106327378634,0.00254246984077533
0.83,0.0018658532396929536,0.0026314791890466377
0.84,0.0020897045214858913,0.0027346147957098
0.85,0.002336881039375363,0.0028527133072079325
0.86,0.002606407300569477,0.0029866996210913595
0.87,0.0028972196080501193,0.003137580280918396
0.8799999999999999,0.0032081702584991776,0.0033064345330316657
0.89,0.0035380320717591724,0.003494402606326344
0.8999999999999999,0.0038855032339526864,0.003702670785746976
0.91,0.0042492124351470205,0.003932452875628765
0.9199999999999999,0.004627724281287987,0.004184967705754607
0.93,0.005019544959044489,0.004461412424039639
0.94,0.005423128131207249,0.004762931434842076
0.9500000000000001,0.005836881039375373,0.0050905810095585174
0.96,0.006259170789846019,0.005445289781547746
0.9699999999999999,0.006688330797899928,0.005827815564175464
0.98,0.007122667365049868,0.006238699178748163
0.9899999999999999,0.007560466363294801,0.006678216237292716
1.0,0.007999999999999998,0.007146328087059964
