model,path,radius_L0,qx,qy,qz,matrix_relative_error,screw_Hxx_target,screw_Hxx_prediction,screw_relative_error,minimum_H_target,minimum_H_prediction,candidate_tail_bound,margin,radius_change,units,physical_Hz,held_out_certification
original,Gamma_L,12.0,0.005,0.005,0.005,0.006844724031331525,0.00428807723763977,0.0042965267220006235,0.0019704599270473633,0.00428807723763977,0.004296526722000579,1.8407105900629118e-06,0.0042946860114105164,,eV/L0^2,False,False
original,Gamma_L,12.0,0.05,0.05,0.05,0.02025127310919392,0.42555763956101056,0.4267482420109411,0.002797746625248454,0.42555763956101056,0.4267482420109391,2.6912116685963527e-05,0.4267213298942531,,eV/L0^2,False,False
original,Gamma_L,12.0,0.15,0.15,0.15,0.06730244407924035,3.598691136850092,3.6241512458673544,0.0070748247207310655,3.598691136850092,3.624151245867323,2.6913026848205945e-05,3.624124332840475,,eV/L0^2,False,False
original,Gamma_L,12.0,0.3,0.3,0.3,0.1615215019042296,11.5418366934541,11.57399585721664,0.0027863124922553606,11.5418366934541,11.573995857216637,2.6912726935863242e-05,11.573968944489701,,eV/L0^2,False,False
original,Gamma_L,12.0,0.5,0.5,0.5,0.1867349368483036,17.768488185221376,17.500293073855083,-0.015093862154764492,17.768488185221376,17.500293073855083,2.6911369063520586e-05,17.50026616248602,,eV/L0^2,False,False
original,Gamma_K,12.0,0.005,0.005,0.0,0.006662326457079907,0.0026720958081326938,0.002659406581278378,-0.004748791871794222,0.0026720958081326938,0.002659406581278378,1.2271403963226015e-06,0.0026581794408820554,,eV/L0^2,False,False
original,Gamma_K,12.0,0.05,0.05,0.0,0.007221488794271859,0.26557203062806173,0.2607559335934299,-0.0181348051722241,0.26557203062806173,0.2607559335934299,2.6911987690407072e-05,0.2607290216057395,,eV/L0^2,False,False
original,Gamma_K,12.0,0.15,0.15,0.0,0.14953692594041024,2.276186237157313,2.0126767682757665,-0.1157679738941918,2.276186237157313,2.0126767682757665,2.6912881935189544e-05,2.0126498553938315,,eV/L0^2,False,False
original,Gamma_K,12.0,0.3,0.3,0.0,1.7832279710117989,7.81146669975954,5.346770740245423,-0.3155228146322364,7.81146669975954,5.346770740245423,2.691301567866293e-05,5.346743827229745,,eV/L0^2,False,False
original,Gamma_K,12.0,0.5,0.5,0.0,5.600822092027409,16.322041195764406,12.909591907886838,-0.20907000827587074,16.322041195764406,12.909591907886838,2.691218316806062e-05,12.90956499570367,,eV/L0^2,False,False
original,Gamma_K,12.0,0.75,0.75,0.0,4.87734374276739,26.608293751468917,36.59890748888225,0.3754699129049488,26.608293751468917,36.59890748888225,2.6911448114843013e-05,36.59888057743413,,eV/L0^2,False,False
original,Gamma_L,16.0,0.005,0.005,0.005,0.006838556358884473,0.00428807723763977,0.004296507492306339,0.001965975470910264,0.00428807723763977,0.004296507492306289,6.852433850973347e-07,0.004295822248921192,1.1859722454446442e-07,eV/L0^2,False,False
original,Gamma_L,16.0,0.05,0.05,0.05,0.020252153507467965,0.42555763956101056,0.42674705735222146,0.002794962845545035,0.42555763956101056,0.42674705735221974,5.262205690203235e-06,0.42674179514652955,1.7803506096036868e-06,eV/L0^2,False,False
original,Gamma_L,16.0,0.15,0.15,0.15,0.06730250932402364,3.598691136850092,3.6241500536229383,0.007074493421274974,3.598691136850092,3.6241500536229094,5.2622057079496195e-06,3.6241447914172014,1.1922444178580362e-06,eV/L0^2,False,False
original,Gamma_L,16.0,0.3,0.3,0.3,0.16152147915124587,11.5418366934541,11.57399468406522,0.0027862108488641013,11.5418366934541,11.573994684065209,5.262205702101914e-06,11.573989421859507,1.227661144298509e-06,eV/L0^2,False,False
original,Gamma_L,16.0,0.5,0.5,0.5,0.1867349510075914,17.768488185221376,17.500291894860354,-0.015093928507890153,17.768488185221376,17.50029189486035,5.2622056756260596e-06,17.500286632654674,1.2046135111631882e-06,eV/L0^2,False,False
original,Gamma_K,16.0,0.005,0.005,0.0,0.006656684984167996,0.0026720958081326938,0.0026593935924655544,-0.004753652780143391,0.0026720958081326938,0.0026593935924655544,4.5682892339830147e-07,0.002658936763542156,7.967106384571282e-08,eV/L0^2,False,False
original,Gamma_K,16.0,0.05,0.05,0.0,0.0072208270110986576,0.26557203062806173,0.2607549724952858,-0.018138424145735077,0.26557203062806173,0.2607549724952858,5.262205687688074e-06,0.2607497102895981,2.351091691653719e-06,eV/L0^2,False,False
original,Gamma_K,16.0,0.15,0.15,0.0,0.14953681226673554,2.276186237157313,2.0126755701620387,-0.1157685002631278,2.276186237157313,2.0126755701620387,5.262205705124098e-06,2.0126703079563337,1.1987440698834729e-06,eV/L0^2,False,False
original,Gamma_K,16.0,0.3,0.3,0.0,1.783227933208435,7.81146669975954,5.346769570393346,-0.31552296439311,7.81146669975954,5.346769570393346,5.262205707731835e-06,5.346764308187638,1.249381449984521e-06,eV/L0^2,False,False
original,Gamma_K,16.0,0.5,0.5,0.0,5.600822071030814,16.322041195764406,12.909590713197812,-0.2090700814707005,16.322041195764406,12.909590713197812,5.262205691499505e-06,12.90958545099212,1.1982986661357136e-06,eV/L0^2,False,False
original,Gamma_K,16.0,0.75,0.75,0.0,4.87734372313459,26.608293751468917,36.59890630609789,0.3754698684532314,26.608293751468917,36.59890630609789,5.262205677167405e-06,36.59890104389221,1.1827843593437137e-06,eV/L0^2,False,False
v22_wider,Gamma_L,12.0,0.005,0.005,0.005,0.006911229430426412,0.00428807723763977,0.004296598025034546,0.001987088133577064,0.00428807723763977,0.004296598025034546,6.507972108535912e-06,0.00429009005292601,,eV/L0^2,False,False
v22_wider,Gamma_L,12.0,0.05,0.05,0.05,0.017344525239131013,0.42555763956101056,0.4266387050005499,0.0025403502112064658,0.42555763956101056,0.4266387050005477,9.515077740751902e-05,0.42654355422314016,,eV/L0^2,False,False
v22_wider,Gamma_L,12.0,0.15,0.15,0.15,0.09357547419649333,3.598691136850092,3.6180426037190347,0.005377362527944296,3.598691136850092,3.6180426037190347,9.515437230364347e-05,3.617947449346731,,eV/L0^2,False,False
v22_wider,Gamma_L,12.0,0.3,0.3,0.3,0.03836220535305153,11.5418366934541,11.56254554912997,0.0017942426518315902,11.5418366934541,11.562545549129943,9.515290083970764e-05,11.562450396229103,,eV/L0^2,False,False
v22_wider,Gamma_L,12.0,0.5,0.5,0.5,0.04406960859732353,17.768488185221376,17.56811562439584,-0.011276849146467649,17.768488185221376,17.568115624395787,9.51476796007012e-05,17.568020476716185,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.005,0.005,0.0,0.006665670503885578,0.0026720958081326938,0.002659458481449865,-0.004729368851358551,0.0026720958081326938,0.002659458481449865,4.338648085832255e-06,0.002655119833364033,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.05,0.05,0.0,0.0067450761125332475,0.26557203062806173,0.2607209862897283,-0.018266397733454953,0.26557203062806173,0.2607209862897283,9.51502461438904e-05,0.2606258360435844,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.15,0.15,0.0,0.05846497030815931,2.276186237157313,2.010980394966799,-0.11651324389067774,2.276186237157313,2.010980394966799,9.515384047783081e-05,2.010885241126321,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.3,0.3,0.0,0.9103464360743297,7.81146669975954,5.357704416608136,-0.31412311893065337,7.81146669975954,5.357704416608136,9.515410882153423e-05,5.357609262499314,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.5,0.5,0.0,3.276033414307656,16.322041195764406,12.899547773967143,-0.20968538069156484,16.322041195764406,12.899547773967143,9.515072094003103e-05,12.899452623246203,,eV/L0^2,False,False
v22_wider,Gamma_K,12.0,0.75,0.75,0.0,3.191384880265549,26.608293751468917,35.36350602960761,0.3290407254187564,26.608293751468917,35.36350602960761,9.514796410520919e-05,35.36341088164351,,eV/L0^2,False,False
v22_wider,Gamma_L,16.0,0.005,0.005,0.005,0.006889424431066681,0.00428807723763977,0.004296530038441599,0.0019712333368511192,0.00428807723763977,0.004296530038441586,2.4226813499921446e-06,0.004294107357091593,4.193003888368353e-07,eV/L0^2,False,False
v22_wider,Gamma_L,16.0,0.05,0.05,0.05,0.01734762985939629,0.42555763956101056,0.42663451663789836,0.002530508153956834,0.42555763956101056,0.4266345166378953,1.860455413268217e-05,0.42661591208376265,6.294433255282782e-06,eV/L0^2,False,False
v22_wider,Gamma_L,16.0,0.15,0.15,0.15,0.09357571033117035,3.598691136850092,3.6180383885370944,0.005376191218215309,3.598691136850092,3.6180383885370913,1.8604554263149842e-05,3.6180197839828283,4.215181946598533e-06,eV/L0^2,False,False
v22_wider,Gamma_L,16.0,0.3,0.3,0.3,0.038362123959369096,11.5418366934541,11.5625414014513,0.0017938832914645708,11.5418366934541,11.562541401451277,1.8604554209746776e-05,11.562522796897067,4.340397744329038e-06,eV/L0^2,False,False
v22_wider,Gamma_L,16.0,0.5,0.5,0.5,0.04406956512805616,17.768488185221376,17.568111456058126,-0.011277083738047478,17.768488185221376,17.568111456058094,1.8604554020255098e-05,17.568092851504073,4.258912838395189e-06,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.005,0.005,0.0,0.006645722737854979,0.0026720958081326938,0.002659412559497265,-0.004746554594646901,0.0026720958081326938,0.002659412559497265,1.6151208999954294e-06,0.0026577974385972696,2.816769787182056e-07,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.05,0.05,0.0,0.006745990657993451,0.26557203062806173,0.26071758832609526,-0.018279192618612772,0.26557203062806173,0.26071758832609526,1.86045541134013e-05,0.26069898377198186,8.312286146770337e-06,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.15,0.15,0.0,0.05846464354815231,2.276186237157313,2.0109761590337842,-0.11651510486889893,2.276186237157313,2.0109761590337842,1.860455424384857e-05,2.0109575544795404,4.238161613844017e-06,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.3,0.3,0.0,0.9103462995488646,7.81146669975954,5.357700280594242,-0.31412364841046203,7.81146669975954,5.357700280594242,1.8604554253587426e-05,5.357681676039989,4.417189282930707e-06,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.5,0.5,0.0,3.276033338163933,16.322041195764406,12.899543550142294,-0.20968563947199537,16.322041195764406,12.899543550142294,1.8604554130632825e-05,12.899524945588164,4.236586755342303e-06,eV/L0^2,False,False
v22_wider,Gamma_K,16.0,0.75,0.75,0.0,3.191384810096702,26.608293751468917,35.36350184787156,0.32904056825963557,26.608293751468917,35.36350184787156,1.860455403058047e-05,35.36348324331753,4.181736052544238e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_L,12.0,0.005,0.005,0.005,0.006365581855146298,0.00428807723763977,0.0042967131502415715,0.0020139358792321538,0.00428807723763977,0.0042967131502415715,1.7928685638168987e-05,0.0042787844646034025,,eV/L0^2,False,False
v23_radial_joint,Gamma_L,12.0,0.05,0.05,0.05,0.06507009980664115,0.42555763956101056,0.4266576974752548,0.00258497982877004,0.42555763956101056,0.42665769747525195,0.0002957572030553392,0.4263619402721966,,eV/L0^2,False,False
v23_radial_joint,Gamma_L,12.0,0.15,0.15,0.15,0.1638215256381597,3.598691136850092,3.6188131354655813,0.005591476970458142,3.598691136850092,3.6188131354655813,0.0003109198347154166,3.618502215630866,,eV/L0^2,False,False
v23_radial_joint,Gamma_L,12.0,0.3,0.3,0.3,0.2188627189274621,11.5418366934541,11.564287806755955,0.0019451941574071263,11.5418366934541,11.564287806755857,0.00028547318222499877,11.564002333573631,,eV/L0^2,False,False
v23_radial_joint,Gamma_L,12.0,0.5,0.5,0.5,0.1470902529795635,17.768488185221376,17.558826074756606,-0.01179965950277928,17.768488185221376,17.55882607475652,0.00026448381122931645,17.558561590945292,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.005,0.005,0.0,0.006389627848927533,0.0026720958081326938,0.002659631274768648,-0.004664703011811655,0.0026720958081326938,0.002659631274768648,1.195282334759179e-05,0.002647678451421056,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.05,0.05,0.0,0.032237950741809455,0.26557203062806173,0.26167122257873343,-0.01468832406825038,0.26557203062806173,0.26167122257873343,0.00029092785008531373,0.2613802947286481,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.15,0.15,0.0,0.03556612655299469,2.276186237157313,2.077178920889481,-0.08743015532699483,2.276186237157313,2.077178920889481,0.0003125912067887426,2.076866329682692,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.3,0.3,0.0,1.5745584678240574,7.81146669975954,5.992153449225097,-0.23290290037214734,7.81146669975954,5.992153449225097,0.00029481814386071525,5.991858631081237,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.5,0.5,0.0,4.708120972961744,16.322041195764406,14.178506540477319,-0.13132760967686674,16.322041195764406,14.178506540477319,0.00027406672180663367,14.178232473755513,,eV/L0^2,False,False
v23_radial_joint,Gamma_K,12.0,0.75,0.75,0.0,3.850387157999998,26.608293751468917,36.05553171705489,0.3550486195705216,26.608293751468917,36.05553171705489,0.0002651747620631099,36.05526654229283,,eV/L0^2,False,False
v23_radial_joint,Gamma_L,16.0,0.005,0.005,0.005,0.006325462559545475,0.00428807723763977,0.00429657756583429,0.0019823169508015326,0.00428807723763977,0.004296577565834248,4.7684136738519516e-06,0.004291809152160396,7.691041708952906e-07,eV/L0^2,False,False
v23_radial_joint,Gamma_L,16.0,0.05,0.05,0.05,0.06507659542757412,0.42555763956101056,0.42664937691630545,0.0025654276972235657,0.42555763956101056,0.42664937691630006,3.671679391851199e-05,0.4266126601223815,1.2739138654627169e-05,eV/L0^2,False,False
v23_radial_joint,Gamma_L,16.0,0.15,0.15,0.15,0.16382199330188776,3.598691136850092,3.618804763352488,0.005589150537659515,3.598691136850092,3.6188047633524776,3.6752658584089746e-05,3.6187680106938935,8.372113110777247e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_L,16.0,0.3,0.3,0.3,0.2188625598887393,11.5418366934541,11.564279569422231,0.001944480463916154,11.5418366934541,11.564279569422158,3.669246881399469e-05,11.564242876953344,8.610015051147e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_L,16.0,0.5,0.5,0.5,0.1470903523883125,17.768488185221376,17.558817796400373,-0.01180012540376918,17.768488185221376,17.558817796400334,3.66428219938307e-05,17.55878115357834,8.459259618120994e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.005,0.005,0.0,0.006353280362587522,0.0026720958081326938,0.0026595396817593333,-0.004698980603594083,0.0026720958081326938,0.0026595396817593333,3.1789436222778846e-06,0.0026563607381370554,5.166558310974896e-07,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.05,0.05,0.0,0.032250032596066174,0.26557203062806173,0.26166446614145183,-0.014713765140736967,0.26557203062806173,0.26166446614145183,3.6705370934341004e-05,0.26162776077051747,1.6119571417582908e-05,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.15,0.15,0.0,0.035565728179331846,2.276186237157313,2.0771705095059483,-0.08743385071157961,2.276186237157313,2.0771705095059483,3.675661191893213e-05,2.0771337528940292,8.479798177980856e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.3,0.3,0.0,1.574558207170503,7.81146669975954,5.992145235598427,-0.2329039518554329,7.81146669975954,5.992145235598427,3.671457274570024e-05,5.992108521025681,8.76178949277016e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.5,0.5,0.0,4.708120827489226,16.322041195764406,14.17849815119385,-0.13132812366181312,16.322041195764406,14.17849815119385,3.666548875050309e-05,14.1784614857051,8.414898603348405e-06,eV/L0^2,False,False
v23_radial_joint,Gamma_K,16.0,0.75,0.75,0.0,3.8503870196135668,26.608293751468917,36.05552341388187,0.3550483075184563,26.608293751468917,36.05552341388187,3.6644456322150825e-05,36.05548676942555,8.303173018475718e-06,eV/L0^2,False,False
