radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08133196212647587,-0.008896452381644736,0.09022841450812061,2,True
1.0,0.1463751142852523,-0.05390648576902138,0.20028160005427367,4,True
1.5,0.34858832018014807,-0.009578438536157086,0.35816675871630516,10,True
2.0,0.542013711461903,-0.011325063788510848,0.5533387752504139,18,True
2.5,0.6413835478955083,-0.014192544731903626,0.6555760926274118,30,True
3.0,0.7172193859535207,0.004118029467367635,0.7131013564861532,40,True
3.5,0.7744469919350241,-0.005550304014890143,0.7799972959499142,56,True
4.0,0.8264103648197274,0.0012748262252455476,0.8251355385944819,72,True
4.5,0.8672516896147475,-0.00039079202645521264,0.8676424816412027,90,True
5.0,0.9076910222564734,0.0005724526588823543,0.9071185695975912,112,True
5.5,0.9466805144958665,0.004452524231098071,0.9422279902647684,136,True
6.0,0.9750405112784346,0.0064310363406252565,0.9686094749378094,158,True
