rate_model,time_model,full_absorbed,coarse_absorbed,absorption_error,L1_survivor_error,mass_plus_absorbed_error,minimum_augmented_probability
0.0,0.03,0.00014134856446390668,0.00015467037116029676,1.3321806696390084e-05,0.002888652474805764,3.3306690738754696e-16,1.2298529429321623e-12
0.0,0.3,0.005763152134195378,0.008948013337955208,0.003184861203759831,0.04288821827251181,1.1102230246251565e-16,3.0524043281244253e-08
0.0,1.0,0.04824680729141026,0.08103170613802388,0.03278489884661362,0.06273409333869903,2.220446049250313e-16,2.6487441558904793e-06
3.0,0.03,0.00014178479683796312,0.00015467037116029676,1.2885574322333638e-05,0.0028032940548083887,1.1102230246251565e-16,1.3727740989314452e-12
3.0,0.3,0.006555233469620135,0.008948013337955208,0.0023927798683350734,0.03243232742241833,4.440892098500626e-16,1.962163804211568e-07
3.0,1.0,0.06262248269359291,0.08103170613802388,0.018409223444430967,0.03106300366099961,1.1102230246251565e-16,2.517081528757637e-06
30.0,0.03,0.00014492068344824867,0.00015467037116029676,9.749687712048093e-06,0.0021820905375334473,0.0,2.1473313267284555e-12
30.0,0.3,0.008346355286972045,0.008948013337955208,0.0006016580509831636,0.008457869491845762,1.5543122344752192e-15,2.8215846589442972e-08
30.0,1.0,0.07736877042001608,0.08103170613802388,0.003662935718007798,0.00560745295191299,1.3322676295501878e-15,7.862447245321069e-07
300.0,0.03,0.00015248523994785312,0.00015467037116029676,2.185131212443641e-06,0.0005646780213501199,1.1102230246251565e-16,1.4061219609464112e-13
300.0,0.3,0.008881785099183602,0.008948013337955208,6.622823877160643e-05,0.000940491210728272,8.881784197001252e-16,2.74905928278624e-09
300.0,1.0,0.08060738316197893,0.08103170613802388,0.00042432297604494407,0.0006495487301855791,6.8833827526759706e-15,4.792639916757668e-07
3000.0,0.03,0.00015444615569247736,0.00015467037116029676,2.2421546781939829e-07,6.257635090326221e-05,2.4424906541753444e-15,4.378386747921101e-14
3000.0,0.3,0.008941305542546317,0.008948013337955208,6.707795408891423e-06,9.494594144091174e-05,1.887379141862766e-14,2.1847888138096628e-09
3000.0,1.0,0.08098836742743822,0.08103170613802388,4.333871058566363e-05,6.63466097198447e-05,4.574118861455645e-14,4.572804962122595e-07
30000.0,0.03,0.000154647945046876,0.00015467037116029676,2.242611342074684e-08,6.31806717779565e-06,5.81756864903582e-14,3.978930459239291e-14
30000.0,0.3,0.00894734161979216,0.008948013337955208,6.717181630488261e-07,9.503408403480087e-06,1.3344880755994382e-13,2.136921438982999e-09
30000.0,1.0,0.08102736251036508,0.08103170613802388,4.343627658803806e-06,6.649627635847588e-06,1.5498713423767185e-12,4.551572729155111e-07
