observable,role,units,target,prediction,scale,normalized_residual
new_opening_1.78h_energy,fit,eV/cell,0.5953584311886578,0.13933623343738022,0.05953584311886578,-7.6596244188699965
new_opening_1.78h_normal_force,fit,eV/L0,0.5989965116849877,0.1188072019220261,0.03173805605024358,-15.129764375070359
new_opening_2.23h_energy,fit,eV/cell,0.7765619947928292,0.5555985273455795,0.07765619947928293,-2.845406663330185
new_opening_2.23h_normal_force,fit,eV/L0,0.15664558956102492,1.4980191171068258,0.03173805605024358,42.263884260028775
new_opening_3.4h_energy,fit,eV/cell,0.7719163228888833,1.282575549069553,0.07719163228888834,6.615473867290905
new_opening_3.4h_normal_force,fit,eV/L0,0.0,0.2772636119673182,0.03173805605024358,8.735998560478636
new_opening_5.5h_energy,fit,eV/cell,0.7719163228888833,1.494705724504974,0.07719163228888834,9.363571933691775
new_opening_5.5h_normal_force,fit,eV/L0,0.0,0.052821068614101845,0.03173805605024358,1.6642817862090347
v16_direct011_energy,heldout,eV/cell,0.025339211626875774,0.0529990606927343,0.004433026104653031,6.239496094287818
v16_direct011_normal_force,heldout,eV/L0,-0.1684646879274777,-0.8946400414666603,0.03173805605024358,-22.880271948275464
v16_direct011_Haa,heldout,eV/L0^2,23.17866876533168,56.415694843764236,2.317866876533168,14.339488783818835
v16_direct031_energy,heldout,eV/cell,0.16617323878813156,0.48839454298935103,0.016617323878813157,19.390685681468053
v16_direct031_normal_force,heldout,eV/L0,-1.4977500080753077,-7.688871194250905,0.03173805605024358,-195.06932549285992
v16_direct031_Haa,heldout,eV/L0^2,34.460781638400974,239.24322497472008,3.4460781638400975,59.424781911540315
v16_raised043_energy,heldout,eV/cell,0.1726273519698645,0.4897591083683889,0.017262735196986453,18.370886929545552
v16_raised043_normal_force,heldout,eV/L0,-0.17083895700384927,0.47836273006491936,0.03173805605024358,20.454992140698113
v16_raised043_Haa,heldout,eV/L0^2,18.238440853611248,61.29207420241435,1.8238440853611249,23.605983479820534
v16_off_plus_energy,heldout,eV/cell,0.0652424878354941,0.1473172011042897,0.006524248783549411,12.579948434177304
v16_off_plus_normal_force,heldout,eV/L0,-0.08042066717244803,-0.728080745032931,0.03173805605024358,-20.406419247454583
v16_off_plus_Haa,heldout,eV/L0^2,20.981095919956758,60.378698816047205,2.098109591995676,18.777666832272715
v16_off_minus_energy,heldout,eV/cell,0.21182429891635463,0.6693362000924297,0.021182429891635463,21.598650556928682
v16_off_minus_normal_force,heldout,eV/L0,0.3481661631135443,2.111083807200715,0.03173805605024358,55.54586082072411
v16_off_minus_Haa,heldout,eV/L0^2,5.497617912510364,-0.2729866132773786,0.5497617912510364,-10.49655435794505
v16_shockley043_energy,heldout,eV/cell,0.061697611386283796,0.14932633493689065,0.00616976113862838,14.202936156145567
v16_shockley043_normal_force,heldout,eV/L0,-0.43484281773712713,-1.643742897963898,0.03173805605024358,-38.089922026509655
v16_shockley043_Haa,heldout,eV/L0^2,25.03469226049791,82.95806383215492,2.5034692260497913,23.137241300566714
v16_opening1.21_energy,heldout,eV/cell,0.19627832926906572,0.15048207882891373,0.019627832926906574,-2.3332300927308562
v16_opening1.21_normal_force,heldout,eV/L0,1.631864707518524,1.460250084965626,0.03173805605024358,-5.407219089953713
v16_opening1.21_Haa,heldout,eV/L0^2,-1.3832350292334812,2.5545978515628747,0.13832350292334814,28.46828483644246
v16_opening1.62_energy,heldout,eV/cell,0.5246331923940108,0.19218534297806067,0.05246331923940109,-6.336767368814794
v16_opening1.62_normal_force,heldout,eV/L0,0.5093642313524578,-0.8302890357692974,0.03173805605024358,-42.209682439308494
v16_opening1.62_Haa,heldout,eV/L0^2,-0.15582859326870177,4.021591093249726,0.1,41.77419686518427
v16_opening1.93_energy,heldout,eV/cell,0.6719836252695317,0.21326456324587317,0.06719836252695317,-6.826342856787127
v16_opening1.93_normal_force,heldout,eV/L0,0.6270410192299789,1.0263001238129528,0.03173805605024358,12.579822278683942
v16_opening1.93_Haa,heldout,eV/L0^2,-0.6638075680371565,5.650430661260689,0.1,63.142382292978446
v16_opening2.71_energy,heldout,eV/cell,0.7719163228888833,1.0124929275791041,0.07719163228888834,3.1166150728600615
v16_opening2.71_normal_force,heldout,eV/L0,0.0,0.7991487409801423,0.03173805605024358,25.179511300724705
v16_opening2.71_Haa,heldout,eV/L0^2,0.0,-1.658774216887837,0.1,-16.587742168878368
v16_opening4.3_energy,heldout,eV/cell,0.7719163228888833,1.415653146915468,0.07719163228888834,8.339463811536085
v16_opening4.3_normal_force,heldout,eV/L0,0.0,0.11965204542677345,0.03173805605024358,3.7699865813254543
v16_opening4.3_Haa,heldout,eV/L0^2,0.0,-0.11102057670066687,0.1,-1.1102057670066685
v16_opening6.2_energy,heldout,eV/cell,0.7719163228888833,1.519359337649429,0.07719163228888834,9.682953872036974
v16_opening6.2_normal_force,heldout,eV/L0,0.0,0.03499533801370802,0.03173805605024358,1.102630166079105
v16_opening6.2_Haa,heldout,eV/L0^2,0.0,-0.023828353052436173,0.1,-0.23828353052436171
control_pair_u,exact,eV/basis,0.5269551440966778,0.5269551440966854,0.5269551440966778,1.453736424386843e-14
control_pair_v,exact,eV/basis,3.0730020231639874,3.073002023164014,3.0730020231639874,8.67078914694937e-15
