profile,target,prediction,reference,scale,residual,selected_in_profile,exact
K_only,normal_strain_force_ev,7.105427357601002e-15,0.0,0.1,7.105427357601002e-14,False,True
K_only,cohesive_ev_atom,3.3599999999999994,3.36,0.0672,-6.608470384673551e-15,False,True
K_only,C11_GPa,113.99999999999936,113.99999999999996,5.699999999999998,-1.0471156105938322e-13,False,True
K_only,C12_GPa,62.000000000000604,62.000000000000014,3.100000000000001,1.9024208731641387e-13,False,True
K_only,C44_GPa,32.0,32.0,1.6,0.0,False,True
K_only,perfect_Haa,19.66091286328979,19.66091286328976,1.9660912863289761,1.626293922949333e-14,False,True
K_only,perfect_Hxx,4.393593035123358,4.393593035123306,0.43935930351233066,1.172487937111852e-13,False,True
K_only,saddle_energy_at_source_state,2.4217594381721823e+55,0.07624909750742465,0.007624909750742465,3.1761155441038064e+57,False,False
K_only,saddle_normal_force_at_source_state,-4.912121613113913e+56,1.4903612010162394e-15,0.03173805605024358,-1.5477071454337586e+58,False,False
K_only,fault_energy_at_source_state,1.7041018393569411e+55,0.06670794504308616,0.006670794504308616,2.554571030866375e+57,False,False
K_only,fault_normal_force_at_source_state,-2.701952770422342e+56,5.29078226360765e-15,0.03173805605024358,-8.513290058297711e+57,False,False
K_only,saddle_path_force_at_source_state,-8.84614798748163e+55,2.296700476743968e-16,0.03173805605024358,-2.7872368658866672e+57,False,False
K_only,opening_1.1h_energy,1.0293827686706669e+53,0.05670265774764735,0.005670265774764736,1.8154047968119745e+55,False,False
K_only,opening_1.5h_energy,2.7516040900788234e+54,0.4710312483934004,0.04710312483934004,5.841659336751078e+55,False,False
K_only,opening_2h_energy,4.461582077519495e+54,0.7060534019484034,0.07060534019484034,6.319043382848166e+55,False,False
K_only,opening_40h_energy,4.5964456978624233e+54,0.7719163228888833,0.07719163228888834,5.954590622802619e+55,False,False
K_only,direct_quarter_energy,1.7651322129879813e+56,0.117221996542065,0.0117221996542065,1.5058028911447224e+58,False,False
K_only,direct_half_energy,8.263742584359268e+56,0.26732847628894163,0.026732847628894163,3.091231693337231e+58,False,False
K_only,oblique_energy,5.58257974698452e+55,0.13339289745734875,0.013339289745734876,4.185065212163565e+57,False,False
K_only,opening_1.25h_energy,8.31533286354379e+53,0.24853683654490819,0.02485368365449082,3.3457144538979794e+55,False,False
K_only,opening_3h_energy,4.596263992519109e+54,0.7719163228888833,0.07719163228888834,5.95435522767244e+55,False,False
K_only,saddle_Haa,1.1490995885551205e+58,12.717337762538286,1.2717337762538286,9.035692925763487e+57,False,False
K_only,saddle_Hxx,7.867985159593201e+56,-0.18642463121762062,0.018642463121762064,4.220464381881276e+58,False,False
K_only,fault_Haa,5.47420843668549e+57,14.140554350039636,1.4140554350039638,3.871282766697294e+57,False,False
K_only,fault_Hxx,2.1950367294369485e+57,2.4858929774856264,0.24858929774856264,8.829972767601337e+57,False,False
K_only,saddle_normal_path_coupling,2.7402408617333475e+57,1.2055891043737141,0.12055891043737142,2.272947600299409e+58,False,False
K_only,opening_1.1h_normal_force,3.356722713562665e+54,1.2761663221727821,0.03173805605024358,1.0576333686753643e+56,False,False
K_only,opening_1.3h_normal_force,9.102530991349453e+54,1.4139711872929317,0.03173805605024358,2.868017807057718e+56,False,False
K_only,opening_1.5h_normal_force,8.884301321598607e+54,0.6379256757978651,0.03173805605024358,2.7992581863029455e+56,False,False
K_only,opening_2h_normal_force,9.982488322378106e+53,0.5548811295393773,0.03173805605024358,3.145274022635515e+55,False,False
K_only,opening_2.5h_normal_force,4.496771021718626e+52,0.0005156382639574782,0.03173805605024358,1.4168388305193992e+54,False,False
K_only,opening_3h_normal_force,1.552075121493623e+51,0.0,0.03173805605024358,4.890265235641965e+52,False,False
K_only,shockley_0.15_energy,2.1393774746483542e+54,0.013715574532912111,0.004433026104653031,4.825997916869478e+56,False,False
K_only,shockley_0.35_energy,2.9158933145467814e+55,0.04820527408303389,0.004820527408303389,6.048909315449875e+57,False,False
K_only,shockley_0.75_energy,4.766083261171892e+55,0.08334161260537679,0.00833416126053768,5.7187317501754306e+57,False,False
K_only,new_direct_017_energy,4.3777125425228693e+55,0.05826439239193282,0.0058264392391932825,7.513529898458186e+57,False,False
K_only,new_direct_017_normal_force,-1.2060083697138593e+57,-0.44118804525591643,0.03173805605024358,-3.7998810254940094e+58,False,False
K_only,new_direct_017_Haa,3.4630084558957744e+58,26.109437232644353,2.6109437232644357,1.326343584137467e+58,False,False
K_only,new_direct_039_energy,6.2520572112391564e+56,0.2262381941113307,0.022623819411133072,2.763484404477941e+58,False,False
K_only,new_direct_039_normal_force,-1.7264251128283085e+58,-1.9685101248020884,0.03173805605024358,-5.439605721583124e+59,False,False
K_only,new_direct_039_Haa,4.670088135219313e+59,36.31678531793335,3.6316785317933356,1.2859310355625579e+59,False,False
K_only,new_raised_direct_energy,6.605140131662445e+55,0.11960599647825673,0.011960599647825674,5.5224155361334226e+57,False,False
K_only,new_raised_direct_normal_force,-1.8182723061424367e+57,0.08783049166112324,0.03173805605024358,-5.728997085593345e+58,False,False
K_only,new_raised_direct_Haa,5.094058246532773e+58,20.00400949091716,2.000400949091716,2.546518611104307e+58,False,False
K_only,new_off_path_positive_energy,1.310751144386206e+55,0.05360470506556986,0.0053604705065569865,2.4452165957874048e+57,False,False
K_only,new_off_path_positive_normal_force,-3.1679856044016575e+56,0.35206897342006,0.03173805605024358,-9.98166239099998e+57,False,False
