radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08070565811508,0.0007553018856742532,0.07995035622940574,2,True
1.0,0.12345766059757032,0.0012800072967462997,0.12217765330082403,4,True
1.5,0.23537085713716815,0.0013574757797861292,0.23401338135738198,10,True
2.0,0.30537934951167495,0.0008842394588847771,0.3044951100527902,18,True
2.5,0.3647804094591427,0.0004210958681823704,0.36435931359096047,30,True
3.0,0.4028505548620032,0.0001227450717186512,0.40272780979028455,40,True
3.5,0.4513815344205961,-6.556236732943246e-05,0.4514470967879255,56,True
4.0,0.48843005168438747,-0.00011190288334859424,0.48854195456773597,72,True
4.5,0.5210799933525556,-6.0353502074277643e-05,0.5211403468546297,90,True
5.0,0.5560610707289562,-6.0666168156142485e-05,0.5561217368971123,112,True
5.5,0.5873455615034693,-4.40403216755347e-05,0.5873896018251448,136,True
6.0,0.6107786244725368,-1.3385831345030233e-05,0.610792010303882,158,True
6.5,0.6400162484936894,-7.11964336654275e-05,0.6400874449273548,188,True
7.0,0.6661911542900693,-0.00018499129958592239,0.6663761455896551,220,True
7.5,0.6899286355109672,-0.00035694011374602804,0.6902855756247132,254,True
8.0,0.7096309532237041,-0.0005166797655717637,0.7101476329892757,286,True
