radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08108558366944735,0.000756137091810517,0.08032944657763683,2,True
1.0,0.12425299935570647,0.001283919653335457,0.122969079702371,4,True
1.5,0.2366517550584053,0.0013525152555277685,0.23529923980287754,10,True
2.0,0.3067854425932532,0.0008848761798472839,0.30590056641340596,18,True
2.5,0.3664184236770862,0.00042056873258788024,0.3659978549444984,30,True
3.0,0.40461721067245426,0.00012570051004686774,0.40449151016240736,40,True
3.5,0.4531892701084559,-6.332948809022193e-05,0.4532525995965462,56,True
4.0,0.49031380367232813,-0.0001099644072717885,0.49042376807959986,72,True
4.5,0.5228538677904359,-5.879013292935793e-05,0.5229126579233654,90,True
5.0,0.5577980420572892,-6.046915811218641e-05,0.5578585112154013,112,True
5.5,0.5890368425836034,-4.357578651928017e-05,0.5890804183701227,136,True
6.0,0.6124591184640544,-1.3900012458494156e-05,0.612473018476513,158,True
6.5,0.6416869655216126,-7.157736544388628e-05,0.6417585428870565,188,True
7.0,0.6677847302064307,-0.00018534693975338034,0.6679700771461841,220,True
7.5,0.6914811359329941,-0.00035735600737562103,0.6918384919403698,254,True
8.0,0.7111596018017932,-0.0005178643973501077,0.7116774661991433,286,True
