model,parameter,value
power_family,u,0.006735668055538902
power_family,v,0.019838839009429947
power_family,A,2.3255066834890843
power_family,B,1.2598704115788955
power_family,C,2.191847380715628
power_family,D3,26.8147408755826
power_family,D1,1.8782013033180296
power_family,D2,2.4061791145767666
power_family,D_E,1.609646147225412
power_family,K3,9989.000861862292
power_family,k_scalar,2.9114562582473362
power_family,k_odd,6.679723847501029
power_family,k_even,10.917974381659127
power_family,alpha_even,94.35212009910259
power_family,k_rank1,6.165522180389223
power_family,power,-0.9988414763710582
