model,parameter,value
old_family,u,0.004691290237097735
old_family,v,0.010748901179499448
old_family,A,2.164270267643741
old_family,B,1.1151150845574143
old_family,C,2.2616200179977715
old_family,D3,25.907737627659625
old_family,D1,2.3233021601990624
old_family,D2,2.6384659593382307
old_family,D_E,1.6254251376231954
old_family,K3,9456.761143180593
old_family,k_scalar,2.85886119378847
old_family,k_odd,6.746880127140937
old_family,k_even,10.63009069883441
old_family,alpha_even,94.80299451626864
old_family,k_rank1,5.694618712357865
old_family,power,0.0
