model,ring,tolerance,component,candidate_gradient,source_gradient,units
unchanged,5,2e-12,0,0.16860429884417819,-1.5475172358836442e-10,eV/L0
unchanged,5,2e-12,1,-0.14949705790469053,1.143303646200522e-10,eV/L0
unchanged,5,2e-12,2,-0.17633796987071756,-3.7692667390065715e-10,eV/L0
unchanged,5,2e-12,3,0.018306279249127894,-2.823877954388765e-10,eV/L0
unchanged,5,2e-12,4,-0.2019276806835182,4.890200744345208e-11,eV/L0
unchanged,5,2e-12,5,-0.04621905964312643,1.81823016929053e-10,eV/L0
unchanged,5,2e-12,6,0.125138240974937,-7.026818623495634e-11,eV/L0
unchanged,5,2e-12,7,0.048760865237769055,-1.9972870579643143e-10,eV/L0
unchanged,5,2e-12,8,-0.04410518337871441,-5.634851960034659e-11,eV/L0
unchanged,5,2e-12,9,-0.1807220650082778,1.2182804675557428e-10,eV/L0
unchanged,5,2e-12,10,0.17218032020817498,1.8843262020173945e-11,eV/L0
unchanged,5,2e-12,11,0.45924402596415476,4.219110477654553e-11,eV/L0
unchanged,5,2e-12,12,0.37726649736659806,1.12658672321575e-10,eV/L0
unchanged,5,2e-12,13,-0.2559439084518297,-9.485236901474181e-10,eV/L0
unchanged,5,2e-12,14,-0.2995102350631934,-6.627692838989674e-11,eV/L0
unchanged,5,2e-12,15,-0.20905084314913455,1.2289099631575956e-10,eV/L0
unchanged,5,2e-12,16,0.14566516465702511,-6.389049359012411e-11,eV/L0
unchanged,5,2e-12,17,0.14669617361774653,-4.6131253331194166e-11,eV/L0
unchanged,5,2e-12,18,0.1877900949412067,1.5156199646010338e-10,eV/L0
unchanged,5,2e-12,19,-0.08271809356862078,7.180343819523927e-11,eV/L0
unchanged,5,2e-12,20,0.11157783118831235,1.5806388142802774e-10,eV/L0
unchanged,5,2e-12,21,-0.03981931722315783,2.2506543330413908e-10,eV/L0
unchanged,5,2e-12,22,0.17054451070822826,-2.1777354052010534e-10,eV/L0
unchanged,5,2e-12,23,0.26084176842119067,-2.6054750718040864e-10,eV/L0
unchanged,5,2e-12,24,-0.07247979302638405,1.450336465508295e-10,eV/L0
unchanged,5,2e-12,25,-0.3247122092288342,2.7293306503750614e-11,eV/L0
unchanged,5,2e-12,26,-0.17513361669435992,2.537238336097758e-10,eV/L0
unchanged,5,2e-12,27,-0.43416914055448264,1.5897691670041514e-10,eV/L0
unchanged,5,2e-12,28,0.9592690743187515,-3.4303356856446587e-10,eV/L0
unchanged,5,2e-12,29,-0.19468845222217657,-5.815114015317313e-11,eV/L0
unchanged,5,2e-12,30,0.049401291827815046,-7.849654867081446e-11,eV/L0
unchanged,5,2e-12,31,-0.38587520840353484,-1.0499828784205079e-10,eV/L0
unchanged,5,2e-12,32,-0.011937903131974095,-1.2330071685884292e-10,eV/L0
unchanged,5,2e-12,33,0.08952719307396231,9.871063732028174e-11,eV/L0
unchanged,5,2e-12,34,0.4242705636729447,-1.6286666459919275e-11,eV/L0
unchanged,5,2e-12,35,-0.046471515975485475,-2.0873561559775489e-10,eV/L0
unchanged,5,2e-12,36,-0.4749035826072254,4.574401118312421e-10,eV/L0
unchanged,5,2e-12,37,-0.9913597029480552,4.169301570655648e-10,eV/L0
unchanged,5,2e-12,38,0.21304350230899355,1.0800127112076119e-10,eV/L0
unchanged,5,2e-12,39,0.055199896424379925,-1.3143699323370228e-10,eV/L0
unchanged,5,2e-12,40,0.22942133815286514,6.60355789147693e-11,eV/L0
unchanged,5,2e-12,41,0.215285282734617,-3.2813626121841466e-10,eV/L0
unchanged,5,2e-12,42,-0.07623452964678941,6.087430733103805e-11,eV/L0
unchanged,5,2e-12,43,-0.18481900401536686,3.5821663690871475e-10,eV/L0
unchanged,5,2e-12,44,-0.3430210588348457,-7.721874528687778e-11,eV/L0
unchanged,5,2e-12,45,0.17944447837306912,5.677506121487541e-11,eV/L0
unchanged,5,2e-12,46,-0.003092885126617543,-1.9642593107604966e-10,eV/L0
unchanged,5,2e-12,47,-0.09106122360352345,-8.386901936829894e-11,eV/L0
unchanged,5,2e-12,48,-0.09931452679379205,1.4249560559287389e-10,eV/L0
unchanged,5,2e-12,49,0.09804716776742364,-3.4605429632961204e-11,eV/L0
unchanged,5,2e-12,50,-0.1667898359749595,3.5174169132901056e-11,eV/L0
unchanged,5,2e-12,51,0.3968557802693614,-3.127888959127134e-10,eV/L0
unchanged,5,2e-12,52,0.2613304074773576,8.667559725505924e-12,eV/L0
unchanged,5,2e-12,53,0.30464865923295703,-1.4726974501000356e-10,eV/L0
unchanged,7,2e-12,0,0.16860430285920333,-1.5475172358836442e-10,eV/L0
unchanged,7,2e-12,1,-0.14949637843048624,1.143303646200522e-10,eV/L0
unchanged,7,2e-12,2,-0.17633763858380522,-3.7692667390065715e-10,eV/L0
unchanged,7,2e-12,3,0.01830628792399685,-2.823877954388765e-10,eV/L0
unchanged,7,2e-12,4,-0.20193127200357874,4.890200744345208e-11,eV/L0
unchanged,7,2e-12,5,-0.046218518291354455,1.81823016929053e-10,eV/L0
unchanged,7,2e-12,6,0.1251382275082501,-7.026818623495634e-11,eV/L0
unchanged,7,2e-12,7,0.04875878555349396,-1.9972870579643143e-10,eV/L0
unchanged,7,2e-12,8,-0.04410652198769771,-5.634851960034659e-11,eV/L0
unchanged,7,2e-12,9,-0.1807220655346064,1.2182804675557428e-10,eV/L0
unchanged,7,2e-12,10,0.1721802953567162,1.8843262020173945e-11,eV/L0
unchanged,7,2e-12,11,0.4592456664261051,4.219110477654553e-11,eV/L0
unchanged,7,2e-12,12,0.3772665008708098,1.12658672321575e-10,eV/L0
unchanged,7,2e-12,13,-0.25594194498390227,-9.485236901474181e-10,eV/L0
unchanged,7,2e-12,14,-0.29950872277093865,-6.627692838989674e-11,eV/L0
unchanged,7,2e-12,15,-0.2090508363336725,1.2289099631575956e-10,eV/L0
unchanged,7,2e-12,16,0.1456600716984109,-6.389049359012411e-11,eV/L0
unchanged,7,2e-12,17,0.14669669399387716,-4.6131253331194166e-11,eV/L0
unchanged,7,2e-12,18,0.18779008495530125,1.5156199646010338e-10,eV/L0
unchanged,7,2e-12,19,-0.0827192736613559,7.180343819523927e-11,eV/L0
unchanged,7,2e-12,20,0.11157535594763232,1.5806388142802774e-10,eV/L0
unchanged,7,2e-12,21,-0.039819316677076694,2.2506543330413908e-10,eV/L0
unchanged,7,2e-12,22,0.17054443053079302,-2.1777354052010534e-10,eV/L0
unchanged,7,2e-12,23,0.2608446897831167,-2.6054750718040864e-10,eV/L0
unchanged,7,2e-12,24,-0.07247980551203692,1.450336465508295e-10,eV/L0
unchanged,7,2e-12,25,-0.32470854356881956,2.7293306503750614e-11,eV/L0
unchanged,7,2e-12,26,-0.17513180002795556,2.537238336097758e-10,eV/L0
unchanged,7,2e-12,27,-0.4341691515930066,1.5897691670041514e-10,eV/L0
unchanged,7,2e-12,28,0.9592639950157582,-3.4303356856446587e-10,eV/L0
unchanged,7,2e-12,29,-0.19468899365796735,-5.815114015317313e-11,eV/L0
unchanged,7,2e-12,30,0.0494012915132179,-7.849654867081446e-11,eV/L0
unchanged,7,2e-12,31,-0.38587542024519467,-1.0499828784205079e-10,eV/L0
unchanged,7,2e-12,32,-0.011941101391245284,-1.2330071685884292e-10,eV/L0
unchanged,7,2e-12,33,0.089527191453218,9.871063732028174e-11,eV/L0
unchanged,7,2e-12,34,0.42427093811263744,-1.6286666459919275e-11,eV/L0
unchanged,7,2e-12,35,-0.04646830554869747,-2.0873561559775489e-10,eV/L0
unchanged,7,2e-12,36,-0.4749035897805742,4.574401118312421e-10,eV/L0
unchanged,7,2e-12,37,-0.9913543456491546,4.169301570655648e-10,eV/L0
unchanged,7,2e-12,38,0.21304368415327773,1.0800127112076119e-10,eV/L0
unchanged,7,2e-12,39,0.05519988733882459,-1.3143699323370228e-10,eV/L0
unchanged,7,2e-12,40,0.22941809917592912,6.60355789147693e-11,eV/L0
unchanged,7,2e-12,41,0.21528337471510428,-3.2813626121841466e-10,eV/L0
unchanged,7,2e-12,42,-0.07623452911614216,6.087430733103805e-11,eV/L0
unchanged,7,2e-12,43,-0.18481891684597485,3.5821663690871475e-10,eV/L0
unchanged,7,2e-12,44,-0.34302368151821866,-7.721874528687778e-11,eV/L0
unchanged,7,2e-12,45,0.17944446653596882,5.677506121487541e-11,eV/L0
unchanged,7,2e-12,46,-0.0030914808245610693,-1.9642593107604966e-10,eV/L0
unchanged,7,2e-12,47,-0.09105901170404695,-8.386901936829894e-11,eV/L0
unchanged,7,2e-12,48,-0.09931451754755685,1.4249560559287389e-10,eV/L0
unchanged,7,2e-12,49,0.09805189341005888,-3.4605429632961204e-11,eV/L0
unchanged,7,2e-12,50,-0.16679036522501278,3.5174169132901056e-11,eV/L0
unchanged,7,2e-12,51,0.3968557861698858,-3.127888959127134e-10,eV/L0
unchanged,7,2e-12,52,0.2613287700096223,8.667559725505924e-12,eV/L0
unchanged,7,2e-12,53,0.30464748451238577,-1.4726974501000356e-10,eV/L0
unchanged,9,2e-12,0,0.16860430288920153,-1.5475172358836442e-10,eV/L0
unchanged,9,2e-12,1,-0.1494960941840131,1.143303646200522e-10,eV/L0
unchanged,9,2e-12,2,-0.17633746884047405,-3.7692667390065715e-10,eV/L0
unchanged,9,2e-12,3,0.01830628802479827,-2.823877954388765e-10,eV/L0
unchanged,9,2e-12,4,-0.20193181017058012,4.890200744345208e-11,eV/L0
unchanged,9,2e-12,5,-0.04621818366729643,1.81823016929053e-10,eV/L0
unchanged,9,2e-12,6,0.12513822739375108,-7.026818623495634e-11,eV/L0
unchanged,9,2e-12,7,0.04875843906634359,-1.9972870579643143e-10,eV/L0
unchanged,9,2e-12,8,-0.04410630440071703,-5.634851960034659e-11,eV/L0
unchanged,9,2e-12,9,-0.18072206553899958,1.2182804675557428e-10,eV/L0
unchanged,9,2e-12,10,0.1721804730858707,1.8843262020173945e-11,eV/L0
unchanged,9,2e-12,11,0.45924601737374043,4.219110477654553e-11,eV/L0
unchanged,9,2e-12,12,0.3772665009141248,1.12658672321575e-10,eV/L0
unchanged,9,2e-12,13,-0.25594146679167484,-9.485236901474181e-10,eV/L0
unchanged,9,2e-12,14,-0.2995083889987199,-6.627692838989674e-11,eV/L0
unchanged,9,2e-12,15,-0.20905083622851273,1.2289099631575956e-10,eV/L0
unchanged,9,2e-12,16,0.14565924612958475,-6.389049359012411e-11,eV/L0
unchanged,9,2e-12,17,0.1466969878176757,-4.6131253331194166e-11,eV/L0
unchanged,9,2e-12,18,0.1877900848644961,1.5156199646010338e-10,eV/L0
unchanged,9,2e-12,19,-0.08271957208215319,7.180343819523927e-11,eV/L0
unchanged,9,2e-12,20,0.11157532969801448,1.5806388142802774e-10,eV/L0
unchanged,9,2e-12,21,-0.039819316670361704,2.2506543330413908e-10,eV/L0
unchanged,9,2e-12,22,0.1705446161584662,-2.1777354052010534e-10,eV/L0
unchanged,9,2e-12,23,0.26084514035897616,-2.6054750718040864e-10,eV/L0
unchanged,9,2e-12,24,-0.0724798056496686,1.450336465508295e-10,eV/L0
unchanged,9,2e-12,25,-0.32470781738891996,2.7293306503750614e-11,eV/L0
unchanged,9,2e-12,26,-0.17513154701397265,2.537238336097758e-10,eV/L0
unchanged,9,2e-12,27,-0.4341691517161249,1.5897691670041514e-10,eV/L0
unchanged,9,2e-12,28,0.9592630860198199,-3.4303356856446587e-10,eV/L0
unchanged,9,2e-12,29,-0.19468893178665575,-5.815114015317313e-11,eV/L0
unchanged,9,2e-12,30,0.049401291516455614,-7.849654867081446e-11,eV/L0
unchanged,9,2e-12,31,-0.38587563613381914,-1.0499828784205079e-10,eV/L0
unchanged,9,2e-12,32,-0.011941431058109542,-1.2330071685884292e-10,eV/L0
unchanged,9,2e-12,33,0.08952719144257754,9.871063732028174e-11,eV/L0
unchanged,9,2e-12,34,0.4242711751936954,-1.6286666459919275e-11,eV/L0
unchanged,9,2e-12,35,-0.046468033343868516,-2.0873561559775489e-10,eV/L0
unchanged,9,2e-12,36,-0.4749035898597009,4.574401118312421e-10,eV/L0
unchanged,9,2e-12,37,-0.991353405408401,4.169301570655648e-10,eV/L0
unchanged,9,2e-12,38,0.2130435385543046,1.0800127112076119e-10,eV/L0
unchanged,9,2e-12,39,0.05519988724446609,-1.3143699323370228e-10,eV/L0
unchanged,9,2e-12,40,0.22941744201588316,6.60355789147693e-11,eV/L0
unchanged,9,2e-12,41,0.2152830627671216,-3.2813626121841466e-10,eV/L0
unchanged,9,2e-12,42,-0.07623452911076584,6.087430733103805e-11,eV/L0
unchanged,9,2e-12,43,-0.18481909448382136,3.5821663690871475e-10,eV/L0
unchanged,9,2e-12,44,-0.3430241300251746,-7.721874528687778e-11,eV/L0
unchanged,9,2e-12,45,0.17944446642037004,5.677506121487541e-11,eV/L0
unchanged,9,2e-12,46,-0.0030911595077053773,-1.9642593107604966e-10,eV/L0
unchanged,9,2e-12,47,-0.09105905904258958,-8.386901936829894e-11,eV/L0
unchanged,9,2e-12,48,-0.09931451741968006,1.4249560559287389e-10,eV/L0
unchanged,9,2e-12,49,0.0980526564207495,-3.4605429632961204e-11,eV/L0
unchanged,9,2e-12,50,-0.16679067641614578,3.5174169132901056e-11,eV/L0
unchanged,9,2e-12,51,0.39685578623354584,-3.127888959127134e-10,eV/L0
unchanged,9,2e-12,52,0.26132834704635216,8.667559725505924e-12,eV/L0
unchanged,9,2e-12,53,0.30464718085321385,-1.4726974501000356e-10,eV/L0
unchanged,7,2e-13,0,0.16860430285920333,-1.5475172358836442e-10,eV/L0
unchanged,7,2e-13,1,-0.14949637843048624,1.143303646200522e-10,eV/L0
unchanged,7,2e-13,2,-0.17633763858380522,-3.7692667390065715e-10,eV/L0
unchanged,7,2e-13,3,0.01830628792399685,-2.823877954388765e-10,eV/L0
unchanged,7,2e-13,4,-0.20193127200357874,4.890200744345208e-11,eV/L0
unchanged,7,2e-13,5,-0.046218518291354455,1.81823016929053e-10,eV/L0
unchanged,7,2e-13,6,0.1251382275082501,-7.026818623495634e-11,eV/L0
unchanged,7,2e-13,7,0.04875878555349396,-1.9972870579643143e-10,eV/L0
unchanged,7,2e-13,8,-0.04410652198769771,-5.634851960034659e-11,eV/L0
unchanged,7,2e-13,9,-0.1807220655346064,1.2182804675557428e-10,eV/L0
unchanged,7,2e-13,10,0.1721802953567162,1.8843262020173945e-11,eV/L0
unchanged,7,2e-13,11,0.4592456664261051,4.219110477654553e-11,eV/L0
unchanged,7,2e-13,12,0.3772665008708098,1.12658672321575e-10,eV/L0
unchanged,7,2e-13,13,-0.25594194498390227,-9.485236901474181e-10,eV/L0
unchanged,7,2e-13,14,-0.29950872277093865,-6.627692838989674e-11,eV/L0
unchanged,7,2e-13,15,-0.2090508363336725,1.2289099631575956e-10,eV/L0
unchanged,7,2e-13,16,0.1456600716984109,-6.389049359012411e-11,eV/L0
unchanged,7,2e-13,17,0.14669669399387716,-4.6131253331194166e-11,eV/L0
unchanged,7,2e-13,18,0.18779008495530125,1.5156199646010338e-10,eV/L0
unchanged,7,2e-13,19,-0.0827192736613559,7.180343819523927e-11,eV/L0
unchanged,7,2e-13,20,0.11157535594763232,1.5806388142802774e-10,eV/L0
unchanged,7,2e-13,21,-0.039819316677076694,2.2506543330413908e-10,eV/L0
unchanged,7,2e-13,22,0.17054443053079302,-2.1777354052010534e-10,eV/L0
unchanged,7,2e-13,23,0.2608446897831167,-2.6054750718040864e-10,eV/L0
unchanged,7,2e-13,24,-0.07247980551203692,1.450336465508295e-10,eV/L0
unchanged,7,2e-13,25,-0.32470854356881956,2.7293306503750614e-11,eV/L0
unchanged,7,2e-13,26,-0.17513180002795556,2.537238336097758e-10,eV/L0
unchanged,7,2e-13,27,-0.4341691515930066,1.5897691670041514e-10,eV/L0
unchanged,7,2e-13,28,0.9592639950157582,-3.4303356856446587e-10,eV/L0
unchanged,7,2e-13,29,-0.19468899365796735,-5.815114015317313e-11,eV/L0
unchanged,7,2e-13,30,0.0494012915132179,-7.849654867081446e-11,eV/L0
unchanged,7,2e-13,31,-0.38587542024519467,-1.0499828784205079e-10,eV/L0
unchanged,7,2e-13,32,-0.011941101391245284,-1.2330071685884292e-10,eV/L0
unchanged,7,2e-13,33,0.089527191453218,9.871063732028174e-11,eV/L0
unchanged,7,2e-13,34,0.42427093811263744,-1.6286666459919275e-11,eV/L0
unchanged,7,2e-13,35,-0.04646830554869747,-2.0873561559775489e-10,eV/L0
unchanged,7,2e-13,36,-0.4749035897805742,4.574401118312421e-10,eV/L0
