model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,robust_margin,normalized_density,normalized_density_truncation
separate_range,0.99,12.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.5795785006985976,0.000257954051461436,1.5793205466471363,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.794990033039326,0.00025801678213356984,5.794732016257193,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.25,0.25,0.25,11.263407050688585,0.00025803995599718376,11.263149010732588,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,16.310905307214885,0.00025803441409694947,16.31064727280079,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,19.682916821196798,0.00025801852301908984,19.682658802673778,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.5,0.5,0.5,20.839998489238877,0.0002580019540974805,20.83974048728478,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,19.68291682119682,0.00025801852301908984,19.6826588026738,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,16.310905307214878,0.00025803441409694947,16.310647272800782,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.75,0.75,0.75,11.263407050688564,0.00025803995599718376,11.263149010732567,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.794990033039322,0.00025801678213356984,5.794732016257188,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.5795785006985879,0.000257954051461436,1.5793205466471265,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.01,0.0,0.0,0.009205736792646102,2.4061239083750257e-05,0.009181675553562352,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.01,0.01,0.0,0.014187179851849273,4.812248330336951e-05,0.014139057368545904,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.01,0.01,0.01,0.023392863990784097,7.218372508146313e-05,0.023320680265702633,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.08,0.0,0.0,0.5870360020015142,0.00025792018703657294,0.5867780818144777,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.08,0.08,0.0,0.8728361087829248,0.00025793741113754054,0.8725781713717873,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.08,0.08,0.08,1.4589994122949668,0.0002579510118876561,1.4587414612830791,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.16,0.0,0.0,2.326205891949388,0.0002579609850460875,2.325947930964342,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.16,0.08,0.0,2.3549518865891117,0.0002579709658073756,2.3546939156233044,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.16,0.08,0.08,2.7499728859811405,0.00025797965702009185,2.7497149063241206,1.0364826916127057,4.3938694284752e-09
separate_range,0.99,12.0,0.16,0.16,0.0,3.108022646465795,0.00025799305629894856,3.1077646534094963,1.0364826916127057,4.3938694284752e-09
