model,stretch,radius,wavepoints,minimum_sampled_robust_margin,all_sampled_positive_above_tail,whole_zone_proof
separate_range,0.99,12.0,254,0.009181675553562352,True,False
separate_range,0.99,16.0,254,0.009196518475379067,True,False
separate_range,0.995,12.0,254,0.007527234113419184,True,False
separate_range,0.995,16.0,254,0.00754175591845256,True,False
separate_range,1.0,12.0,254,0.006525554262536092,True,False
separate_range,1.0,16.0,254,0.00653975939347319,True,False
separate_range,1.0037037037037038,12.0,254,0.006142252379379891,True,False
separate_range,1.0037037037037038,16.0,254,0.006156224788907223,True,False
separate_range,1.007,12.0,254,0.00602280954687992,True,False
separate_range,1.007,16.0,254,0.0060365870109750685,True,False
separate_range,1.01,12.0,254,0.006073867767788431,True,False
separate_range,1.01,16.0,254,0.006087470053139984,True,False
