model,radius,coordinate,mode_index,planes,q_cubic_fraction,predicted_mode_variance_m2,actual_MD_mode_variance_m2,mode_variance_relative_difference,MD_empirical_block_mode_range_m2,conjugate_mode_index,conjugate_modes_independent,source_temperature_K,kinetic_calibration
separate_range,12.0,normal,1,12,0.08333333333333333,2.1977937274472924e-25,1.6287273053160335e-25,0.34939330867350993,1.156778975698911e-25,11,False,300,False
separate_range,12.0,normal,2,12,0.16666666666666666,1.9645107860126445e-25,2.0018630373033496e-25,-0.018658744676669392,9.771371185839643e-26,10,False,300,False
separate_range,12.0,normal,3,12,0.25,1.375785885174092e-25,2.234817114872155e-25,-0.3843854711785687,1.111534463271718e-25,9,False,300,False
separate_range,12.0,normal,4,12,0.3333333333333333,1.1054670048916222e-25,1.534355830374283e-25,-0.2795237043404982,5.0439749309525364e-26,8,False,300,False
separate_range,12.0,normal,5,12,0.4166666666666667,1.093348580573002e-25,1.374316551533673e-25,-0.20444196109486124,1.1534432116399411e-26,7,False,300,False
separate_range,12.0,normal,6,12,0.5,1.134779810264861e-25,1.6735368072084394e-25,-0.321927187154167,6.221381324517737e-26,6,False,300,False
separate_range,12.0,normal,7,12,0.5833333333333334,1.0933485805730025e-25,1.3743165515336726e-25,-0.20444196109486057,1.1534432116399457e-26,5,False,300,False
separate_range,12.0,normal,8,12,0.6666666666666666,1.1054670048916234e-25,1.534355830374283e-25,-0.27952370434049745,5.0439749309525364e-26,4,False,300,False
separate_range,12.0,normal,9,12,0.75,1.3757858851740962e-25,2.234817114872155e-25,-0.3843854711785669,1.111534463271718e-25,3,False,300,False
separate_range,12.0,normal,10,12,0.8333333333333334,1.964510786012653e-25,2.0018630373033496e-25,-0.018658744676665173,9.771371185839639e-26,2,False,300,False
separate_range,12.0,normal,11,12,0.9166666666666666,2.1977937274473075e-25,1.6287273053160333e-25,0.3493933086735195,1.1567789756989106e-25,1,False,300,False
separate_range,12.0,slip_110,1,12,0.08333333333333333,9.109101977943248e-25,1.0195807473230298e-24,-0.10658356369912436,2.2301288727548764e-25,11,False,300,False
separate_range,12.0,slip_110,2,12,0.16666666666666666,8.728911147452165e-25,1.28680768831255e-24,-0.32166156398251033,4.280836190581922e-25,10,False,300,False
separate_range,12.0,slip_110,3,12,0.25,8.295477206105347e-25,1.092683457384956e-24,-0.24081607074400668,5.218205305588863e-25,9,False,300,False
separate_range,12.0,slip_110,4,12,0.3333333333333333,7.9436235707725915e-25,1.1583231714691442e-24,-0.3142135315572251,4.349924972360571e-25,8,False,300,False
separate_range,12.0,slip_110,5,12,0.4166666666666667,7.729359456518069e-25,9.34117897808894e-25,-0.1725499024643058,3.645053277654598e-25,7,False,300,False
separate_range,12.0,slip_110,6,12,0.5,7.659071873697418e-25,1.2343440824923194e-24,-0.379502686298569,1.0488318028437323e-24,6,False,300,False
separate_range,12.0,slip_110,7,12,0.5833333333333334,7.729359456518069e-25,9.34117897808894e-25,-0.1725499024643058,3.645053277654598e-25,5,False,300,False
separate_range,12.0,slip_110,8,12,0.6666666666666666,7.943623570772596e-25,1.1583231714691442e-24,-0.31421353155722476,4.349924972360571e-25,4,False,300,False
separate_range,12.0,slip_110,9,12,0.75,8.295477206105362e-25,1.0926834573849559e-24,-0.24081607074400513,5.218205305588861e-25,3,False,300,False
separate_range,12.0,slip_110,10,12,0.8333333333333334,8.728911147452194e-25,1.2868076883125498e-24,-0.321661563982508,4.280836190581927e-25,2,False,300,False
separate_range,12.0,slip_110,11,12,0.9166666666666666,9.10910197794332e-25,1.0195807473230296e-24,-0.10658356369911726,2.2301288727548764e-25,1,False,300,False
separate_range,12.0,transverse,1,12,0.08333333333333333,9.109101977943272e-25,9.54432281334097e-25,-0.04559997015077388,5.604293474382638e-25,11,False,300,False
separate_range,12.0,transverse,2,12,0.16666666666666666,8.728911147452148e-25,6.809068641993113e-25,0.28195375996342875,4.720363270708013e-25,10,False,300,False
separate_range,12.0,transverse,3,12,0.25,8.295477206105329e-25,6.904436982866038e-25,0.2014704785764978,5.43198426497633e-25,9,False,300,False
separate_range,12.0,transverse,4,12,0.3333333333333333,7.943623570772592e-25,1.3102139234220542e-24,-0.3937155277647173,7.505413010329206e-25,8,False,300,False
separate_range,12.0,transverse,5,12,0.4166666666666667,7.729359456518082e-25,1.3487733774781016e-24,-0.4269341621369914,6.079796709107553e-25,7,False,300,False
separate_range,12.0,transverse,6,12,0.5,7.659071873697412e-25,1.1831538686827305e-24,-0.35265631322959934,9.68705991238627e-25,6,False,300,False
separate_range,12.0,transverse,7,12,0.5833333333333334,7.729359456518087e-25,1.3487733774781016e-24,-0.4269341621369911,6.079796709107553e-25,5,False,300,False
separate_range,12.0,transverse,8,12,0.6666666666666666,7.943623570772596e-25,1.3102139234220542e-24,-0.39371552776471697,7.505413010329206e-25,4,False,300,False
separate_range,12.0,transverse,9,12,0.75,8.295477206105345e-25,6.904436982866038e-25,0.20147047857650024,5.431984264976328e-25,3,False,300,False
